"Borgergade 32, 2. 3, 1300 København K"
"Borgergade 42, 6. th, 1300 København K"
"Borgergade 15F, 1300 København K"
"Borgergade 42, 6. tv, 1300 København K"
"Borgergade 16, st., 1300 København K"
"Borgergade 42, 7., 1300 København K"
"Borgergade 16, 1., 1300 København K"
"Borgergade 91, st. th, 1300 København K"
"Borgergade 17A, 1300 København K"
"Borgergade 91, st. tv, 1300 København K"
"Borgergade 17B, 1300 København K"
"Borgergade 91, 1. th, 1300 København K"
"Borgergade 17C, 1300 København K"
"Borgergade 91, 1. tv, 1300 København K"
"Borgergade 17D, 1300 København K"
"Borgergade 91, 2. th, 1300 København K"
"Borgergade 17E, 1300 København K"
"Borgergade 91, 2. tv, 1300 København K"
"Borgergade 17F, 1300 København K"
"Borgergade 91, 3. th, 1300 København K"
"Borgergade 19, st. th, 1300 København K"
"Borgergade 91, 3. tv, 1300 København K"
"Borgergade 19, st. tv, 1300 København K"
"Borgergade 91, 4. th, 1300 København K"
"Borgergade 19, 1. th, 1300 København K"
"Borgergade 91, 4. tv, 1300 København K"
"Borgergade 19, 1. tv, 1300 København K"
"Borgergade 93, st. th, 1300 København K"
"Borgergade 19, 2. th, 1300 København K"
"Borgergade 93, st. tv, 1300 København K"
"Borgergade 19, 2. tv, 1300 København K"
"Borgergade 93, 1. th, 1300 København K"
"Borgergade 19, 3. th, 1300 København K"
"Borgergade 93, 1. tv, 1300 København K"
"Borgergade 19, 3. tv, 1300 København K"
"Borgergade 93, 2. th, 1300 København K"
"Borgergade 19, 4. th, 1300 København K"
"Borgergade 93, 2. tv, 1300 København K"
"Borgergade 19, 4. tv, 1300 København K"
"Borgergade 93, 3. th, 1300 København K"
"Borgergade 19, 5. th, 1300 København K"
"Borgergade 93, 3. tv, 1300 København K"
"Borgergade 19, 5. tv, 1300 København K"
"Borgergade 93, 4. th, 1300 København K"
"Borgergade 19, 6. th, 1300 København K"
"Borgergade 93, 4. tv, 1300 København K"
"Borgergade 19, 6. tv, 1300 København K"
"Borgergade 95, st., 1300 København K"
"Borgergade 20, st. 1, 1300 København K"
"Borgergade 95, 1., 1300 København K"
"Borgergade 20, st. 2, 1300 København K"
"Borgergade 97, st., 1300 København K"
"Borgergade 20, 2., 1300 København K"
"Borgergade 97, 1., 1300 København K"
"Borgergade 20, 4., 1300 København K"
"Borgergade 99, st., 1300 København K"
"Borgergade 21, st. th, 1300 København K"
"Borgergade 99, 1., 1300 København K"
"Borgergade 21, st. tv, 1300 København K"
"Borgergade 101, 1300 København K"
"Borgergade 21, 1. th, 1300 København K"
"Borgergade 103, st., 1300 København K"
"Borgergade 21, 1. tv, 1300 København K"
"Borgergade 103, 1., 1300 København K"
"Borgergade 21, 2. th, 1300 København K"
"Borgergade 103, 2., 1300 København K"
"Borgergade 21, 2. tv, 1300 København K"
"Borgergade 105, st., 1300 København K"
"Borgergade 21, 3. th, 1300 København K"
"Borgergade 105, 1., 1300 København K"
"Borgergade 21, 3. tv, 1300 København K"
"Borgergade 105, 2., 1300 København K"
"Borgergade 21, 4. th, 1300 København K"
"Borgergade 107, st., 1300 København K"
"Borgergade 21, 4. tv, 1300 København K"
"Borgergade 107, 1., 1300 København K"
"Borgergade 21, 5. th, 1300 København K"
"Borgergade 130, st., 1300 København K"
"Borgergade 21, 5. tv, 1300 København K"
"Borgergade 134, st. 1, 1300 København K"
"Borgergade 21, 6. th, 1300 København K"
"Borgergade 134, st. 2, 1300 København K"
"Borgergade 21, 6. tv, 1300 København K"
"Borgergade 134, st. 3, 1300 København K"
"Borgergade 23, st. th, 1300 København K"
"Borgergade 134, 1. th, 1300 København K"
"Borgergade 23, st. tv, 1300 København K"
"Borgergade 134, 1. tv, 1300 København K"
"Borgergade 23, 1. th, 1300 København K"
"Borgergade 134, 2. th, 1300 København K"
"Borgergade 23, 1. tv, 1300 København K"
"Borgergade 134, 2. tv, 1300 København K"
"Borgergade 23, 2. th, 1300 København K"
"Borgergade 134, 3. th, 1300 København K"
"Borgergade 23, 2. tv, 1300 København K"
"Borgergade 134, 3. tv, 1300 København K"
"Borgergade 23, 3. th, 1300 København K"
"Borgergade 134, 4. th, 1300 København K"
"Borgergade 23, 3. tv, 1300 København K"
"Borgergade 134, 4. tv, 1300 København K"
"Borgergade 23, 4. th, 1300 København K"
"Borgergade 134, 5. th, 1300 København K"
"Borgergade 23, 4. tv, 1300 København K"
"Borgergade 134, 5. tv, 1300 København K"
"Borgergade 23, 5. th, 1300 København K"
"Borgergade 23, 5. tv, 1300 København K"
"Borgergade 23, 6. th, 1300 København K"
"Borgergade 136, 1. th, 1300 København K"
"Borgergade 23, 6. tv, 1300 København K"
"Borgergade 136, 1. tv, 1300 København K"
"Borgergade 136, 2. th, 1300 København K"
"Borgergade 136, 2. tv, 1300 København K"
"Borgergade 136, 3. th, 1300 København K"
"Borgergade 136, 3. tv, 1300 København K"
"Borgergade 136, 4. th, 1300 København K"
"Borgergade 136, 4. tv, 1300 København K"
"Borgergade 136, 5. th, 1300 København K"
"Borgergade 136, 5. tv, 1300 København K"
"Borgergade 138, st. th, 1300 København K"
"Borgergade 138, st. tv, 1300 København K"
"Borgergade 138, 1. th, 1300 København K"
"Borgergade 138, 1. tv, 1300 København K"
"Borgergade 25, st. th, 1300 København K"
"Borgergade 138, 2. th, 1300 København K"
"Borgergade 25, st. tv, 1300 København K"
"Borgergade 138, 2. tv, 1300 København K"
"Borgergade 25, 1. th, 1300 København K"
"Borgergade 138, 3. th, 1300 København K"
"Borgergade 25, 1. tv, 1300 København K"
"Borgergade 138, 3. tv, 1300 København K"
"Borgergade 25, 2. th, 1300 København K"
"Borgergade 138, 4. th, 1300 København K"
"Borgergade 25, 2. tv, 1300 København K"
"Borgergade 138, 4. tv, 1300 København K"
"Borgergade 25, 3. th, 1300 København K"
"Borgergade 138, 5., 1300 København K"
"Borgergade 25, 3. tv, 1300 København K"
"Borgergade 140, st. th, 1300 København K"
"Borgergade 25, 4. th, 1300 København K"
"Borgergade 140, st. tv, 1300 København K"
"Borgergade 25, 4. tv, 1300 København K"
"Borgergade 140, 1. th, 1300 København K"
"Borgergade 25, 5. th, 1300 København K"
"Borgergade 140, 1. tv, 1300 København K"
"Borgergade 25, 5. tv, 1300 København K"
"Borgergade 140, 2. th, 1300 København K"
"Borgergade 25, 6. th, 1300 København K"
"Borgergade 140, 2. tv, 1300 København K"
"Borgergade 25, 6. tv, 1300 København K"
"Borgergade 140, 3. th, 1300 København K"
"Borgergade 26, kl. 1, 1300 København K"
"Borgergade 140, 3. tv, 1300 København K"
"Borgergade 26, st., 1300 København K"
"Borgergade 140, 4. th, 1300 København K"
"Borgergade 26, 1. 1, 1300 København K"
"Borgergade 140, 4. tv, 1300 København K"
"Borgergade 26, 1. 2, 1300 København K"
"Borgergade 140, 5. th, 1300 København K"
"Borgergade 26, 1. 3, 1300 København K"
"Borgergade 140, 5. tv, 1300 København K"
"Borgergade 26, 1. 4, 1300 København K"
"Borgergade 142, st. th, 1300 København K"
"Borgergade 26, 1. 5, 1300 København K"
"Borgergade 142, st. tv, 1300 København K"
"Borgergade 26, 1. 6, 1300 København K"
"Borgergade 142, 1. th, 1300 København K"
"Borgergade 26, 2. 1, 1300 København K"
"Borgergade 142, 1. tv, 1300 København K"
"Borgergade 26, 2. 2, 1300 København K"
"Borgergade 142, 2. th, 1300 København K"
"Borgergade 26, 2. 3, 1300 København K"
"Borgergade 142, 2. tv, 1300 København K"
"Borgergade 26, 2. 4, 1300 København K"
"Borgergade 142, 3. th, 1300 København K"
"Borgergade 26, 2. 5, 1300 København K"
"Borgergade 142, 3. tv, 1300 København K"
"Borgergade 26, 2. 6, 1300 København K"
"Borgergade 142, 4. th, 1300 København K"
"Borgergade 26, 3. 1, 1300 København K"
"Borgergade 142, 4. tv, 1300 København K"
"Borgergade 26, 3. 2, 1300 København K"
"Borgergade 142, 5. th, 1300 København K"
"Borgergade 26, 3. 3, 1300 København K"
"Borgergade 142, 5. tv, 1300 København K"
"Borgergade 26, 3. 4, 1300 København K"
"Borgergade 26, 3. 5, 1300 København K"
"Borgergade 144, kl. 1, 1300 København K"
"Borgergade 26, 3. 6, 1300 København K"
"Borgergade 144, st. th, 1300 København K"
"Borgergade 26, 4. 1, 1300 København K"
"Borgergade 144, st. tv, 1300 København K"
"Borgergade 26, 4. 2, 1300 København K"
"Borgergade 144, 1. th, 1300 København K"
"Borgergade 26, 4. 3, 1300 København K"
"Borgergade 144, 1. tv, 1300 København K"
"Borgergade 26, 4. 4, 1300 København K"
"Borgergade 144, 2. th, 1300 København K"
"Borgergade 26, 4. 5, 1300 København K"
"Borgergade 144, 2. tv, 1300 København K"
"Borgergade 26, 4. 6, 1300 København K"
"Borgergade 144, 3. th, 1300 København K"
"Borgergade 26, 5. 1, 1300 København K"
"Borgergade 144, 3. tv, 1300 København K"
"Borgergade 26, 5. 2, 1300 København K"
"Borgergade 144, 4. th, 1300 København K"
"Borgergade 26, 5. 3, 1300 København K"
"Borgergade 144, 4. tv, 1300 København K"
"Borgergade 26, 5. 4, 1300 København K"
"Borgergade 144, 5. th, 1300 København K"
"Borgergade 26, 5. 5, 1300 København K"
"Borgergade 144, 5. tv, 1300 København K"
"Borgergade 26, 5. 6, 1300 København K"
"Borgergade 26, 6. 1, 1300 København K"
"Borgergade 26, 6. 2, 1300 København K"
"Borgergade 27, st. 1, 1300 København K"
"Borgergade 27, st. 2, 1300 København K"
"Borgergade 27, st. 3, 1300 København K"
"Borgergade 27, st. 4, 1300 København K"
"Borgergade 27, st. 5, 1300 København K"
"Borgergade 27, st. 6, 1300 København K"
"Borgergade 28, st., 1300 København K"
"Borgergade 28, 1., 1300 København K"
"Borgergade 28, 2., 1300 København K"
"Borgergade 28, 3., 1300 København K"
"Borgergade 28, 4., 1300 København K"
"Borgergade 28, 5., 1300 København K"
"Borgergade 28, 6., 1300 København K"
"Borgergade 30, st., 1300 København K"
"Borgergade 30, 1. 1, 1300 København K"
"Borgergade 30, 1. 4, 1300 København K"
"Borgergade 30, 1. 3, 1300 København K"
"Borgergade 30, 2. 1, 1300 København K"
"Borgergade 30, 2. 2, 1300 København K"
"Borgergade 30, 2. 3, 1300 København K"
"Borgergade 30, 2. 4, 1300 København K"
"Borgergade 30, 3. 1, 1300 København K"
"Borgergade 30, 3. 2, 1300 København K"
"Borgergade 30, 3. 3, 1300 København K"
"Borgergade 30, 3. 4, 1300 København K"
"Borgergade 30, 4. 1, 1300 København K"
"Borgergade 30, 4. 2, 1300 København K"
"Borgergade 30, 4. 3, 1300 København K"
"Borgergade 30, 4. 4, 1300 København K"
"Borgergade 30, 5. 1, 1300 København K"
"Borgergade 30, 5. 2, 1300 København K"
"Borgergade 30, 5. 3, 1300 København K"
"Borgergade 30, 5. 4, 1300 København K"
"Borgergade 30, 6. 1, 1300 København K"
"Borgergade 30, 6. 2, 1300 København K"
"Borgergade 30, 6. 3, 1300 København K"
"Borgergade 30, 6. 4, 1300 København K"
"Borgergade 30, 7. th, 1300 København K"
"Borgergade 30, 7. tv, 1300 København K"
"Borgergade 32, st. th, 1300 København K"
"Borgergade 32, st. tv, 1300 København K"
"Borgergade 32, 1. 1, 1300 København K"
"Borgergade 32, 1. 2, 1300 København K"
"Borgergade 32, 1. 3, 1300 København K"
"Borgergade 32, 1. 4, 1300 København K"
"Borgergade 32, 2. 1, 1300 København K"
"Borgergade 32, 2. 2, 1300 København K"
"Borgergade 24B, 1., 1300 København K"
"Borgergade 24B, 3., 1300 København K"
"Borgergade 24B, 5., 1300 København K"
"Borgergade 24B, k2., 1300 København K"
"Borgergade 24B, kl. tv, 1300 København K"
"Borgergade 24B, kl. th, 1300 København K"
"Borgergade 24B, 6., 1300 København K"
"Borgergade 24B, 4., 1300 København K"
"Borgergade 24B, 2., 1300 København K"
"Borgergade 136, st. tv, 1300 København K"
"Borgergade 136, st. th, 1300 København K"
"Borgergade 26A, 1300 København K"
"Borgergade 14, 6. th, 1300 København K"
"Borgergade 9, 1300 København K"
"Borgergade 2, 6., 1300 København K"
"Borgergade 14, 2. th, 1300 København K"
"Borgergade 20, 3., 1300 København K"
"Borgergade 12, 3. th, 1300 København K"
"Borgergade 12, st. tv, 1300 København K"
"Borgergade 4, 3., 1300 København K"
"Borgergade 14, 4., 1300 København K"
"Borgergade 20, 1. th, 1300 København K"
"Borgergade 2, 2., 1300 København K"
"Borgergade 3, 1300 København K"
"Borgergade 10, st. tv, 1300 København K"
"Borgergade 10, 1., 1300 København K"
"Borgergade 9, 6., 1300 København K"
"Borgergade 14, st. tv, 1300 København K"
"Borgergade 2, 6. tv, 1300 København K"
"Borgergade 14, 3. tv, 1300 København K"
"Borgergade 14, 6., 1300 København K"
"Borgergade 20, 5. th, 1300 København K"
"Borgergade 10, 6. tv, 1300 København K"
"Borgergade 13, 1., 1300 København K"
"Borgergade 14, 5., 1300 København K"
"Borgergade 3, 2., 1300 København K"
"Borgergade 130, 1300 København K"
"Borgergade 4, 3. th, 1300 København K"
"Borgergade 20, 3. tv, 1300 København K"
"Borgergade 105, 2., 1300 København K"
"Borgergade 4, 2., 1300 København K"
"Borgergade 4, 2. th, 1300 København K"
"Borgergade 9, 3., 1300 København K"
"Borgergade 107, 1300 København K"
"Borgergade 20, 5. tv, 1300 København K"
"Borgergade 4, 6., 1300 København K"
"Borgergade 12, 4. tv, 1300 København K"
"Borgergade 12, 1300 København K"
"Borgergade 10, 1300 København K"
"Borgergade 18, 4., 1300 København K"
"Borgergade 14, 4. tv, 1300 København K"
"Borgergade 12, st. th, 1300 København K"
"Borgergade 13, 4., 1300 København K"
"Borgergade 24B, 1300 København K"
"Borgergade 6, 1300 København K"
"Borgergade 28, 1300 København K"
"Borgergade 18, 5., 1300 København K"
"Borgergade 10, 3. th, 1300 København K"
"Borgergade 20, 4. tv, 1300 København K"
"Borgergade 20, 1., 1300 København K"
"Borgergade 2, st., 1300 København K"
"Borgergade 6, st., 1300 København K"
"Borgergade 2, 1., 1300 København K"
"Borgergade 12, 2. tv, 1300 København K"
"Borgergade 101, 1., 1300 København K"
"Borgergade 12, 2., 1300 København K"
"Borgergade 2, st. tv, 1300 København K"
"Borgergade 6, 2., 1300 København K"
"Borgergade 14, 3. th, 1300 København K"
"Borgergade 27C, 1300 København K"
"Borgergade 32, 1300 København K"
"Borgergade 4, 4. th, 1300 København K"
"Borgergade 93, 1300 København K"
"Borgergade 4, st. tv, 1300 København K"
"Borgergade 99, 1300 København K"
"Borgergade 4, 6. th, 1300 København K"
"Borgergade 20, 4. th, 1300 København K"
"Borgergade 20, 1300 København K"
"Borgergade 6, 1., 1300 København K"
"Borgergade 12, 1. th, 1300 København K"
"Borgergade 20, st. tv, 1300 København K"
"Borgergade 30, 1300 København K"
"Borgergade 12, 6. tv, 1300 København K"
"Borgergade 18, 1300 København K"
"Borgergade 4, 5., 1300 København K"
"Borgergade 91, 1300 København K"
"Borgergade 18, st., 1300 København K"
"Borgergade 10, 4. tv, 1300 København K"
"Borgergade 24A, 1300 København K"
"Borgergade 6, 5., 1300 København K"
"Borgergade 4, 4. tv, 1300 København K"
"Borgergade 111, 1., 1300 København K"
"Borgergade 10, 2. tv, 1300 København K"
"Borgergade 20, 5., 1300 København K"
"Borgergade 20, 1. tv, 1300 København K"
"Borgergade 97, 1300 København K"
"Borgergade 12, 2. th, 1300 København K"
"Borgergade 16, 4., 1300 København K"
"Borgergade 2, 4. th, 1300 København K"
"Borgergade 2, 1. tv, 1300 København K"
"Borgergade 18, 1., 1300 København K"
"Borgergade 9, st., 1300 København K"
"Borgergade 6, 6., 1300 København K"
"Borgergade 16, 2., 1300 København K"
"Borgergade 10, 5. th, 1300 København K"
"Borgergade 9, 2., 1300 København K"
"Borgergade 14, 4. th, 1300 København K"
"Borgergade 2, 5., 1300 København K"
"Borgergade 18, 6., 1300 København K"
"Borgergade 14, st., 1300 København K"
"Borgergade 4, 1. th, 1300 København K"
"Borgergade 14, 1. tv, 1300 København K"
"Borgergade 18, 3., 1300 København K"
"Borgergade 12, st., 1300 København K"
"Borgergade 2, 1300 København K"
"Borgergade 111, 1300 København K"
"Borgergade 10, 6., 1300 København K"
"Borgergade 2, 4., 1300 København K"
"Borgergade 10, st., 1300 København K"
"Borgergade 9, 4., 1300 København K"
"Borgergade 10, 4. th, 1300 København K"
"Borgergade 27F, 1300 København K"
"Borgergade 3, st., 1300 København K"
"Borgergade 12, 4., 1300 København K"
"Borgergade 14, 1. th, 1300 København K"
"Borgergade 9, 5., 1300 København K"
"Borgergade 20, st. th, 1300 København K"
"Borgergade 12, 6. th, 1300 København K"
"Borgergade 6, 2. tv, 1300 København K"
"Borgergade 12, 3., 1300 København K"
"Borgergade 14, 6. tv, 1300 København K"
"Borgergade 12, 1. tv, 1300 København K"
"Borgergade 2, 3. th, 1300 København K"
"Borgergade 14, 1., 1300 København K"
"Borgergade 2, 5. th, 1300 København K"
"Borgergade 144, 1300 København K"
"Borgergade 14, 5. th, 1300 København K"
"Borgergade 10, 2. th, 1300 København K"
"Borgergade 6, 3., 1300 København K"
"Borgergade 2, 4. tv, 1300 København K"
"Borgergade 12, 6., 1300 København K"
"Borgergade 111, st., 1300 København K"
"Borgergade 11, 1300 København K"
"Borgergade 16, st. th, 1300 København K"
"Borgergade 14, 2., 1300 København K"
"Borgergade 26, 1300 København K"
"Borgergade 134, 1300 København K"
"Borgergade 3, 1., 1300 København K"
"Borgergade 4, 1. tv, 1300 København K"
"Borgergade 13, 1300 København K"
"Borgergade 12, 5. tv, 1300 København K"
"Borgergade 140, 1300 København K"
"Borgergade 13, 3., 1300 København K"
"Borgergade 2, 1. th, 1300 København K"
"Borgergade 14, st. th, 1300 København K"
"Borgergade 12, 5. th, 1300 København K"
"Borgergade 10, 5. tv, 1300 København K"
"Borgergade 14, 3., 1300 København K"
"Borgergade 4, st., 1300 København K"
"Borgergade 13, 2., 1300 København K"
"Borgergade 12, 3. tv, 1300 København K"
"Borgergade 20, 3. th, 1300 København K"
"Borgergade 10, 3., 1300 København K"
"Borgergade 2, 3., 1300 København K"
"Borgergade 30, 1. 4, 1300 København K"
"Borgergade 20, st., 1300 København K"
"Borgergade 10, 1. tv, 1300 København K"
"Borgergade 4, 6. tv, 1300 København K"
"Borgergade 20, 2. th, 1300 København K"
"Borgergade 2, st. th, 1300 København K"
"Borgergade 10, 2., 1300 København K"
"Borgergade 16, 3., 1300 København K"
"Borgergade 4, 2. tv, 1300 København K"
"Borgergade 14, 2. tv, 1300 København K"
"Borgergade 10, st. th, 1300 København K"
"Borgergade 27B, 1300 København K"
"Borgergade 4, 4., 1300 København K"
"Borgergade 12, 5., 1300 København K"
"Borgergade 2, 2. tv, 1300 København K"
"Borgergade 132, 1300 København K"
"Borgergade 12, 4. th, 1300 København K"
"Borgergade 12, 1., 1300 København K"
"Borgergade 16, st. tv, 1300 København K"
"Borgergade 10, 1. th, 1300 København K"
"Borgergade 2, 2. th, 1300 København K"
"Borgergade 13, 5., 1300 København K"
"Borgergade 2, 6. th, 1300 København K"
"Borgergade 16, 1300 København K"
"Borgergade 4, 3. tv, 1300 København K"
"Borgergade 10, 6. th, 1300 København K"
"Borgergade 9, 1., 1300 København K"
"Borgergade 18, 2., 1300 København K"
"Borgergade 20, 2. tv, 1300 København K"
"Borgergade 16, 5., 1300 København K"
"Borgergade 4, 5. tv, 1300 København K"
"Borgergade 4, st. th, 1300 København K"
"Borgergade 4, 1300 København K"
"Borgergade 16, st. mf, 1300 København K"
"Borgergade 27, 1300 København K"
"Borgergade 10, 4., 1300 København K"
"Borgergade 101, st., 1300 København K"
"Borgergade 14, 5. tv, 1300 København K"
"Borgergade 4, 1., 1300 København K"
"Borgergade 10, 3. tv, 1300 København K"
"Borgergade 14, 1300 København K"
"Borgergade 2, 5. tv, 1300 København K"
"Borgergade 6, 4., 1300 København K"
"Borgergade 10, 5., 1300 København K"
"Borgergade 1F, 1300 København K"
"Borgergade 1, 1300 København K"
"Borgergade 142, 1300 København K"
"Borgergade 38, st. th, 1300 København K"
"Borgergade 38, st. tv, 1300 København K"
"Borgergade 40, st. tv, 1300 København K"
"Borgergade 40, st. th, 1300 København K"
"Borgergade 5, 1300 København K"
"Borgergade 30, kl., 1300 København K"
"Borgergade 144, kl., 1300 København K"
"Borgergade 4, 5. th, 1300 København K"
"Borgergade 2, 3. tv, 1300 København K"
"Borgergade 111A, 1300 København K"
"Borgergade 24, 7., 1300 København K"
"Borgergade 24B, 7., 1300 København K"
"Borgergade 24, st., 1300 København K"
"Borgergade 24, 1., 1300 København K"
"Borgergade 24, 2., 1300 København K"
"Borgergade 24, 3., 1300 København K"
"Borgergade 24, 4., 1300 København K"
"Borgergade 24, 5., 1300 København K"
"Borgergade 24, 6., 1300 København K"
"Borgergade 24A, 7., 1300 København K"
"Borgergade 24, 1300 København K"
"Borgergade 24B, st., 1300 København K"
"Borgergade 27, st., 1300 København K"
