"Mjang Bygade 1, Mjang, 6470 Sydals"
"Harresbæk 42, Mommark, 6470 Sydals"
"Hørup Klint 6, Høruphav, 6470 Sydals"
"Kegnæsvej 90B, Drejby, 6470 Sydals"
"Kærløkke 13, Hørup, 6470 Sydals"
"Lærkemose 118, Skovmose, 6470 Sydals"
"Mommarkvej 262, Tandslet, 6470 Sydals"
"Nørre Landevej 39, Kegnæs, 6470 Sydals"
"Rønnemose 31, Skovmose, 6470 Sydals"
"Skovhøj 62, Høruphav, 6470 Sydals"
"Tandsbusk 9, Tandslet, 6470 Sydals"
"Toften 26, Høruphav, 6470 Sydals"
"Vimmelskaftet 9, Høruphav, 6470 Sydals"
"Birkemose 78, Skovmose, 6470 Sydals"
"Egemose 145, Skovmose, 6470 Sydals"
"Flejmose 100, Kegnæs, 6470 Sydals"
"Harresbæk 44, Mommark, 6470 Sydals"
"Hørup Klint 7, Høruphav, 6470 Sydals"
"Kærløkke 14, Hørup, 6470 Sydals"
"Lundvej 29, Lambjerglund, 6470 Sydals"
"Lærkemose 119, Skovmose, 6470 Sydals"
"Mommarkvej 263, Tandslet, 6470 Sydals"
"Rønnemose 32, Skovmose, 6470 Sydals"
"Toften 27, Høruphav, 6470 Sydals"
"Vimmelskaftet 10, Høruphav, 6470 Sydals"
"Birkemose 79, Skovmose, 6470 Sydals"
"Egemose 147, Skovmose, 6470 Sydals"
"Flejmose 102, Kegnæs, 6470 Sydals"
"Havbo 1, Høruphav, 6470 Sydals"
"Hørup Klint 8, Høruphav, 6470 Sydals"
"Kirkehøj 1, Kirke Hørup, 6470 Sydals"
"Kærløkke 15, Hørup, 6470 Sydals"
"Lundvej 30, Lambjerglund, 6470 Sydals"
"Lærkemose 120, Skovmose, 6470 Sydals"
"Mommarkvej 264, Tandslet, 6470 Sydals"
"Nørre Landevej 41, Kegnæs, 6470 Sydals"
"Rønnemose 33, Skovmose, 6470 Sydals"
"Skovhøj 64, Høruphav, 6470 Sydals"
"Birkemose 80, Skovmose, 6470 Sydals"
"Egemose 149, Skovmose, 6470 Sydals"
"Flejmose 104, Kegnæs, 6470 Sydals"
"Havbo 2, Høruphav, 6470 Sydals"
"Hørup Klint 10, Høruphav, 6470 Sydals"
"Kirkehøj 2, Kirke Hørup, 6470 Sydals"
"Kærløkke 16, Hørup, 6470 Sydals"
"Lundvej 32, Lambjerglund, 6470 Sydals"
"Lærkemose 121, Skovmose, 6470 Sydals"
"Nørre Landevej 43, Kegnæs, 6470 Sydals"
"Rønnemose 34, Skovmose, 6470 Sydals"
"Skovhøj 65, Høruphav, 6470 Sydals"
"Tandsbusk 12, Tandslet, 6470 Sydals"
"Vimmelskaftet 12A, Høruphav, 6470 Sydals"
"Birkemose 81, Skovmose, 6470 Sydals"
"Egemose 151, Skovmose, 6470 Sydals"
"Flejmose 106, Kegnæs, 6470 Sydals"
"Havbo 3, Høruphav, 6470 Sydals"
"Hørup Klint 12, Høruphav, 6470 Sydals"
"Kirkehøj 4, Kirke Hørup, 6470 Sydals"
"Kærløkke 17, Hørup, 6470 Sydals"
"Lundvej 34, Lambjerglund, 6470 Sydals"
"Mommarkvej 267, Tandslet, 6470 Sydals"
"Nørre Landevej 44, Kegnæs, 6470 Sydals"
"Rønnemose 35, Skovmose, 6470 Sydals"
"Skovhøj 66, Høruphav, 6470 Sydals"
"Tandsbusk 13, Tandslet, 6470 Sydals"
"Vimmelskaftet 12B, Høruphav, 6470 Sydals"
"Skovhøj 67, Høruphav, 6470 Sydals"
"Birkemose 82, Skovmose, 6470 Sydals"
"Egemose 153, Skovmose, 6470 Sydals"
"Fyrremose 2, Skovmose, 6470 Sydals"
"Havbo 4, Høruphav, 6470 Sydals"
"Kallehave 1, Hørup, 6470 Sydals"
"Kirkehøj 5, Kirke Hørup, 6470 Sydals"
"Kærløkke 18, Hørup, 6470 Sydals"
"Lærkemose 123, Skovmose, 6470 Sydals"
"Mommarkvej 268, Tandslet, 6470 Sydals"
"Nørre Landevej 45, Kegnæs, 6470 Sydals"
"Rønnemose 36, Skovmose, 6470 Sydals"
"Tandsbusk 14, Tandslet, 6470 Sydals"
"Vimmelskaftet 12C, Høruphav, 6470 Sydals"
"Birkemose 83, Skovmose, 6470 Sydals"
"Havbo 5, Høruphav, 6470 Sydals"
"Kallehave 2, Hørup, 6470 Sydals"
"Kirkehøj 6, Kirke Hørup, 6470 Sydals"
"Kærløkke 19, Hørup, 6470 Sydals"
"Lærkemose 124, Skovmose, 6470 Sydals"
"Nørre Landevej 46, Kegnæs, 6470 Sydals"
"Rønnemose 37, Skovmose, 6470 Sydals"
"Skovhøj 68, Høruphav, 6470 Sydals"
"Tandsbusk 15, Tandslet, 6470 Sydals"
"Vimmelskaftet 12D, Høruphav, 6470 Sydals"
"Birkemose 84, Skovmose, 6470 Sydals"
"Egemose 157, Skovmose, 6470 Sydals"
"Havbo 6, Høruphav, 6470 Sydals"
"Kallehave 3, Hørup, 6470 Sydals"
"Kirkehøj 7, Kirke Hørup, 6470 Sydals"
"Kærløkke 20, Hørup, 6470 Sydals"
"Lærkemose 125, Skovmose, 6470 Sydals"
"Mommarkvej 275, 1., Tandslet, 6470 Sydals"
"Nørre Landevej 47A, Kegnæs, 6470 Sydals"
"Rønnemose 38, Skovmose, 6470 Sydals"
"Skovhøj 69, Høruphav, 6470 Sydals"
"Tandsbusk 16, Tandslet, 6470 Sydals"
"Vimmelskaftet 12E, Høruphav, 6470 Sydals"
"Birkemose 85, Skovmose, 6470 Sydals"
"Egemose 159, Skovmose, 6470 Sydals"
"Fyrremose 8, Skovmose, 6470 Sydals"
"Havbo 7, Høruphav, 6470 Sydals"
"Kallehave 4, Hørup, 6470 Sydals"
"Kirkehøj 9, Kirke Hørup, 6470 Sydals"
"Kærløkke 21, Hørup, 6470 Sydals"
"Lundvej 42, Lambjerglund, 6470 Sydals"
"Lærkemose 126, Skovmose, 6470 Sydals"
"Mommarkvej 276, Tandslet, 6470 Sydals"
"Nørre Landevej 47B, Kegnæs, 6470 Sydals"
"Rønnemose 39, Skovmose, 6470 Sydals"
"Skovhøj 70, Høruphav, 6470 Sydals"
"Torsthoved 1, Kegnæs, 6470 Sydals"
"Vimmelskaftet 12F, Høruphav, 6470 Sydals"
"Tandshede 2A, 1., Tandslet, 6470 Sydals"
"Birkemose 86, Skovmose, 6470 Sydals"
"Egemose 161, Skovmose, 6470 Sydals"
"Havbo 8, Høruphav, 6470 Sydals"
"Kallehave 5, Hørup, 6470 Sydals"
"Kirkehøj 11, Kirke Hørup, 6470 Sydals"
"Kærløkke 22, Hørup, 6470 Sydals"
"Lundvej 44, Lambjerglund, 6470 Sydals"
"Lærkemose 127, Skovmose, 6470 Sydals"
"Mommarkvej 278A, Tandslet, 6470 Sydals"
"Nørre Landevej 49, Kegnæs, 6470 Sydals"
"Rønnemose 40, Skovmose, 6470 Sydals"
"Skovhøj 71, Høruphav, 6470 Sydals"
"Tandsbusk 18, Tandslet, 6470 Sydals"
"Torsthoved 2, Kegnæs, 6470 Sydals"
"Vimmelskaftet 12G, Høruphav, 6470 Sydals"
"Birkemose 87, Skovmose, 6470 Sydals"
"Egemose 163, Skovmose, 6470 Sydals"
"Fyrremose 12, Skovmose, 6470 Sydals"
"Havbo 9, Høruphav, 6470 Sydals"
"Kallehave 6, Hørup, 6470 Sydals"
"Kirke Hørupvej 1, Kirke Hørup, 6470 Sydals"
"Kærløkke 24, Hørup, 6470 Sydals"
"Lundvej 46, Lambjerglund, 6470 Sydals"
"Lærkemose 128, Skovmose, 6470 Sydals"
"Mommarkvej 278B, Tandslet, 6470 Sydals"
"Rønnemose 41, Skovmose, 6470 Sydals"
"Skovhøj 72, Høruphav, 6470 Sydals"
"Tandsbusk 19, Tandslet, 6470 Sydals"
"Torsthoved 3, Kegnæs, 6470 Sydals"
"Birkemose 88, Skovmose, 6470 Sydals"
"Egemose 165, Skovmose, 6470 Sydals"
"Fyrremose 14, Skovmose, 6470 Sydals"
"Havbo 10, Høruphav, 6470 Sydals"
"Kallehave 7, Hørup, 6470 Sydals"
"Kirke Hørupvej 2, Kirke Hørup, 6470 Sydals"
"Kærløkke 26, Hørup, 6470 Sydals"
"Lærkemose 129, Skovmose, 6470 Sydals"
"Mommarkvej 279, st., Tandslet, 6470 Sydals"
"Nørre Landevej 51, Kegnæs, 6470 Sydals"
"Rønnemose 42, Skovmose, 6470 Sydals"
"Skovhøj 73, Høruphav, 6470 Sydals"
"Tandsbusk 20, Tandslet, 6470 Sydals"
"Torsthoved 4, Kegnæs, 6470 Sydals"
"Vimmelskaftet 13, Høruphav, 6470 Sydals"
"Birkemose 89, Skovmose, 6470 Sydals"
"Egemose 167, Skovmose, 6470 Sydals"
"Fyrremose 16, Skovmose, 6470 Sydals"
"Havbo 11, Høruphav, 6470 Sydals"
"Kallehave 8, Hørup, 6470 Sydals"
"Kirke Hørupvej 3, Kirke Hørup, 6470 Sydals"
"Kærløkke 28, Hørup, 6470 Sydals"
"Lærkemose 130, Skovmose, 6470 Sydals"
"Mommarkvej 280, Tandslet, 6470 Sydals"
