"Moshusevej 1, 6092 Sønder Stenderup"
"Stenderupvej 191D, 6092 Sønder Stenderup"
"Stenderupvej 191E, 6092 Sønder Stenderup"
"Stenderupvej 191F, 6092 Sønder Stenderup"
"Stenderupvej 191S, 6092 Sønder Stenderup"
"Stenderupvej 191Y, 6092 Sønder Stenderup"
"Stenderupvej 193, 6092 Sønder Stenderup"
"Stenderupvej 197, 6092 Sønder Stenderup"
"Stenderupvej 201, 6092 Sønder Stenderup"
"Stenderupvej 203, 6092 Sønder Stenderup"
"Stenderupvej 205, 6092 Sønder Stenderup"
"Stenderupvej 207, 6092 Sønder Stenderup"
"Stenderupvej 209, 6092 Sønder Stenderup"
"Stenderupvej 211, 6092 Sønder Stenderup"
"Stenderupvej 215B, 6092 Sønder Stenderup"
"Stenderupvej 215, 6092 Sønder Stenderup"
"Stenderupvej 215A, 6092 Sønder Stenderup"
"Stenderupvej 217, 6092 Sønder Stenderup"
"Stenderupvej 213, 6092 Sønder Stenderup"
"Stenderuphagevej 1, 6092 Sønder Stenderup"
"Stenderuphagevej 2, 6092 Sønder Stenderup"
"Stenderuphagevej 3, 6092 Sønder Stenderup"
"Stenderuphagevej 7, 6092 Sønder Stenderup"
"Stenderuphagevej 5, 6092 Sønder Stenderup"
"Stenderuphagevej 4, 6092 Sønder Stenderup"
"Stenderup Kirkealle 2, 6092 Sønder Stenderup"
"Stenderup Kirkealle 4, 6092 Sønder Stenderup"
"Stenderup Kirkealle 1, 6092 Sønder Stenderup"
"Stenderup Kirkealle 6, 6092 Sønder Stenderup"
"Smøgen 1, 6092 Sønder Stenderup"
"Smøgen 3, 6092 Sønder Stenderup"
"Smøgen 5, 6092 Sønder Stenderup"
"Smøgen 2, 6092 Sønder Stenderup"
"Smøgen 4, 6092 Sønder Stenderup"
"Smøgen 6, 6092 Sønder Stenderup"
"Smøgen 8, 6092 Sønder Stenderup"
"Smøgen 10, 6092 Sønder Stenderup"
"Smøgen 12, 6092 Sønder Stenderup"
"Smøgen 14, 6092 Sønder Stenderup"
"Smøgen 16, 6092 Sønder Stenderup"
"Slunden 1, 6092 Sønder Stenderup"
"Slunden 3, 6092 Sønder Stenderup"
"Slunden 5, 6092 Sønder Stenderup"
"Slunden 7, 6092 Sønder Stenderup"
"Slunden 9, 6092 Sønder Stenderup"
"Slunden 11, 6092 Sønder Stenderup"
"Slunden 13, 6092 Sønder Stenderup"
"Slunden 15, 6092 Sønder Stenderup"
"Slunden 4, 6092 Sønder Stenderup"
"Slunden 6, 6092 Sønder Stenderup"
"Slunden 8, 6092 Sønder Stenderup"
"Slunden 10, 6092 Sønder Stenderup"
"Slunden 12A, 6092 Sønder Stenderup"
"Slunden 12B, 6092 Sønder Stenderup"
"Slunden 14A, 6092 Sønder Stenderup"
"Slunden 14B, 6092 Sønder Stenderup"
"Slunden 16A, 6092 Sønder Stenderup"
"Slunden 16B, 6092 Sønder Stenderup"
"Skibelundvej 1, 6092 Sønder Stenderup"
"Skibelundvej 3, 6092 Sønder Stenderup"
"Skibelundvej 5, 6092 Sønder Stenderup"
"Skibelundvej 7, 6092 Sønder Stenderup"
"Skibelundvej 9, 6092 Sønder Stenderup"
"Skibelundvej 11, 6092 Sønder Stenderup"
"Skibelundvej 13, 6092 Sønder Stenderup"
"Skibelundvej 17, 6092 Sønder Stenderup"
"Skibelundvej 21, 6092 Sønder Stenderup"
"Skibelundvej 23, 6092 Sønder Stenderup"
"Skibelundvej 2, 6092 Sønder Stenderup"
"Skibelundvej 4, 6092 Sønder Stenderup"
"Skibelundvej 6, 6092 Sønder Stenderup"
"Skibelundvej 8, 6092 Sønder Stenderup"
"Skibelundvej 10, 6092 Sønder Stenderup"
"Skibelundvej 12, 6092 Sønder Stenderup"
"Skibelundvej 12A, 6092 Sønder Stenderup"
"Skibelundvej 14, 6092 Sønder Stenderup"
"Skibelundvej 18, 6092 Sønder Stenderup"
"Skibelundvej 16, 6092 Sønder Stenderup"
"Skibelundvej 20, 6092 Sønder Stenderup"
"Skibelundvej 20C, 6092 Sønder Stenderup"
"Skibelundvej 22, 6092 Sønder Stenderup"
"Gl. Ålbovej 1, 6092 Sønder Stenderup"
"Gl. Ålbovej 1A, 6092 Sønder Stenderup"
"Gl. Ålbovej 3, 6092 Sønder Stenderup"
"Gl. Ålbovej 5A, 6092 Sønder Stenderup"
"Gl. Ålbovej 5B, 6092 Sønder Stenderup"
"Gl. Ålbovej 7, 6092 Sønder Stenderup"
"Gl. Ålbovej 11, 6092 Sønder Stenderup"
"Gl. Ålbovej 13, 6092 Sønder Stenderup"
"Gl. Ålbovej 15, st. th, 6092 Sønder Stenderup"
"Gl. Ålbovej 15, st. tv, 6092 Sønder Stenderup"
"Gl. Ålbovej 15, 1. th, 6092 Sønder Stenderup"
"Gl. Ålbovej 15, 1. tv, 6092 Sønder Stenderup"
"Gl. Ålbovej 17, 6092 Sønder Stenderup"
"Gl. Ålbovej 19, 6092 Sønder Stenderup"
"Gl. Ålbovej 21, 6092 Sønder Stenderup"
"Gl. Ålbovej 23, 6092 Sønder Stenderup"
"Gl. Ålbovej 25, 6092 Sønder Stenderup"
"Gl. Ålbovej 27, 6092 Sønder Stenderup"
"Gl. Ålbovej 31, 6092 Sønder Stenderup"
"Gl. Ålbovej 30, 6092 Sønder Stenderup"
"Gl. Ålbovej 28, 6092 Sønder Stenderup"
"Gl. Ålbovej 26, 6092 Sønder Stenderup"
"Gl. Ålbovej 24, 6092 Sønder Stenderup"
"Gl. Ålbovej 22, 6092 Sønder Stenderup"
"Gl. Ålbovej 22A, 6092 Sønder Stenderup"
"Gl. Ålbovej 20, 6092 Sønder Stenderup"
"Gl. Ålbovej 18, 6092 Sønder Stenderup"
"Gl. Ålbovej 16, 6092 Sønder Stenderup"
"Gl. Ålbovej 14, 6092 Sønder Stenderup"
"Gl. Ålbovej 12, 6092 Sønder Stenderup"
"Gl. Ålbovej 10, 6092 Sønder Stenderup"
"Gl. Ålbovej 8, 6092 Sønder Stenderup"
"Gl. Ålbovej 4, 6092 Sønder Stenderup"
"Gl. Ålbovej 2, 6092 Sønder Stenderup"
"Gl. Moshusevej 2, 6092 Sønder Stenderup"
"Gl. Moshusevej 4, 6092 Sønder Stenderup"
"Stenholtgade 3, st., 6092 Sønder Stenderup"
"Stenholtgade 3, 1., 6092 Sønder Stenderup"
"Stenholtgade 3A, 6092 Sønder Stenderup"
"Stenholtgade 5, 6092 Sønder Stenderup"
"Stenholtgade 3, 6092 Sønder Stenderup"
"Fæstevej 1, 6092 Sønder Stenderup"
"Fæstevej 3, 6092 Sønder Stenderup"
"Fæstevej 5, 6092 Sønder Stenderup"
"Frydenborgvej 1, 6092 Sønder Stenderup"
"Frydenborgvej 2, 6092 Sønder Stenderup"
"Frydenborgvej 4, 6092 Sønder Stenderup"
"Frydenborgvej 3, 6092 Sønder Stenderup"
"Frydenborgvej 6, 6092 Sønder Stenderup"
"Frydenborgvej 8, 6092 Sønder Stenderup"
"Frydenborgvej 12, 6092 Sønder Stenderup"
"Frydenborgvej 16A, 6092 Sønder Stenderup"
"Frydenborgvej 16B, 6092 Sønder Stenderup"
"Frydenborgvej 18, 6092 Sønder Stenderup"
"Frydenborgvej 20, 6092 Sønder Stenderup"
"Frydenborgvej 22, 6092 Sønder Stenderup"
"Frydenborgvej 24, 6092 Sønder Stenderup"
"Frydenborgvej 26, 6092 Sønder Stenderup"
"Frydenborgvej 28, 6092 Sønder Stenderup"
"Frydenborgvej 32, 6092 Sønder Stenderup"
"Frydenborgvej 34, 6092 Sønder Stenderup"
"Frydenborgvej 34, st., 6092 Sønder Stenderup"
"Frydenborgvej 36, 6092 Sønder Stenderup"
"Frydenborgvej 38, 6092 Sønder Stenderup"
"Frydenborgvej 40, 6092 Sønder Stenderup"
"Frydenborgvej 42, 6092 Sønder Stenderup"
"Hundborgvej 46, 6092 Sønder Stenderup"
"Præstediget 1, 6092 Sønder Stenderup"
"Præstediget 3, 6092 Sønder Stenderup"
"Præstediget 5, 6092 Sønder Stenderup"
"Præstediget 7, 6092 Sønder Stenderup"
"Præstediget 9, 6092 Sønder Stenderup"
"Præstediget 11, 6092 Sønder Stenderup"
"Stenderupvej 224A, 6092 Sønder Stenderup"
"Mørkholtvej 1, 6092 Sønder Stenderup"
"Mørkholtvej 2, 6092 Sønder Stenderup"
"Mørkholtvej 4, 6092 Sønder Stenderup"
"Mørkholtvej 5, 6092 Sønder Stenderup"
"Mørkholtvej 6, 6092 Sønder Stenderup"
"Mørkholtvej 7, 6092 Sønder Stenderup"
"Mørkholtvej 8, 6092 Sønder Stenderup"
"Mørkholtvej 9, 6092 Sønder Stenderup"
"Mørkholtvej 10, 6092 Sønder Stenderup"
"Mørkholtvej 11, 6092 Sønder Stenderup"
"Mørkholtvej 12, 6092 Sønder Stenderup"
"Mørkholtvej 13, 6092 Sønder Stenderup"
"Mørkholtvej 14, 6092 Sønder Stenderup"
"Mørkholtvej 15, 6092 Sønder Stenderup"
"Mørkholtvej 16, 6092 Sønder Stenderup"
"Mørkholtvej 18, 6092 Sønder Stenderup"
"Mørkholtvej 19, 6092 Sønder Stenderup"
"Mørkholtvej 20, 6092 Sønder Stenderup"
"Mørkholtvej 22, 6092 Sønder Stenderup"
"Mørkholtvej 24, 6092 Sønder Stenderup"
"Møllebro 2, 6092 Sønder Stenderup"
"Møllebro 3, 6092 Sønder Stenderup"
"Møllebro 4, 6092 Sønder Stenderup"
"Møllebro 5, 6092 Sønder Stenderup"
"Møllebro 6, 6092 Sønder Stenderup"
"Møllebro 7, 6092 Sønder Stenderup"
"Møllebro 8, 6092 Sønder Stenderup"
"Møllebro 9, 6092 Sønder Stenderup"
"Møllebro 10, 6092 Sønder Stenderup"
"Møllebro 11, 6092 Sønder Stenderup"
"Møllebro 12, 6092 Sønder Stenderup"
"Møllebro 13, 6092 Sønder Stenderup"
"Møllebro 14, 6092 Sønder Stenderup"
"Møllebro 17, 6092 Sønder Stenderup"
"Moshusevej 3, 6092 Sønder Stenderup"
"Moshusevej 3, 1., 6092 Sønder Stenderup"
"Moshusevej 3, st., 6092 Sønder Stenderup"
"Moshusevej 4, 6092 Sønder Stenderup"
"Moshusevej 5, 6092 Sønder Stenderup"
"Moshusevej 7, 6092 Sønder Stenderup"
"Moshusevej 9, 6092 Sønder Stenderup"
"Moshusevej 11, 6092 Sønder Stenderup"
"Moshusevej 13, 6092 Sønder Stenderup"
"Moshusevej 15, 6092 Sønder Stenderup"
"Moshusevej 17, 6092 Sønder Stenderup"
"Moshusevej 19, 6092 Sønder Stenderup"
"Moshusevej 20, 6092 Sønder Stenderup"
"Moshusevej 21, 6092 Sønder Stenderup"
"Moshusevej 22, 6092 Sønder Stenderup"
"Moshusevej 23, 6092 Sønder Stenderup"
"Moshusevej 24, 6092 Sønder Stenderup"
"Moshusevej 25, 6092 Sønder Stenderup"
"Moshusevej 26, 6092 Sønder Stenderup"
"Moshusevej 27, 6092 Sønder Stenderup"
"Moshusevej 29, 6092 Sønder Stenderup"
"Moshusevej 30, 6092 Sønder Stenderup"
"Moshusevej 31, 6092 Sønder Stenderup"
"Moshusevej 32, 6092 Sønder Stenderup"
"Moshusevej 34, 6092 Sønder Stenderup"
"Moshusevej 36, 6092 Sønder Stenderup"
"Moshusevej 38, 6092 Sønder Stenderup"
"Moshusevej 40, 6092 Sønder Stenderup"
"Moshusevej 42, 6092 Sønder Stenderup"
"Moshusevej 44, 6092 Sønder Stenderup"
"Moshusevej 46, 6092 Sønder Stenderup"
"Moshusevej 48, 6092 Sønder Stenderup"
"Moshusevej 50, 6092 Sønder Stenderup"
"Moshusevej 60, 6092 Sønder Stenderup"
"Moshusevej 62, 6092 Sønder Stenderup"
"Moshusevej 64, 6092 Sønder Stenderup"
"Moshusevej 66, 6092 Sønder Stenderup"
"Moshusevej 68, 6092 Sønder Stenderup"
"Moshusevej 70, 6092 Sønder Stenderup"
"Moshusevej 72, 6092 Sønder Stenderup"
"Moshusevej 74, 6092 Sønder Stenderup"
"Moshusevej 76, 6092 Sønder Stenderup"
"Moshusevej 78, 6092 Sønder Stenderup"
"Moshusevej 80, 6092 Sønder Stenderup"
"Moshusevej 82, 6092 Sønder Stenderup"
"Midtvej 1, 6092 Sønder Stenderup"
"Midtvej 2, 6092 Sønder Stenderup"
"Løveroddevej 1, 6092 Sønder Stenderup"
"Løveroddevej 1A, 6092 Sønder Stenderup"
"Løveroddevej 1B, 6092 Sønder Stenderup"
"Løveroddevej 4, 6092 Sønder Stenderup"
"Løveroddevej 5, 6092 Sønder Stenderup"
"Løveroddevej 6, 6092 Sønder Stenderup"
"Løveroddevej 7A, 6092 Sønder Stenderup"
"Løveroddevej 9, 6092 Sønder Stenderup"
"Løveroddevej 10, 6092 Sønder Stenderup"
"Løveroddevej 12, 6092 Sønder Stenderup"
"Hyldvej 1B, 6092 Sønder Stenderup"
"Hyldvej 3, 6092 Sønder Stenderup"
"Skibelundvej 19, 6092 Sønder Stenderup"
"Skibelundvej 19C, 6092 Sønder Stenderup"
"Skibelundvej 19A, 6092 Sønder Stenderup"
"Skibelundvej 19C, st. th, 6092 Sønder Stenderup"
"Skibelundvej 19B, st. th, 6092 Sønder Stenderup"
"Skibelundvej 19C, st. tv, 6092 Sønder Stenderup"
"Skibelundvej 19B, st. mf, 6092 Sønder Stenderup"
"Skibelundvej 19B, st. tv, 6092 Sønder Stenderup"
"Skibelundvej 19B, 6092 Sønder Stenderup"
"Skibelundvej 19, st. tv, 6092 Sønder Stenderup"
"Skibelundvej 19A, st. th, 6092 Sønder Stenderup"
"Skibelundvej 19A, st. tv, 6092 Sønder Stenderup"
"Moshusevej 18A, 6092 Sønder Stenderup"
"Moshusevej 20A, 6092 Sønder Stenderup"
"Stenderupvej 189, 6092 Sønder Stenderup"
"Stenderupvej 199, 6092 Sønder Stenderup"
"Skibelundvej 15, st. th, 6092 Sønder Stenderup"
"Skibelundvej 15, st. tv, 6092 Sønder Stenderup"
"Skibelundvej 15, 6092 Sønder Stenderup"
"Hyldvej 1A, 6092 Sønder Stenderup"
"Frydenborgvej 30, 6092 Sønder Stenderup"
"Midtvej 3, 6092 Sønder Stenderup"
"Midtvej 3A, 6092 Sønder Stenderup"
"Midtvej 3B, 6092 Sønder Stenderup"
"Midtvej 5, 6092 Sønder Stenderup"
"Midtvej 5, 3b, 6092 Sønder Stenderup"
"Midtvej 5, 3a, 6092 Sønder Stenderup"
"Stenderuphagevej 1A, 6092 Sønder Stenderup"
"Thygesmindevej 2, 6092 Sønder Stenderup"
"Gl. Ålbovej 17A, 6092 Sønder Stenderup"
"Løveroddevej 8, 6092 Sønder Stenderup"
"Løveroddevej 10B, 6092 Sønder Stenderup"
"Løveroddevej 11, 6092 Sønder Stenderup"
"Frydenborgvej 8H, 6092 Sønder Stenderup"
"Frydenborgvej 8A, 6092 Sønder Stenderup"
"Løveroddevej 2, 6092 Sønder Stenderup"
"Løveroddevej 10A, 6092 Sønder Stenderup"
"Gl. Ålbovej 2K, 6092 Sønder Stenderup"
"Gl. Ålbovej 9, 6092 Sønder Stenderup"
"Gl. Ålbovej 27, 1., 6092 Sønder Stenderup"
"Moshusevej 19A, 6092 Sønder Stenderup"
"Hundborgvej 52, 6092 Sønder Stenderup"
"Stenderupvej 198, 6092 Sønder Stenderup"
"Stenderupvej 200, 6092 Sønder Stenderup"
"Stenderupvej 198A, 6092 Sønder Stenderup"
