"Almindingensvej 27A, Østermarie, 3751 Østermarie"
"Ølenevej 12, Østermarie, 3751 Østermarie"
"Ølenevej 14, Østermarie, 3751 Østermarie"
"Aspevej 22, Østermarie, 3751 Østermarie"
"Ølenevej 15, Østermarie, 3751 Østermarie"
"Lærkevej 2, Østermarie, 3751 Østermarie"
"Lærkevej 3, Østermarie, 3751 Østermarie"
"Godthåbsvej 62, Østermarie, 3751 Østermarie"
"Lærkevej 4, Østermarie, 3751 Østermarie"
"Lærkevej 6, Østermarie, 3751 Østermarie"
"Lærkevej 7, Østermarie, 3751 Østermarie"
"Lærkevej 8, Østermarie, 3751 Østermarie"
"Ølenevej 17, Østermarie, 3751 Østermarie"
"Lærkevej 9, Østermarie, 3751 Østermarie"
"Lærkevej 10, Østermarie, 3751 Østermarie"
"Lærkevej 11, Østermarie, 3751 Østermarie"
"Lærkevej 12, Østermarie, 3751 Østermarie"
"Lærkevej 13, Østermarie, 3751 Østermarie"
"Lærkevej 14, Østermarie, 3751 Østermarie"
"Lærkevej 16, Østermarie, 3751 Østermarie"
"Lærkevej 18, Østermarie, 3751 Østermarie"
"Lærkevej 19, Østermarie, 3751 Østermarie"
"Lærkevej 20, Østermarie, 3751 Østermarie"
"Lærkevej 21, Østermarie, 3751 Østermarie"
"Lærkevej 22, Østermarie, 3751 Østermarie"
"Lærkevej 23, Østermarie, 3751 Østermarie"
"Lærkevej 24, Østermarie, 3751 Østermarie"
"Ølenevej 18, Østermarie, 3751 Østermarie"
"Lærkevej 25, Østermarie, 3751 Østermarie"
"Lærkevej 26, Østermarie, 3751 Østermarie"
"Lærkevej 27, Østermarie, 3751 Østermarie"
"Lærkevej 29, Østermarie, 3751 Østermarie"
"Buskevej 3, Østermarie, 3751 Østermarie"
"Godthåbsvej 65, Østermarie, 3751 Østermarie"
"Ølenevej 19, Østermarie, 3751 Østermarie"
"Ølenevej 20, Østermarie, 3751 Østermarie"
"Ølenevej 21, Østermarie, 3751 Østermarie"
"Aspevej 31, Østermarie, 3751 Østermarie"
"Kirkeskolevej 12, Østermarie, 3751 Østermarie"
"Ølenevej 22, Østermarie, 3751 Østermarie"
"Kirkeskolevej 13, Østermarie, 3751 Østermarie"
"Ølenevej 23, Østermarie, 3751 Østermarie"
"Ølenevej 24, Østermarie, 3751 Østermarie"
"Ølenevej 25, Østermarie, 3751 Østermarie"
"Kirkeskolevej 16, Østermarie, 3751 Østermarie"
"Ølenevej 26, Østermarie, 3751 Østermarie"
"Kirkeskolevej 18, Østermarie, 3751 Østermarie"
"Ølenevej 27, Østermarie, 3751 Østermarie"
"Kirkeskolevej 20, Østermarie, 3751 Østermarie"
"Svanekevej 1, Østermarie, 3751 Østermarie"
"Ølenevej 29, Østermarie, 3751 Østermarie"
"Svanekevej 2A, Østermarie, 3751 Østermarie"
"Ølenevej 30, Østermarie, 3751 Østermarie"
"Svanekevej 2B, Østermarie, 3751 Østermarie"
"Svanekevej 3, Østermarie, 3751 Østermarie"
"Ølenevej 32, Østermarie, 3751 Østermarie"
"Svanekevej 4, Østermarie, 3751 Østermarie"
"Svanekevej 5, Østermarie, 3751 Østermarie"
"Svanekevej 6, Østermarie, 3751 Østermarie"
"Vestervej 1, Østermarie, 3751 Østermarie"
"Svanekevej 8, Østermarie, 3751 Østermarie"
"Vestervej 2, Østermarie, 3751 Østermarie"
"Svanekevej 9, Østermarie, 3751 Østermarie"
"Vestervej 3, Østermarie, 3751 Østermarie"
"Svanekevej 10, Østermarie, 3751 Østermarie"
"Vestervej 4, Østermarie, 3751 Østermarie"
"Svanekevej 11, Østermarie, 3751 Østermarie"
"Vestervej 5, Østermarie, 3751 Østermarie"
"Svanekevej 12, Østermarie, 3751 Østermarie"
"Svanekevej 13, Østermarie, 3751 Østermarie"
"Svanekevej 14, Østermarie, 3751 Østermarie"
"Svanekevej 15, Østermarie, 3751 Østermarie"
"Svanekevej 16, Østermarie, 3751 Østermarie"
"Svanekevej 17, Østermarie, 3751 Østermarie"
"Svanekevej 18, Østermarie, 3751 Østermarie"
"Svanekevej 19, Østermarie, 3751 Østermarie"
"Svanekevej 20, Østermarie, 3751 Østermarie"
"Svanekevej 21, Østermarie, 3751 Østermarie"
"Svanekevej 22, Østermarie, 3751 Østermarie"
"Svanekevej 23, Østermarie, 3751 Østermarie"
"Svanekevej 24, Østermarie, 3751 Østermarie"
"Svanekevej 25, Østermarie, 3751 Østermarie"
"Svanekevej 26, Østermarie, 3751 Østermarie"
"Svanekevej 27, Østermarie, 3751 Østermarie"
"Svanekevej 28, Østermarie, 3751 Østermarie"
"Svanekevej 30, Østermarie, 3751 Østermarie"
"Vibevænget 2, Østermarie, 3751 Østermarie"
"Svanekevej 31, Østermarie, 3751 Østermarie"
"Vibevænget 4, Østermarie, 3751 Østermarie"
"Vibevænget 6, Østermarie, 3751 Østermarie"
"Svanekevej 33, Østermarie, 3751 Østermarie"
"Grammegårdsvej 2, Østermarie, 3751 Østermarie"
"Svanekevej 35, Østermarie, 3751 Østermarie"
"Svanekevej 37, Østermarie, 3751 Østermarie"
"Lyrsbyskov 1, Østermarie, 3751 Østermarie"
"Svanekevej 39, Østermarie, 3751 Østermarie"
"Svanekevej 41, Østermarie, 3751 Østermarie"
"Svanekevej 43, Østermarie, 3751 Østermarie"
"Svanekevej 45, Østermarie, 3751 Østermarie"
"Svanekevej 47, Østermarie, 3751 Østermarie"
"Svanekevej 49, Østermarie, 3751 Østermarie"
"Svanekevej 51, Østermarie, 3751 Østermarie"
"Svanekevej 53, Østermarie, 3751 Østermarie"
"Svanekevej 55, Østermarie, 3751 Østermarie"
"Kirkebyvej 28, Østermarie, 3751 Østermarie"
"Lyrsbyvej 6, Østermarie, 3751 Østermarie"
"Svanekevej 57, Østermarie, 3751 Østermarie"
"Slamrebjergvej 22, Poulsker, 3751 Østermarie"
"Lyrsbyvej 8, Østermarie, 3751 Østermarie"
"Lyrsbyvej 9, Østermarie, 3751 Østermarie"
"Kirkebyvej 31, Østermarie, 3751 Østermarie"
"Kirkebyvej 32, Østermarie, 3751 Østermarie"
"Kirkebyvej 38, Østermarie, 3751 Østermarie"
"Kirkebyvej 40, Østermarie, 3751 Østermarie"
"Nybrovej 56, Østermarie, 3751 Østermarie"
"Torvegade 2, Østermarie, 3751 Østermarie"
"Torvegade 9, Østermarie, 3751 Østermarie"
"Torvegade 10, Østermarie, 3751 Østermarie"
"Kirkebyvej 48, Østermarie, 3751 Østermarie"
"Torvegade 11, Østermarie, 3751 Østermarie"
"Torvegade 12, Østermarie, 3751 Østermarie"
"Torvegade 13, Østermarie, 3751 Østermarie"
"Torvegade 14, Østermarie, 3751 Østermarie"
"Lyrsbyvej 28, Østermarie, 3751 Østermarie"
"Torvegade 15, Østermarie, 3751 Østermarie"
"Torvegade 17, Østermarie, 3751 Østermarie"
"Torvegade 18, Østermarie, 3751 Østermarie"
"Torvegade 19, Østermarie, 3751 Østermarie"
"Torvegade 19A, Østermarie, 3751 Østermarie"
"Torvegade 20, Østermarie, 3751 Østermarie"
"Lyrsbyvej 33, Østermarie, 3751 Østermarie"
"Torvegade 21, Østermarie, 3751 Østermarie"
"Torvegade 22, Østermarie, 3751 Østermarie"
"Almindingensvej 29, Østermarie, 3751 Østermarie"
"Løvsangervej 2, Østermarie, 3751 Østermarie"
"Løvsangervej 3, Østermarie, 3751 Østermarie"
"Løvsangervej 5, Østermarie, 3751 Østermarie"
"Maglegårdsvej 1, Østermarie, 3751 Østermarie"
"Maglegårdsvej 2, Østermarie, 3751 Østermarie"
"Maglegårdsvej 3, Østermarie, 3751 Østermarie"
"Maglegårdsvej 7, Østermarie, 3751 Østermarie"
"Segenvej 45, Vestermarie, 3751 Østermarie"
"Almindingensvej 41, Østermarie, 3751 Østermarie"
"Almindingensvej 42, Østermarie, 3751 Østermarie"
"Louisenlundvej 3, Østermarie, 3751 Østermarie"
"Almindingensvej 53, Østermarie, 3751 Østermarie"
"Nyvej 1, Østermarie, 3751 Østermarie"
"Nyvej 2, Østermarie, 3751 Østermarie"
"Nyvej 4, Østermarie, 3751 Østermarie"
"Dyndevej 6, Østermarie, 3751 Østermarie"
"Nyvej 6, Østermarie, 3751 Østermarie"
"Almindingensvej 63, Østermarie, 3751 Østermarie"
"Almindingensvej 64, Østermarie, 3751 Østermarie"
"Dalslundevej 1, Østermarie, 3751 Østermarie"
"Stærevej 1, Østermarie, 3751 Østermarie"
"Dyndevej 15, Østermarie, 3751 Østermarie"
"Stærevej 2, Østermarie, 3751 Østermarie"
"Lindetsvej 6, Østermarie, 3751 Østermarie"
"Stærevej 3, Østermarie, 3751 Østermarie"
"Nydamsvej 3, Østermarie, 3751 Østermarie"
"Stærevej 4, Østermarie, 3751 Østermarie"
"Stærevej 5, Østermarie, 3751 Østermarie"
"Nydamsvej 5, Østermarie, 3751 Østermarie"
"Stærevej 6, Østermarie, 3751 Østermarie"
"Stærevej 7, Østermarie, 3751 Østermarie"
"Dyndevej 21, Østermarie, 3751 Østermarie"
"Stærevej 8, Østermarie, 3751 Østermarie"
"Dyndevej 22, Østermarie, 3751 Østermarie"
"Savmøllevej 2B, Østermarie, 3751 Østermarie"
"Almindingensvej 88, Østermarie, 3751 Østermarie"
"Spurvevej 1, Østermarie, 3751 Østermarie"
"Glappevej 2, Østermarie, 3751 Østermarie"
"Spurvevej 2, Østermarie, 3751 Østermarie"
"Torvevænget 1, Østermarie, 3751 Østermarie"
"Torvevænget 2, Østermarie, 3751 Østermarie"
"Glappevej 6, Østermarie, 3751 Østermarie"
"Torvevænget 3, Østermarie, 3751 Østermarie"
"Torvevænget 4, Østermarie, 3751 Østermarie"
"Glappevej 8, Østermarie, 3751 Østermarie"
"Heroldsvej 4, Østermarie, 3751 Østermarie"
"Solsortevej 2, Østermarie, 3751 Østermarie"
"Glappevej 14, Østermarie, 3751 Østermarie"
"Solsortevej 4, Østermarie, 3751 Østermarie"
"Solsortevej 6, Østermarie, 3751 Østermarie"
"Solsortevej 8, Østermarie, 3751 Østermarie"
"Bølshavn 3, Bølshavn, 3751 Østermarie"
"Solsortevej 10, Østermarie, 3751 Østermarie"
"Solsortevej 12, Østermarie, 3751 Østermarie"
"Solsortevej 14, Østermarie, 3751 Østermarie"
"Solsortevej 16, Østermarie, 3751 Østermarie"
"Solsortevej 18, Østermarie, 3751 Østermarie"
"Solsortevej 20, Østermarie, 3751 Østermarie"
"Saltunavej 2, Østermarie, 3751 Østermarie"
"Ypnasted 1, Ypnasted, 3751 Østermarie"
"Ypnasted 2, Ypnasted, 3751 Østermarie"
"Ypnasted 3, Ypnasted, 3751 Østermarie"
"Saltunavej 5, Østermarie, 3751 Østermarie"
"Ypnasted 4, Ypnasted, 3751 Østermarie"
"Ypnasted 5, Ypnasted, 3751 Østermarie"
"Ypnasted 6, Ypnasted, 3751 Østermarie"
"Ypnasted 7, Ypnasted, 3751 Østermarie"
"Ypnasted 8, Ypnasted, 3751 Østermarie"
"Ypnasted 10, Ypnasted, 3751 Østermarie"
"Ypnasted 11, Ypnasted, 3751 Østermarie"
"Ypnasted 12, Ypnasted, 3751 Østermarie"
"Ypnasted 13, Ypnasted, 3751 Østermarie"
"Saltunavej 14, Østermarie, 3751 Østermarie"
"Ypnasted 15, Ypnasted, 3751 Østermarie"
"Ypnasted 19, Ypnasted, 3751 Østermarie"
"Ypnasted 21, Ypnasted, 3751 Østermarie"
"Saltunavej 34, Østermarie, 3751 Østermarie"
"Svalevej 3, Østermarie, 3751 Østermarie"
"Svalevej 4, Østermarie, 3751 Østermarie"
"Åløsevej 31, Østermarie, 3751 Østermarie"
"Svalevej 5, Østermarie, 3751 Østermarie"
"Åløsevej 32, Østermarie, 3751 Østermarie"
"Staggevej 1, Østermarie, 3751 Østermarie"
"Svalevej 6, Østermarie, 3751 Østermarie"
"Staggevej 2, Østermarie, 3751 Østermarie"
"Åløsevej 34, Østermarie, 3751 Østermarie"
"Staggevej 3, Østermarie, 3751 Østermarie"
"Åløsevej 35, Østermarie, 3751 Østermarie"
"Staggevej 4, Østermarie, 3751 Østermarie"
"Åløsevej 36, Østermarie, 3751 Østermarie"
"Staggevej 5, Østermarie, 3751 Østermarie"
"Åløsevej 37, Østermarie, 3751 Østermarie"
"Åløsevej 38, Østermarie, 3751 Østermarie"
"Åløsevej 39, Østermarie, 3751 Østermarie"
"Godthåbsvej 5, Østermarie, 3751 Østermarie"
"Åløsevej 40, Østermarie, 3751 Østermarie"
"Randkløvevej 11, Østermarie, 3751 Østermarie"
"Åløsevej 41, Østermarie, 3751 Østermarie"
"Åløsevej 43, Østermarie, 3751 Østermarie"
"Flæskedalsvej 6, Østermarie, 3751 Østermarie"
"Randkløvevej 14, Østermarie, 3751 Østermarie"
"Hedebovej 2, Østermarie, 3751 Østermarie"
"Hedebovej 4, Østermarie, 3751 Østermarie"
"Plantagevej 20, Ibsker, 3751 Østermarie"
"Randkløvevej 28, Østermarie, 3751 Østermarie"
"Mejsevangen 2, Østermarie, 3751 Østermarie"
"Plantagevej 22, Ibsker, 3751 Østermarie"
"Randkløvevej 32, Østermarie, 3751 Østermarie"
"Kildevangsvej 5, Østermarie, 3751 Østermarie"
"Randkløvevej 34, Østermarie, 3751 Østermarie"
"Skrullevej 1, Østermarie, 3751 Østermarie"
"Skrullevej 2, Østermarie, 3751 Østermarie"
"Skrullevej 3, Østermarie, 3751 Østermarie"
"Plantagevej 26, Østermarie, 3751 Østermarie"
"Skrullevej 5, Østermarie, 3751 Østermarie"
"Plantagevej 29, Poulsker, 3751 Østermarie"
"Randkløvevej 44, Østermarie, 3751 Østermarie"
"Skrullevej 6, Østermarie, 3751 Østermarie"
"Skrullevej 7, Østermarie, 3751 Østermarie"
"Skrullevej 8, Østermarie, 3751 Østermarie"
"Skrullevej 10, Østermarie, 3751 Østermarie"
"Stenbakkevej 2, Østermarie, 3751 Østermarie"
"Myregårdsvej 18, Østermarie, 3751 Østermarie"
"Plantagevej 35, Poulsker, 3751 Østermarie"
"Skrullevej 11, Østermarie, 3751 Østermarie"
"Stenbakkevej 3, Østermarie, 3751 Østermarie"
"Buskevej 8, Østermarie, 3751 Østermarie"
"Bølshavnvej 2, 3751 Østermarie"
"Stenbakkevej 4, Østermarie, 3751 Østermarie"
"Bølshavnvej 3, 3751 Østermarie"
"Plantagevej 37, Poulsker, 3751 Østermarie"
"Stenbakkevej 5, Østermarie, 3751 Østermarie"
"Plantagevej 39, Poulsker, 3751 Østermarie"
"Stenbakkevej 7, Østermarie, 3751 Østermarie"
"Stenbakkevej 9, Østermarie, 3751 Østermarie"
"Plantagevej 49, Østermarie, 3751 Østermarie"
"Stenbakkevej 11, Østermarie, 3751 Østermarie"
"Stenbakkevej 13, Østermarie, 3751 Østermarie"
"Plantagevej 53, Østermarie, 3751 Østermarie"
"Svanekevej 29A, Østermarie, 3751 Østermarie"
"Svanekevej 29B, Østermarie, 3751 Østermarie"
"Almindingensvej 27, Østermarie, 3751 Østermarie"
"Idrætsvej 3A, Østermarie, 3751 Østermarie"
"Louisenlundvej 4B, Østermarie, 3751 Østermarie"
"Torvegade 2B, Østermarie, 3751 Østermarie"
"Idrætsvej 2A, Østermarie, 3751 Østermarie"
"Myregårdsvej 6, Østermarie, 3751 Østermarie"
"Drosselvej 1, Østermarie, 3751 Østermarie"
"Stenbakkevej 15, Østermarie, 3751 Østermarie"
"Almindingensvej 7, Østermarie, 3751 Østermarie"
"Lindetsvej 12, Østermarie, 3751 Østermarie"
"Løvsangervej 2, 1. 33, Østermarie, 3751 Østermarie"
"Randkløvevej 26B, Østermarie, 3751 Østermarie"
"Saltunavej 3, Østermarie, 3751 Østermarie"
"Saltunavej 4, Østermarie, 3751 Østermarie"
"Løvsangervej 2, st. 5, Østermarie, 3751 Østermarie"
"Plantagevej 63, Østermarie, 3751 Østermarie"
"Ypnasted 15B, Ypnasted, 3751 Østermarie"
"Svalevej 1, Østermarie, 3751 Østermarie"
"Randkløvevej 24A, Østermarie, 3751 Østermarie"
"Løvsangervej 2, 1. 3, Østermarie, 3751 Østermarie"
"Saltunavej 1, Østermarie, 3751 Østermarie"
"Dyndevej 10B, Østermarie, 3751 Østermarie"
"Svanekevej 4A, Østermarie, 3751 Østermarie"
"Randkløvevej 4B, Østermarie, 3751 Østermarie"
"Ølenevej 902S, Østermarie, 3751 Østermarie"
"Saltunavej 6, Østermarie, 3751 Østermarie"
"Saltunavej 7, Østermarie, 3751 Østermarie"
"Saltunavej 8, Østermarie, 3751 Østermarie"
"Saltunavej 9, Østermarie, 3751 Østermarie"
"Saltunavej 10, Østermarie, 3751 Østermarie"
"Saltunavej 20, Østermarie, 3751 Østermarie"
"Saltunavej 11, Østermarie, 3751 Østermarie"
"Saltunavej 14, Østermarie, 3751 Østermarie"
"Saltunavej 15, Østermarie, 3751 Østermarie"
"Saltunavej 16, Østermarie, 3751 Østermarie"
"Løvsangervej 2, 1. 1, Østermarie, 3751 Østermarie"
"Saltunavej 24, Østermarie, 3751 Østermarie"
"Saltunavej 36, Østermarie, 3751 Østermarie"
"Saltunavej 38, Østermarie, 3751 Østermarie"
"Ølenevej 1A, Østermarie, 3751 Østermarie"
"Lyrsbyvej 30C, Østermarie, 3751 Østermarie"
"Svalevej 2, Østermarie, 3751 Østermarie"
"Almindingensvej 9B, Østermarie, 3751 Østermarie"
"Saltunavej 32, Østermarie, 3751 Østermarie"
"VEJNAVN MANGLER 501, Poulsker, 3751 Østermarie"
"Risevej 7A, Østermarie, 3751 Østermarie"
"Løvsangervej 2, 1. 30, Østermarie, 3751 Østermarie"
"Kirkebyvej 54B, Østermarie, 3751 Østermarie"
"Lærkevej 901V, Østermarie, 3751 Østermarie"
"Torvegade 16, Østermarie, 3751 Østermarie"
"Ypnasted 17, Ypnasted, 3751 Østermarie"
"Saltunavej 6B, Østermarie, 3751 Østermarie"
"Dyndevej 26, Østermarie, 3751 Østermarie"
"Løvsangervej 2, 1. 31, Østermarie, 3751 Østermarie"
"Myregårdsvej 10C, Østermarie, 3751 Østermarie"
"Kirkebyvej 52A, Østermarie, 3751 Østermarie"
"Ølenevej 2S, Østermarie, 3751 Østermarie"
"Slamrebjergvej 18, Bodilsker, 3751 Østermarie"
"Plantagevej 37T, Poulsker, 3751 Østermarie"
"Saltunavej 28, Østermarie, 3751 Østermarie"
"Plantagevej 501, Bodilsker, 3751 Østermarie"
"Dalslundevej 6, Østermarie, 3751 Østermarie"
"Saltunavej 26, Østermarie, 3751 Østermarie"
"Ypnasted 15B, Ypnasted, 3751 Østermarie"
"Løvsangervej 2, 1. 4, Østermarie, 3751 Østermarie"
"Aspevej 26A, Østermarie, 3751 Østermarie"
"Elmevej 6, Østermarie, 3751 Østermarie"
"Hentregårdsvej 2, Østermarie, 3751 Østermarie"
"Åløsevej 35B, Østermarie, 3751 Østermarie"
"Løvsangervej 2, st. 6, Østermarie, 3751 Østermarie"
"Idrætsvej 3, Østermarie, 3751 Østermarie"
"Løvsangervej 2, st. 2, Østermarie, 3751 Østermarie"
"Løvsangervej 2, 1. 2, Østermarie, 3751 Østermarie"
"Præstegaden 11, Østermarie, 3751 Østermarie"
"Ølenevej 40A, Østermarie, 3751 Østermarie"
"Dyndevej 14S, Østermarie, 3751 Østermarie"
"Plantagevej 503, Bodilsker, 3751 Østermarie"
"Almindingensvej 53B, Østermarie, 3751 Østermarie"
"Torvegade 3, Østermarie, 3751 Østermarie"
"Saltunavej 22, Østermarie, 3751 Østermarie"
"Gadebyvej 3, Østermarie, 3751 Østermarie"
"Dyndevej 11B, Østermarie, 3751 Østermarie"
"Slamrebjergvej 18B, Bodilsker, 3751 Østermarie"
"Godthåbsvej 59C, Østermarie, 3751 Østermarie"
"Maglegårdsvej 5C, Østermarie, 3751 Østermarie"
"Staggevej 6, Østermarie, 3751 Østermarie"
"Plantagevej 47, Østermarie, 3751 Østermarie"
"Maglegårdsvej 5B, Østermarie, 3751 Østermarie"
"Louisenlundvej 2, Østermarie, 3751 Østermarie"
"Lærkevej 1V, Østermarie, 3751 Østermarie"
"Nydamsvej 1B, Østermarie, 3751 Østermarie"
"Ølenevej 20B, Østermarie, 3751 Østermarie"
"Løvsangervej 2, st. 3, Østermarie, 3751 Østermarie"
"Savmøllevej 11A, Østermarie, 3751 Østermarie"
"Saltunavej 18, Østermarie, 3751 Østermarie"
"Nordvej 2B, Østermarie, 3751 Østermarie"
"Løvsangervej 2, st. 4, Østermarie, 3751 Østermarie"
"Aspevej 27B, Østermarie, 3751 Østermarie"
"Havrehøjvej 11, Østermarie, 3751 Østermarie"
"Lindetsvej 5B, Østermarie, 3751 Østermarie"
"Lyrsbyvej 6A, Østermarie, 3751 Østermarie"
"Almindingensvej 82, Østermarie, 3751 Østermarie"
"Løvsangervej 2, st. 1, Østermarie, 3751 Østermarie"
"Drosselvej 5, Østermarie, 3751 Østermarie"
"Aspevej 1, Østermarie, 3751 Østermarie"
"Aspevej 3, Østermarie, 3751 Østermarie"
"Aspevej 2, Østermarie, 3751 Østermarie"
"Aspevej 4, Østermarie, 3751 Østermarie"
"Aspevej 5, Østermarie, 3751 Østermarie"
"Aspevej 7, Østermarie, 3751 Østermarie"
"Aspevej 9, Østermarie, 3751 Østermarie"
"Aspevej 8, Østermarie, 3751 Østermarie"
"Aspevej 10, Østermarie, 3751 Østermarie"
"Aspevej 14, Østermarie, 3751 Østermarie"
"Aspevej 15, Østermarie, 3751 Østermarie"
"Aspevej 16, Østermarie, 3751 Østermarie"
"Aspevej 17, Østermarie, 3751 Østermarie"
"Aspevej 18, Østermarie, 3751 Østermarie"
"Aspevej 19, Østermarie, 3751 Østermarie"
"Aspevej 21, Østermarie, 3751 Østermarie"
"Aspevej 20, Østermarie, 3751 Østermarie"
"Aspevej 24, Østermarie, 3751 Østermarie"
"Aspevej 23, Østermarie, 3751 Østermarie"
"Aspevej 25, Østermarie, 3751 Østermarie"
"Aspevej 26, Østermarie, 3751 Østermarie"
"Aspevej 29, Østermarie, 3751 Østermarie"
"Aspevej 27, Østermarie, 3751 Østermarie"
"Slamrebjergvej 20, Bodilsker, 3751 Østermarie"
"Ølenevej 2B, Østermarie, 3751 Østermarie"
"Havrehøjvej 7B, Østermarie, 3751 Østermarie"
"Aspevej 12, Østermarie, 3751 Østermarie"
"Aspevej 13, Østermarie, 3751 Østermarie"
"Almindingensvej 54B, Østermarie, 3751 Østermarie"
"Saltunavej 30, Østermarie, 3751 Østermarie"
"Hentregårdsvej 13, Østermarie, 3751 Østermarie"
"Godthåbsvej 36, 1., Østermarie, 3751 Østermarie"
"Savmøllevej 1, Østermarie, 3751 Østermarie"
"Savmøllevej 17, Østermarie, 3751 Østermarie"
"Savmøllevej 7, Østermarie, 3751 Østermarie"
"Savmøllevej 9, Østermarie, 3751 Østermarie"
"Savmøllevej 11, Østermarie, 3751 Østermarie"
"Randkløvevej 38C, Østermarie, 3751 Østermarie"
"Ølenevej 25B, Østermarie, 3751 Østermarie"
"Savmøllevej 15, Østermarie, 3751 Østermarie"
"Glappevej 4B, Østermarie, 3751 Østermarie"
"Havrehøjvej 6A, Østermarie, 3751 Østermarie"
"Lindetsvej 1, Østermarie, 3751 Østermarie"
"Lyrsbyvej 34, Østermarie, 3751 Østermarie"
"Plantagevej 32, Østermarie, 3751 Østermarie"
"Savmøllevej 13, Østermarie, 3751 Østermarie"
"Lyrsbyskov 5D, Østermarie, 3751 Østermarie"
"Ølenevej 4C, Østermarie, 3751 Østermarie"
"Skrullevej 4C, Østermarie, 3751 Østermarie"
"Kirkeskolevej 15B, Østermarie, 3751 Østermarie"
"Lyrsbyskov 2, Østermarie, 3751 Østermarie"
"Lyrsbyvej 7, Østermarie, 3751 Østermarie"
"Lyrsbyvej 11, Østermarie, 3751 Østermarie"
"Lyrsbyvej 21, Østermarie, 3751 Østermarie"
"Lyrsbyvej 41, Østermarie, 3751 Østermarie"
"Lærkevej 1, Østermarie, 3751 Østermarie"
"Lærkevej 5, Østermarie, 3751 Østermarie"
"Maglegårdsvej 5, Østermarie, 3751 Østermarie"
"Lyrsbyvej 32B, Østermarie, 3751 Østermarie"
"Kjeldsebyvej 2C, Østermarie, 3751 Østermarie"
"Saltunavej 1B, Østermarie, 3751 Østermarie"
"Skrullevej 11A, Østermarie, 3751 Østermarie"
"Hedebovej 4A, Østermarie, 3751 Østermarie"
"Savmøllevej 17A, Østermarie, 3751 Østermarie"
"Saltunavej 12, Østermarie, 3751 Østermarie"
