"Ørndrupvej 19, Karby, 7960 Karby"
"Ørndrupvej 49, Karby, 7960 Karby"
"Ørndrupvej 51, Karby, 7960 Karby"
"Sønder Hedevej 2, Rakkeby, 7960 Karby"
"Sønder Hedevej 4, Rakkeby, 7960 Karby"
"Ørndrupvej 55, Karby, 7960 Karby"
"Sønder Hedevej 6, Rakkeby, 7960 Karby"
"Sønder Hedevej 8, Rakkeby, 7960 Karby"
"Ørndrupvej 57, Karby, 7960 Karby"
"Råghøj 6, Rakkeby, 7960 Karby"
"Sønder Hedevej 10, Rakkeby, 7960 Karby"
"Gårdvejen 5, Torp, 7960 Karby"
"Råghøj 7, Rakkeby, 7960 Karby"
"Sønder Hedevej 11, Rakkeby, 7960 Karby"
"Ørndrupvej 59, Karby, 7960 Karby"
"Sønder Hedevej 14, Rakkeby, 7960 Karby"
"Gårdvejen 6, Torp, 7960 Karby"
"Råghøj 8, Rakkeby, 7960 Karby"
"Ørndrupvej 61, Karby, 7960 Karby"
"Gårdvejen 8, Torp, 7960 Karby"
"Råghøj 13, Rakkeby, 7960 Karby"
"Sønder Hedevej 16, Rakkeby, 7960 Karby"
"Ørndrupvej 69, Torp, 7960 Karby"
"Gårdvejen 11, Torp, 7960 Karby"
"Råghøj 16, Rakkeby, 7960 Karby"
"Sønder Møllevej 2, Rakkeby, 7960 Karby"
"Ørndrupvej 70, Torp, 7960 Karby"
"Råghøj 17, Rakkeby, 7960 Karby"
"Sønder Møllevej 4, Rakkeby, 7960 Karby"
"Ørndrupvej 71, Torp, 7960 Karby"
"Sønder Møllevej 5, Rakkeby, 7960 Karby"
"Ørndrupvej 72, Torp, 7960 Karby"
"Sønder Møllevej 8, Rakkeby, 7960 Karby"
"Ørndrupvej 73, Torp, 7960 Karby"
"Sønder Møllevej 13, Ejstrup, 7960 Karby"
"Vestmorsvej 57, Ovtrup, 7960 Karby"
"Ørndrupvej 74, Torp, 7960 Karby"
"Vestmorsvej 59, Ovtrup, 7960 Karby"
"Ørndrupvej 75, Torp, 7960 Karby"
"Dyrehavevej 2, Ørndrup, 7960 Karby"
"Ørndrupvej 76, Torp, 7960 Karby"
"Vestmorsvej 63, Ovtrup, 7960 Karby"
"Ørndrupvej 77, Torp, 7960 Karby"
"Vestmorsvej 65, Ovtrup, 7960 Karby"
"Ørndrupvej 79, Torp, 7960 Karby"
"Vestmorsvej 67, Ovtrup, 7960 Karby"
"Vestmorsvej 69, Ovtrup, 7960 Karby"
"Ørndrupvej 83, Torp, 7960 Karby"
"Vestmorsvej 70, Rakkeby, 7960 Karby"
"Ørndrupvej 84, Torp, 7960 Karby"
"Vestmorsvej 71, Rakkeby, 7960 Karby"
"Ørndrupvej 86, Torp, 7960 Karby"
"Vestmorsvej 72, Rakkeby, 7960 Karby"
"Ørndrupvej 87, Torp, 7960 Karby"
"Ørndrupvej 88, Torp, 7960 Karby"
"Vestmorsvej 74, Rakkeby, 7960 Karby"
"Ørndrupvej 89, Torp, 7960 Karby"
"Ørndrupvej 90, Torp, 7960 Karby"
"Vestmorsvej 76, Rakkeby, 7960 Karby"
"Ørndrupvej 91, Torp, 7960 Karby"
"Fruensgård 1, Karby, 7960 Karby"
"Vestmorsvej 77, Rakkeby, 7960 Karby"
"Ørndrupvej 93, Torp, 7960 Karby"
"Fruensgård 3, Karby, 7960 Karby"
"Vestmorsvej 78, Rakkeby, 7960 Karby"
"Ørndrupvej 95, Torp, 7960 Karby"
"Fruensgård 5, Karby, 7960 Karby"
"Vestmorsvej 79, Rakkeby, 7960 Karby"
"Ørndrupvej 97, Torp, 7960 Karby"
"Fruensgård 8, Karby, 7960 Karby"
"Vestmorsvej 80, Rakkeby, 7960 Karby"
"Ørndrupvej 99, Torp, 7960 Karby"
"Fruensgård 18, Karby, 7960 Karby"
"Vestmorsvej 81, Rakkeby, 7960 Karby"
"Ørndrupvej 100, Torp, 7960 Karby"
"Fruensgård 20, Karby, 7960 Karby"
"Vestmorsvej 83, Rakkeby, 7960 Karby"
"Ørndrupvej 103, Torp, 7960 Karby"
"Ørndrupvej 111, Torp, 7960 Karby"
"Ørndrupvej 113, Torp, 7960 Karby"
"Ørndrupvej 115, Ørndrup, 7960 Karby"
"Ørndrupvej 116, Ørndrup, 7960 Karby"
"Ørndrupvej 117, Ørndrup, 7960 Karby"
"Ørndrupvej 118, Ørndrup, 7960 Karby"
"Ørndrupvej 119, Ørndrup, 7960 Karby"
"Ørndrupvej 123, Ørndrup, 7960 Karby"
"Ørndrupvej 125, Ørndrup, 7960 Karby"
"Ørndrupvej 126, Ørndrup, 7960 Karby"
"Ørndrupvej 127, Ørndrup, 7960 Karby"
"Ørndrupvej 128, Ørndrup, 7960 Karby"
"Ørndrupvej 130, Ørndrup, 7960 Karby"
"Nesager 9, V Hvidbjerg, 7960 Karby"
"Nesager 11, V Hvidbjerg, 7960 Karby"
"Næssundvej 324, Ø Hvidbjerg, 7960 Karby"
"Nesager 15, V Hvidbjerg, 7960 Karby"
"Næssundvej 326, V Hvidbjerg, 7960 Karby"
"Nesager 21, V Hvidbjerg, 7960 Karby"
"Næssundvej 328, V Hvidbjerg, 7960 Karby"
"Nesager 23, V Hvidbjerg, 7960 Karby"
"Næssundvej 329, V Hvidbjerg, 7960 Karby"
"Nesager 25, V Hvidbjerg, 7960 Karby"
"Næssundvej 330, V Hvidbjerg, 7960 Karby"
"Vestmorsvej 73, Rakkeby, 7960 Karby"
"Næssundvej 331, V Hvidbjerg, 7960 Karby"
"Næssundvej 332, V Hvidbjerg, 7960 Karby"
"Næssundvej 333, V Hvidbjerg, 7960 Karby"
"Næssundvej 334, V Hvidbjerg, 7960 Karby"
"Næssundvej 335, V Hvidbjerg, 7960 Karby"
"Næssundvej 336, V Hvidbjerg, 7960 Karby"
"Næssundvej 338, V Hvidbjerg, 7960 Karby"
"Næssundvej 340, V Hvidbjerg, 7960 Karby"
"Næssundvej 341, V Hvidbjerg, 7960 Karby"
"Næssundvej 342, V Hvidbjerg, 7960 Karby"
"Næssundvej 343, V Hvidbjerg, 7960 Karby"
"Næssundvej 345, V Hvidbjerg, 7960 Karby"
"Næssundvej 348A, V Hvidbjerg, 7960 Karby"
"Næssundvej 348B, 1, V Hvidbjerg, 7960 Karby"
"Næssundvej 348B, 2, V Hvidbjerg, 7960 Karby"
"Næssundvej 348B, 3, V Hvidbjerg, 7960 Karby"
"Næssundvej 348B, 4, V Hvidbjerg, 7960 Karby"
"Næssundvej 348B, 5, V Hvidbjerg, 7960 Karby"
"Næssundvej 348B, 6, V Hvidbjerg, 7960 Karby"
"Kr Jepsensvej 13, V Hvidbjerg, 7960 Karby"
"Næssundvej 348B, 7, V Hvidbjerg, 7960 Karby"
"Kr Jepsensvej 14, V Hvidbjerg, 7960 Karby"
"Næssundvej 348B, 8, V Hvidbjerg, 7960 Karby"
"Agervejle 1, V Hvidbjerg, 7960 Karby"
"Madsbjergvej 1, Ørndrup, 7960 Karby"
"Næssundvej 348C, 1, V Hvidbjerg, 7960 Karby"
"Næssundvej 348C, 2, V Hvidbjerg, 7960 Karby"
"Skyttevej 4, Karby, 7960 Karby"
"Agervejle 6, V Hvidbjerg, 7960 Karby"
"Engdraget 5, Karby, 7960 Karby"
"Næssundvej 348C, 3, V Hvidbjerg, 7960 Karby"
"Blåborgvej 3, Rakkeby, 7960 Karby"
"Engdraget 6, Karby, 7960 Karby"
"Madsvej 28, Ørndrup, 7960 Karby"
"Næssundvej 348C, 4, V Hvidbjerg, 7960 Karby"
"Agervejle 10, V Hvidbjerg, 7960 Karby"
"Blåborgvej 5, Rakkeby, 7960 Karby"
"Engdraget 7, Karby, 7960 Karby"
"Næssundvej 348C, 5, V Hvidbjerg, 7960 Karby"
"Agervejle 14, V Hvidbjerg, 7960 Karby"
"Blåborgvej 6, Rakkeby, 7960 Karby"
"Næssundvej 348C, 6, V Hvidbjerg, 7960 Karby"
"Agervejle 16, V Hvidbjerg, 7960 Karby"
"Blåborgvej 7, Rakkeby, 7960 Karby"
"Næssundvej 348C, 7, V Hvidbjerg, 7960 Karby"
"Agerøvej 2, V Hvidbjerg, 7960 Karby"
"Blåborgvej 8, Rakkeby, 7960 Karby"
"Næssundvej 348C, 8, V Hvidbjerg, 7960 Karby"
"Agerøvej 4, V Hvidbjerg, 7960 Karby"
"Blåborgvej 9, Rakkeby, 7960 Karby"
"Næssundvej 348D, 1, V Hvidbjerg, 7960 Karby"
"Agerøvej 5, V Hvidbjerg, 7960 Karby"
"Blåborgvej 10, Rakkeby, 7960 Karby"
"Næssundvej 348D, 2, V Hvidbjerg, 7960 Karby"
"Agerøvej 6, V Hvidbjerg, 7960 Karby"
"Blåborgvej 11, Rakkeby, 7960 Karby"
"Næssundvej 348D, 3, V Hvidbjerg, 7960 Karby"
"Agerøvej 8, V Hvidbjerg, 7960 Karby"
"Blåborgvej 12, Rakkeby, 7960 Karby"
"Næssundvej 348D, 4, V Hvidbjerg, 7960 Karby"
"Agerøvej 9, V Hvidbjerg, 7960 Karby"
"Blåborgvej 13, Rakkeby, 7960 Karby"
"Næssundvej 348D, 5, V Hvidbjerg, 7960 Karby"
"Agerøvej 10, V Hvidbjerg, 7960 Karby"
"Næssundvej 348D, 6, V Hvidbjerg, 7960 Karby"
"Agerøvej 11, V Hvidbjerg, 7960 Karby"
"Blåborgvej 15, Rakkeby, 7960 Karby"
"Næssundvej 348D, 7, V Hvidbjerg, 7960 Karby"
"Agerøvej 12, V Hvidbjerg, 7960 Karby"
"Blåborgvej 16, Rakkeby, 7960 Karby"
"Næssundvej 348D, 8, V Hvidbjerg, 7960 Karby"
"Agerøvej 13, V Hvidbjerg, 7960 Karby"
"Blåborgvej 18, Rakkeby, 7960 Karby"
"Agerøvej 14, V Hvidbjerg, 7960 Karby"
"Blåborgvej 19, Rakkeby, 7960 Karby"
"Næssundvej 350, V Hvidbjerg, 7960 Karby"
"Agerøvej 15, V Hvidbjerg, 7960 Karby"
"Blåborgvej 20, Rakkeby, 7960 Karby"
"Næssundvej 351, V Hvidbjerg, 7960 Karby"
"Agerøvej 16, V Hvidbjerg, 7960 Karby"
"Blåborgvej 22, Rakkeby, 7960 Karby"
"Næssundvej 352, V Hvidbjerg, 7960 Karby"
"Agerøvej 17, V Hvidbjerg, 7960 Karby"
"Blåborgvej 26, Rakkeby, 7960 Karby"
"Næssundvej 353, V Hvidbjerg, 7960 Karby"
"Agerøvej 18, V Hvidbjerg, 7960 Karby"
"Blåborgvej 28, Rakkeby, 7960 Karby"
"Karbymark 1, Karby, 7960 Karby"
"Næssundvej 354A, V Hvidbjerg, 7960 Karby"
"Agerøvej 20, V Hvidbjerg, 7960 Karby"
"Blåborgvej 30, Rakkeby, 7960 Karby"
"Karbymark 2, Karby, 7960 Karby"
"Næssundvej 354B, V Hvidbjerg, 7960 Karby"
"Agerøvej 22, V Hvidbjerg, 7960 Karby"
"Blåborgvej 32, Rakkeby, 7960 Karby"
"Karbymark 3, Karby, 7960 Karby"
"Næssundvej 355, V Hvidbjerg, 7960 Karby"
"Agerøvej 23, V Hvidbjerg, 7960 Karby"
"Blåborgvej 34, Rakkeby, 7960 Karby"
"Karbymark 4, Karby, 7960 Karby"
"Næssundvej 357, V Hvidbjerg, 7960 Karby"
"Agerøvej 24, V Hvidbjerg, 7960 Karby"
"Blåborgvej 38, Rakkeby, 7960 Karby"
"Karbymark 7, Karby, 7960 Karby"
"Næssundvej 359, V Hvidbjerg, 7960 Karby"
"Agerøvej 25, Agerø, 7960 Karby"
"Blåborgvej 40, Rakkeby, 7960 Karby"
"Karbymark 8, Karby, 7960 Karby"
"Næssundvej 361, V Hvidbjerg, 7960 Karby"
"Agerøvej 27, Agerø, 7960 Karby"
"Blåborgvej 42, Rakkeby, 7960 Karby"
"Karbymark 9, Karby, 7960 Karby"
"Næssundvej 361A, V Hvidbjerg, 7960 Karby"
"Blåborgvej 44, Rakkeby, 7960 Karby"
"Agerøvej 28, Agerø, 7960 Karby"
"Karbymark 11, Karby, 7960 Karby"
"Mosevej 1, Torp, 7960 Karby"
"Næssundvej 362, V Hvidbjerg, 7960 Karby"
"Agerøvej 29, Agerø, 7960 Karby"
"Blåborgvej 46, Rakkeby, 7960 Karby"
"Hovmøllevej 3, Ø Hvidbjerg, 7960 Karby"
"Karbymark 13, Karby, 7960 Karby"
"Mosevej 2, Torp, 7960 Karby"
"Næssundvej 363, V Hvidbjerg, 7960 Karby"
"Agerøvej 30, Agerø, 7960 Karby"
"Blåborgvej 47, Rakkeby, 7960 Karby"
"Hovmøllevej 4, Ø Hvidbjerg, 7960 Karby"
"Karbymark 15, Karby, 7960 Karby"
"Næssundvej 365, V Hvidbjerg, 7960 Karby"
"Agerøvej 31, Agerø, 7960 Karby"
"Hovmøllevej 5, Ø Hvidbjerg, 7960 Karby"
"Næssundvej 368, V Hvidbjerg, 7960 Karby"
"Agerøvej 32, Agerø, 7960 Karby"
"Blåborgvej 49, Rakkeby, 7960 Karby"
"Hovmøllevej 6, Rakkeby, 7960 Karby"
"Næssundvej 369, V Hvidbjerg, 7960 Karby"
"Agerøvej 34, Agerø, 7960 Karby"
"Blåborgvej 50, Rakkeby, 7960 Karby"
"Hovmøllevej 8, Torp, 7960 Karby"
"Næssundvej 370, V Hvidbjerg, 7960 Karby"
"Agerøvej 35, Agerø, 7960 Karby"
"Hovmøllevej 10, Torp, 7960 Karby"
"Næssundvej 371, V Hvidbjerg, 7960 Karby"
"Agerøvej 36, Agerø, 7960 Karby"
"Blåborgvej 52, Rakkeby, 7960 Karby"
"Hovmøllevej 12, Torp, 7960 Karby"
"Næssundvej 372, V Hvidbjerg, 7960 Karby"
"Agerøvej 37, Agerø, 7960 Karby"
"Hovmøllevej 14, Torp, 7960 Karby"
"Næssundvej 374, V Hvidbjerg, 7960 Karby"
"Agerøvej 38, Agerø, 7960 Karby"
"Blåborgvej 54, Rakkeby, 7960 Karby"
"Hovmøllevej 15, Torp, 7960 Karby"
"Agerøvej 39, Agerø, 7960 Karby"
"Blåborgvej 55, Rakkeby, 7960 Karby"
"Hovmøllevej 16, Torp, 7960 Karby"
"Næssundvej 378, V Hvidbjerg, 7960 Karby"
"Agerøvej 40, Agerø, 7960 Karby"
"Blåborgvej 56, Rakkeby, 7960 Karby"
"Hovmøllevej 17, Torp, 7960 Karby"
"Næssundvej 380, V Hvidbjerg, 7960 Karby"
"Agerøvej 42, Agerø, 7960 Karby"
"Blåborgvej 57, Ørndrup, 7960 Karby"
"Hovmøllevej 18, Torp, 7960 Karby"
"Næssundvej 381, Karby, 7960 Karby"
"Agerøvej 44, Agerø, 7960 Karby"
"Blåborgvej 58, Ørndrup, 7960 Karby"
"Hovmøllevej 19, Karby, 7960 Karby"
"Næssundvej 382, Karby, 7960 Karby"
"Agerøvej 46, Agerø, 7960 Karby"
"Næssundvej 383, Karby, 7960 Karby"
"Agerøvej 48, Agerø, 7960 Karby"
"Agerøvej 50, Agerø, 7960 Karby"
"Næssundvej 385, Karby, 7960 Karby"
"Agerøvej 52, Agerø, 7960 Karby"
"Næssundvej 386, Karby, 7960 Karby"
"Agerøvej 54, Agerø, 7960 Karby"
"Næssundvej 387, Karby, 7960 Karby"
"Næssundvej 389, Karby, 7960 Karby"
"Næssundvej 390, Karby, 7960 Karby"
"Næssundvej 395, Karby, 7960 Karby"
"Næssundvej 402, Karby, 7960 Karby"
"Næssundvej 410, Karby, 7960 Karby"
"Næssundvej 411, Karby, 7960 Karby"
"Næssundvej 412, Karby, 7960 Karby"
"Næssundvej 413, Karby, 7960 Karby"
"Næssundvej 414, Karby, 7960 Karby"
"Næssundvej 417, Karby, 7960 Karby"
"Næssundvej 418, Karby, 7960 Karby"
"Næssundvej 419, Karby, 7960 Karby"
"Nørvej 4, V Hvidbjerg, 7960 Karby"
"Nørvej 5, V Hvidbjerg, 7960 Karby"
"Kringsholmen 4, Karby, 7960 Karby"
"Næssundvej 422, Karby, 7960 Karby"
"Nørvej 6, V Hvidbjerg, 7960 Karby"
"Kringsholmen 5, Karby, 7960 Karby"
"Næssundvej 423, Karby, 7960 Karby"
"Nørvej 7, V Hvidbjerg, 7960 Karby"
"Kringsholmen 7, Karby, 7960 Karby"
"Næssundvej 424, Karby, 7960 Karby"
"Nørvej 8, V Hvidbjerg, 7960 Karby"
"Kringsholmen 9, Karby, 7960 Karby"
"Næssundvej 426, Karby, 7960 Karby"
"Nørvej 10, V Hvidbjerg, 7960 Karby"
"Kringsholmen 11, Karby, 7960 Karby"
"Næssundvej 428, Karby, 7960 Karby"
"Nørvej 12, V Hvidbjerg, 7960 Karby"
"Kringsholmen 13, Karby, 7960 Karby"
"Næssundvej 431, Karby, 7960 Karby"
"Nørvej 13, V Hvidbjerg, 7960 Karby"
"Kringsholmen 15, Karby, 7960 Karby"
"Lervej 2, Torp, 7960 Karby"
"Næssundvej 433, Karby, 7960 Karby"
"Nørvej 14, V Hvidbjerg, 7960 Karby"
"Kringsholmen 17, Karby, 7960 Karby"
"Lervej 4, Torp, 7960 Karby"
"Næssundvej 436, Karby, 7960 Karby"
"Nørvej 16, V Hvidbjerg, 7960 Karby"
"Kringsholmen 18, Karby, 7960 Karby"
"Lervej 6, Torp, 7960 Karby"
"Nørvej 18, V Hvidbjerg, 7960 Karby"
"Kringsholmen 19, Karby, 7960 Karby"
"Næssundvej 438, Karby, 7960 Karby"
"Nørvej 20, V Hvidbjerg, 7960 Karby"
"Kringsholmen 21, Karby, 7960 Karby"
"Lervej 8A, Torp, 7960 Karby"
"Næssundvej 439A, 1., Karby, 7960 Karby"
"Nørvej 28, V Hvidbjerg, 7960 Karby"
"Ejstrupmark 12, Ejstrup, 7960 Karby"
"Næssundvej 440, Karby, 7960 Karby"
"Nørvej 29, V Hvidbjerg, 7960 Karby"
"Næssundvej 443, Karby, 7960 Karby"
"Nørvej 30, V Hvidbjerg, 7960 Karby"
"Næssundvej 444, Karby, 7960 Karby"
"Nørvej 32, V Hvidbjerg, 7960 Karby"
"Næssundvej 445, Karby, 7960 Karby"
"Nørvej 34, V Hvidbjerg, 7960 Karby"
"Hedevej 4, Ovtrup, 7960 Karby"
"Næssundvej 447, Karby, 7960 Karby"
"Nørvej 36, V Hvidbjerg, 7960 Karby"
"Hedevej 5, Ovtrup, 7960 Karby"
"Næssundvej 449, Karby, 7960 Karby"
"Nørvej 37, V Hvidbjerg, 7960 Karby"
"Hedevej 9, Ovtrup, 7960 Karby"
"Næssundvej 451, Karby, 7960 Karby"
"Krogshaven 1, V Hvidbjerg, 7960 Karby"
"Næssundvej 452, Karby, 7960 Karby"
"Hedevej 14, Rakkeby, 7960 Karby"
"Krogshaven 3, V Hvidbjerg, 7960 Karby"
"Hedevej 15, Rakkeby, 7960 Karby"
"Krogshaven 4, V Hvidbjerg, 7960 Karby"
"Næssundvej 453, st. tv, Karby, 7960 Karby"
"Hedevej 16, Rakkeby, 7960 Karby"
"Næssundvej 453, 1., Karby, 7960 Karby"
"Hedevej 18, Rakkeby, 7960 Karby"
"Næssundvej 454, Karby, 7960 Karby"
"Hedevej 20, Rakkeby, 7960 Karby"
"Hedevej 21, Rakkeby, 7960 Karby"
"Næssundvej 456, Karby, 7960 Karby"
"Hedevej 23, Rakkeby, 7960 Karby"
"Næssundvej 457A, Karby, 7960 Karby"
"Hedevej 25, Rakkeby, 7960 Karby"
"Næssundvej 457B, Karby, 7960 Karby"
"Næssundvej 458, Karby, 7960 Karby"
"Næssundvej 459, Karby, 7960 Karby"
"Næssundvej 460, Karby, 7960 Karby"
"Næssundvej 461, Karby, 7960 Karby"
"Næssundvej 462, Karby, 7960 Karby"
"Næssundvej 463, Karby, 7960 Karby"
"Kærhaven 3, V Hvidbjerg, 7960 Karby"
"Næssundvej 464, Karby, 7960 Karby"
"Kærhaven 4, V Hvidbjerg, 7960 Karby"
"Næssundvej 464A, Karby, 7960 Karby"
"Kærhaven 8, V Hvidbjerg, 7960 Karby"
"Næssundvej 465, Karby, 7960 Karby"
"Kærhaven 12, V Hvidbjerg, 7960 Karby"
"Næssundvej 468, Karby, 7960 Karby"
"Næssundvej 469, Karby, 7960 Karby"
"Næssundvej 476, Karby, 7960 Karby"
"Næssundvej 478, Karby, 7960 Karby"
"Næssundvej 480, Karby, 7960 Karby"
"Næssundvej 484, Karby, 7960 Karby"
"Næssundvej 486, Karby, 7960 Karby"
"Næssundvej 488, Karby, 7960 Karby"
"Næssundvej 490, Karby, 7960 Karby"
"Lilletoften 1, V Hvidbjerg, 7960 Karby"
"Næssundvej 492, Karby, 7960 Karby"
"Grønvej 2, Karby, 7960 Karby"
"Lilletoften 2, V Hvidbjerg, 7960 Karby"
"Næssundvej 494, Karby, 7960 Karby"
"Vadkæret 3, V Hvidbjerg, 7960 Karby"
"Grønvej 4, Karby, 7960 Karby"
"Vadkæret 5, Karby, 7960 Karby"
"Grønvej 5, Karby, 7960 Karby"
"Næssundvej 498, Karby, 7960 Karby"
"Sensommervej 5, Karby, 7960 Karby"
"Grønvej 6, Karby, 7960 Karby"
"Næssundvej 499, Karby, 7960 Karby"
"Sensommervej 6, Karby, 7960 Karby"
"Grønvej 8, Karby, 7960 Karby"
"Næssundvej 500, Karby, 7960 Karby"
"Sensommervej 7, Karby, 7960 Karby"
"Grønvej 10, Karby, 7960 Karby"
"Næssundvej 501, Nees, 7960 Karby"
"Sensommervej 8, Karby, 7960 Karby"
"Grønvej 13, Karby, 7960 Karby"
"Næssundvej 502, Karby, 7960 Karby"
"Sensommervej 9, Karby, 7960 Karby"
"Grønvej 15, Karby, 7960 Karby"
"Næssundvej 504, Nees, 7960 Karby"
"Sensommervej 10, Karby, 7960 Karby"
"Grønvej 19, Karby, 7960 Karby"
"Næssundvej 505, Nees, 7960 Karby"
"Sensommervej 11, Karby, 7960 Karby"
"Grønvej 21, Karby, 7960 Karby"
"Næssundvej 506, Nees, 7960 Karby"
"Sensommervej 12, Karby, 7960 Karby"
"Grønvej 26, Karby, 7960 Karby"
"Næssundvej 507, Nees, 7960 Karby"
"Sensommervej 13, Karby, 7960 Karby"
"Grønvej 28, Karby, 7960 Karby"
"Næssundvej 508, Nees, 7960 Karby"
"Sensommervej 14, Karby, 7960 Karby"
"Grønvej 30, Karby, 7960 Karby"
"Næssundvej 509, Nees, 7960 Karby"
"Sensommervej 15, Karby, 7960 Karby"
"Grønvej 32, Karby, 7960 Karby"
"Næssundvej 510, Nees, 7960 Karby"
"Sensommervej 16, Karby, 7960 Karby"
"Grønvej 33, Karby, 7960 Karby"
"Næssundvej 512, Nees, 7960 Karby"
"Sensommervej 17, Karby, 7960 Karby"
"Grønvej 35, Karby, 7960 Karby"
"Næssundvej 514, Nees, 7960 Karby"
"Sensommervej 18, Karby, 7960 Karby"
"Grønvænget 2, Karby, 7960 Karby"
"Næssundvej 516, Nees, 7960 Karby"
"Sensommervej 19, Karby, 7960 Karby"
"Ørndrupmark 2, Ørndrup, 7960 Karby"
"Grønvænget 4, Karby, 7960 Karby"
"Næssundvej 518, Nees, 7960 Karby"
"Ørndrupmark 4, Ørndrup, 7960 Karby"
"Grønvænget 6, Karby, 7960 Karby"
"Næssundvej 520, Nees, 7960 Karby"
"Sensommervej 21, Karby, 7960 Karby"
"Ørndrupmark 6, Ørndrup, 7960 Karby"
"Grønvænget 8, Karby, 7960 Karby"
"Næssundvej 522, Nees, 7960 Karby"
"Sensommervej 22, Karby, 7960 Karby"
"Grønvænget 10, Karby, 7960 Karby"
"Næsørevej 1, Nees, 7960 Karby"
"Sensommervej 23, Karby, 7960 Karby"
"Ørndrupmark 10, Ørndrup, 7960 Karby"
"Agervejle 12, V Hvidbjerg, 7960 Karby"
"Ørndrupmark 14A, Ørndrup, 7960 Karby"
"Blåborgvej 8, Rakkeby, 7960 Karby"
"Ørndrupvej 121, Ørndrup, 7960 Karby"
"Lervej 9, Torp, 7960 Karby"
"Ørndrupvej 28, Karby, 7960 Karby"
"Agerøvej 7, V Hvidbjerg, 7960 Karby"
"Næsørevej 8A, Nees, 7960 Karby"
"Karby Enge 11, Torp, 7960 Karby"
"Næssundvej 367, V Hvidbjerg, 7960 Karby"
"Næssundvej 329, V Hvidbjerg, 7960 Karby"
"Nørvej 9, V Hvidbjerg, 7960 Karby"
"Nørvej 36A, V Hvidbjerg, 7960 Karby"
"Blåborgvej 40A, Rakkeby, 7960 Karby"
"Næssundvej 439B, Karby, 7960 Karby"
"Kringsholmen 3, Karby, 7960 Karby"
