"Rådhusstræde 1, 3., 1466 København K"
"Rådhusstræde 15, 3., 1466 København K"
"Rådhusstræde 11, 3. th, 1466 København K"
"Rådhusstræde 6A, 3. th, 1466 København K"
"Rådhusstræde 4H, 1466 København K"
"Rådhusstræde 3A, 1. tv, 1466 København K"
"Rådhusstræde 3A, st. th, 1466 København K"
"Rådhusstræde 10A, 1., 1466 København K"
"Rådhusstræde 10A, 2., 1466 København K"
"Rådhusstræde 1, kl., 1466 København K"
"Rådhusstræde 1, st., 1466 København K"
"Rådhusstræde 1, 1., 1466 København K"
"Rådhusstræde 1, 2., 1466 København K"
"Rådhusstræde 1, 4., 1466 København K"
"Rådhusstræde 1, 5., 1466 København K"
"Rådhusstræde 1, 3. th, 1466 København K"
"Rådhusstræde 1, 3. tv, 1466 København K"
"Rådhusstræde 1, 1466 København K"
"Rådhusstræde 1B, 1466 København K"
"Rådhusstræde 1C, 1466 København K"
"Rådhusstræde 4A, kl., 1466 København K"
"Rådhusstræde 4A, 1466 København K"
"Rådhusstræde 4B, 3. mf, 1466 København K"
"Rådhusstræde 4B, 4., 1466 København K"
"Rådhusstræde 4D, st., 1466 København K"
"Rådhusstræde 4E, kl., 1466 København K"
"Rådhusstræde 4E, st., 1466 København K"
"Rådhusstræde 4E, 1., 1466 København K"
"Rådhusstræde 4F, 2. th, 1466 København K"
"Rådhusstræde 4G, st. tv, 1466 København K"
"Rådhusstræde 4H, st., 1466 København K"
"Rådhusstræde 4B, 1., 1466 København K"
"Rådhusstræde 4C, 2. th, 1466 København K"
"Rådhusstræde 4C, 2. tv, 1466 København K"
"Rådhusstræde 4F, 3., 1466 København K"
"Rådhusstræde 4F, 4., 1466 København K"
"Rådhusstræde 4, st., 1466 København K"
"Rådhusstræde 4C, 1466 København K"
"Rådhusstræde 4A, st., 1466 København K"
