"Dannebrogsgade 33, st., 1660 København V"
"Dannebrogsgade 1, st. 2, 1660 København V"
"Dannebrogsgade 35, st. th, 1660 København V"
"Dannebrogsgade 1, st. 3, 1660 København V"
"Dannebrogsgade 35, st. tv, 1660 København V"
"Dannebrogsgade 1, st. 4, 1660 København V"
"Dannebrogsgade 35, 1. th, 1660 København V"
"Dannebrogsgade 1, 1. th, 1660 København V"
"Dannebrogsgade 35, 1. tv, 1660 København V"
"Dannebrogsgade 1, 1. tv, 1660 København V"
"Dannebrogsgade 35, 2. th, 1660 København V"
"Dannebrogsgade 1, 2. th, 1660 København V"
"Dannebrogsgade 35, 2. tv, 1660 København V"
"Dannebrogsgade 1, 2. tv, 1660 København V"
"Dannebrogsgade 35, 3. th, 1660 København V"
"Dannebrogsgade 1, 3. th, 1660 København V"
"Dannebrogsgade 35, 3. tv, 1660 København V"
"Dannebrogsgade 1, 3. tv, 1660 København V"
"Dannebrogsgade 35, 4. th, 1660 København V"
"Dannebrogsgade 1, 4. th, 1660 København V"
"Dannebrogsgade 35, 4. tv, 1660 København V"
"Dannebrogsgade 1, 4. tv, 1660 København V"
"Dannebrogsgade 35, 5. th, 1660 København V"
"Dannebrogsgade 2A, 1. th, 1660 København V"
"Dannebrogsgade 35, 5. tv, 1660 København V"
"Dannebrogsgade 2A, 1. tv, 1660 København V"
"Dannebrogsgade 36, 2. 200, 1660 København V"
"Dannebrogsgade 2A, 2. th, 1660 København V"
"Dannebrogsgade 36, 2. 201, 1660 København V"
"Dannebrogsgade 2A, 2. tv, 1660 København V"
"Dannebrogsgade 36, 2. 202, 1660 København V"
"Dannebrogsgade 36, 2. 203, 1660 København V"
"Dannebrogsgade 2A, 3. tv, 1660 København V"
"Dannebrogsgade 36, 2. 204, 1660 København V"
"Dannebrogsgade 2A, 4. th, 1660 København V"
"Dannebrogsgade 36, 2. 205, 1660 København V"
"Dannebrogsgade 2A, 4. tv, 1660 København V"
"Dannebrogsgade 36, 2. 206, 1660 København V"
"Dannebrogsgade 2B, st. th, 1660 København V"
"Dannebrogsgade 36, 2. 207, 1660 København V"
"Dannebrogsgade 2B, st. tv, 1660 København V"
"Dannebrogsgade 36, 2. 210, 1660 København V"
"Dannebrogsgade 2B, 1. th, 1660 København V"
"Dannebrogsgade 36, 2. 211, 1660 København V"
"Dannebrogsgade 2B, 1. tv, 1660 København V"
"Dannebrogsgade 36, 2. 212, 1660 København V"
"Dannebrogsgade 2B, 2. th, 1660 København V"
"Dannebrogsgade 36, 2. 213, 1660 København V"
"Dannebrogsgade 2B, 2. tv, 1660 København V"
"Dannebrogsgade 36, 2. 214, 1660 København V"
"Dannebrogsgade 2B, 3. th, 1660 København V"
"Dannebrogsgade 36, 2. 220, 1660 København V"
"Dannebrogsgade 2B, 3. tv, 1660 København V"
"Dannebrogsgade 36, 2. 221, 1660 København V"
"Dannebrogsgade 2B, 4. th, 1660 København V"
"Dannebrogsgade 36, 2. 222, 1660 København V"
"Dannebrogsgade 2B, 4. tv, 1660 København V"
"Dannebrogsgade 36, 3. 300, 1660 København V"
"Dannebrogsgade 2C, st., 1660 København V"
"Dannebrogsgade 36, 3. 301, 1660 København V"
"Dannebrogsgade 2C, 1. th, 1660 København V"
"Dannebrogsgade 36, 3. 302, 1660 København V"
"Dannebrogsgade 2C, 1. tv, 1660 København V"
"Dannebrogsgade 36, 3. 303, 1660 København V"
"Dannebrogsgade 2C, 2. th, 1660 København V"
"Dannebrogsgade 36, 3. 304, 1660 København V"
"Dannebrogsgade 2C, 2. tv, 1660 København V"
"Dannebrogsgade 36, 3. 305, 1660 København V"
"Dannebrogsgade 2C, 3. th, 1660 København V"
"Dannebrogsgade 36, 3. 306, 1660 København V"
"Dannebrogsgade 2C, 3. tv, 1660 København V"
"Dannebrogsgade 36, 3. 307, 1660 København V"
"Dannebrogsgade 2C, 4. th, 1660 København V"
"Dannebrogsgade 36, 3. 330, 1660 København V"
"Dannebrogsgade 2C, 4. tv, 1660 København V"
"Dannebrogsgade 36, 3. 331, 1660 København V"
"Dannebrogsgade 3, st. 1, 1660 København V"
"Dannebrogsgade 36, 3. 332, 1660 København V"
"Dannebrogsgade 3, st. 2, 1660 København V"
"Dannebrogsgade 36, 3. 333, 1660 København V"
"Dannebrogsgade 3, st. 3, 1660 København V"
"Dannebrogsgade 36, 3. 334, 1660 København V"
"Dannebrogsgade 3, st. 4, 1660 København V"
"Dannebrogsgade 36, 4., 1660 København V"
"Dannebrogsgade 3, 1. th, 1660 København V"
"Dannebrogsgade 36, 4. 440, 1660 København V"
"Dannebrogsgade 3, 1. tv, 1660 København V"
"Dannebrogsgade 36, 4. 441, 1660 København V"
"Dannebrogsgade 3, 2. th, 1660 København V"
"Dannebrogsgade 36, 4. 443, 1660 København V"
"Dannebrogsgade 3, 2. tv, 1660 København V"
"Dannebrogsgade 36, 4. 445, 1660 København V"
"Dannebrogsgade 3, 3. th, 1660 København V"
"Dannebrogsgade 38, st. th, 1660 København V"
"Dannebrogsgade 3, 3. tv, 1660 København V"
"Dannebrogsgade 38, st. tv, 1660 København V"
"Dannebrogsgade 3, 4. th, 1660 København V"
"Dannebrogsgade 38, 1. th, 1660 København V"
"Dannebrogsgade 3, 4. tv, 1660 København V"
"Dannebrogsgade 38, 1. tv, 1660 København V"
"Dannebrogsgade 3, 5. th, 1660 København V"
"Dannebrogsgade 38, 2. th, 1660 København V"
"Dannebrogsgade 3, 5. tv, 1660 København V"
"Dannebrogsgade 38, 2. tv, 1660 København V"
"Dannebrogsgade 4, kl. th, 1660 København V"
"Dannebrogsgade 38, 3. th, 1660 København V"
"Dannebrogsgade 4, kl. tv, 1660 København V"
"Dannebrogsgade 38, 3. tv, 1660 København V"
"Dannebrogsgade 4, st. th, 1660 København V"
"Dannebrogsgade 38, 4. th, 1660 København V"
"Dannebrogsgade 4, st. tv, 1660 København V"
"Dannebrogsgade 38, 4. tv, 1660 København V"
"Dannebrogsgade 4, 1. th, 1660 København V"
"Dannebrogsgade 38, 5. th, 1660 København V"
"Dannebrogsgade 4, 1. tv, 1660 København V"
"Dannebrogsgade 38, 5. tv, 1660 København V"
"Dannebrogsgade 4, 2. th, 1660 København V"
"Dannebrogsgade 39A, kl. th, 1660 København V"
"Dannebrogsgade 4, 2. tv, 1660 København V"
"Dannebrogsgade 39A, kl. tv, 1660 København V"
"Dannebrogsgade 4, 3. th, 1660 København V"
"Dannebrogsgade 39A, st., 1660 København V"
"Dannebrogsgade 4, 3. tv, 1660 København V"
"Dannebrogsgade 39A, 1., 1660 København V"
"Dannebrogsgade 4, 4. th, 1660 København V"
"Dannebrogsgade 39A, 2., 1660 København V"
"Dannebrogsgade 4, 4. tv, 1660 København V"
"Dannebrogsgade 39A, 3., 1660 København V"
"Dannebrogsgade 6, kl., 1660 København V"
"Dannebrogsgade 39A, 4., 1660 København V"
"Dannebrogsgade 6, st., 1660 København V"
"Dannebrogsgade 39B, st. th, 1660 København V"
"Dannebrogsgade 6, 1., 1660 København V"
"Dannebrogsgade 39B, st. tv, 1660 København V"
"Dannebrogsgade 6, 2., 1660 København V"
"Dannebrogsgade 39B, 1. th, 1660 København V"
"Dannebrogsgade 6, 3., 1660 København V"
"Dannebrogsgade 39B, 1. tv, 1660 København V"
"Dannebrogsgade 6, 4., 1660 København V"
"Dannebrogsgade 39B, 2. th, 1660 København V"
"Dannebrogsgade 8, kl., 1660 København V"
"Dannebrogsgade 39B, 2. tv, 1660 København V"
"Dannebrogsgade 11, st. th, 1660 København V"
"Dannebrogsgade 39B, 3. th, 1660 København V"
"Dannebrogsgade 11, st. tv, 1660 København V"
"Dannebrogsgade 39B, 3. tv, 1660 København V"
"Dannebrogsgade 11, 1. th, 1660 København V"
"Dannebrogsgade 39B, 4. th, 1660 København V"
"Dannebrogsgade 11, 1. tv, 1660 København V"
"Dannebrogsgade 39B, 4. tv, 1660 København V"
"Dannebrogsgade 11, 2. th, 1660 København V"
"Dannebrogsgade 39B, 5. th, 1660 København V"
"Dannebrogsgade 11, 2. tv, 1660 København V"
"Dannebrogsgade 39B, 5. tv, 1660 København V"
"Dannebrogsgade 11, 3. th, 1660 København V"
"Dannebrogsgade 40, st. th, 1660 København V"
"Dannebrogsgade 11, 3. tv, 1660 København V"
"Dannebrogsgade 40, st. tv, 1660 København V"
"Dannebrogsgade 11, 4. th, 1660 København V"
"Dannebrogsgade 40, 1. th, 1660 København V"
"Dannebrogsgade 11, 4. tv, 1660 København V"
"Dannebrogsgade 40, 1. tv, 1660 København V"
"Dannebrogsgade 12, st. tv, 1660 København V"
"Dannebrogsgade 40, 2. th, 1660 København V"
"Dannebrogsgade 12, 1. 1, 1660 København V"
"Dannebrogsgade 40, 2. tv, 1660 København V"
"Dannebrogsgade 12, 1. 2, 1660 København V"
"Dannebrogsgade 40, 3. th, 1660 København V"
"Dannebrogsgade 12, 1. 3, 1660 København V"
"Dannebrogsgade 40, 3. tv, 1660 København V"
"Dannebrogsgade 12, 1. 4, 1660 København V"
"Dannebrogsgade 40, 4. th, 1660 København V"
"Dannebrogsgade 12, 2. 1, 1660 København V"
"Dannebrogsgade 40, 4. tv, 1660 København V"
"Dannebrogsgade 12, 2. 2, 1660 København V"
"Dannebrogsgade 40, 5. th, 1660 København V"
"Dannebrogsgade 12, 2. 3, 1660 København V"
"Dannebrogsgade 40, 5. tv, 1660 København V"
"Dannebrogsgade 12, 2. 4, 1660 København V"
"Dannebrogsgade 44, kl., 1660 København V"
"Dannebrogsgade 12, 3. 1, 1660 København V"
"Dannebrogsgade 44, st., 1660 København V"
"Dannebrogsgade 12, 3. 2, 1660 København V"
"Dannebrogsgade 44, 1. 101, 1660 København V"
"Dannebrogsgade 12, 3. 3, 1660 København V"
"Dannebrogsgade 44, 1. 102, 1660 København V"
"Dannebrogsgade 12, 3. 4, 1660 København V"
"Dannebrogsgade 44, 1. 103, 1660 København V"
"Dannebrogsgade 12, 4. 1, 1660 København V"
"Dannebrogsgade 44, 1. 104, 1660 København V"
"Dannebrogsgade 12, 4. 2, 1660 København V"
"Dannebrogsgade 44, 1. 105, 1660 København V"
"Dannebrogsgade 12, 4. 3, 1660 København V"
"Dannebrogsgade 44, 1. 106, 1660 København V"
"Dannebrogsgade 12, 5. 1, 1660 København V"
"Dannebrogsgade 44, 1. 107, 1660 København V"
"Dannebrogsgade 12, 5. 2, 1660 København V"
"Dannebrogsgade 44, 1. 108, 1660 København V"
"Dannebrogsgade 12, 5. 3, 1660 København V"
"Dannebrogsgade 44, 1. 109, 1660 København V"
"Dannebrogsgade 13A, st. th, 1660 København V"
"Dannebrogsgade 44, 1. 110, 1660 København V"
"Dannebrogsgade 13A, 1., 1660 København V"
"Dannebrogsgade 44, 2. 201, 1660 København V"
"Dannebrogsgade 13A, 2., 1660 København V"
"Dannebrogsgade 44, 2. 202, 1660 København V"
"Dannebrogsgade 13A, 3., 1660 København V"
"Dannebrogsgade 44, 2. 203, 1660 København V"
"Dannebrogsgade 13A, 4. tv, 1660 København V"
"Dannebrogsgade 44, 2. 204, 1660 København V"
"Dannebrogsgade 13, st. th, 1660 København V"
"Dannebrogsgade 44, 2. 205, 1660 København V"
"Dannebrogsgade 13, st. tv, 1660 København V"
"Dannebrogsgade 44, 2. 206, 1660 København V"
"Dannebrogsgade 13, 1. th, 1660 København V"
"Dannebrogsgade 44, 2. 207, 1660 København V"
"Dannebrogsgade 13, 1. tv, 1660 København V"
"Dannebrogsgade 44, 2. 208, 1660 København V"
"Dannebrogsgade 13, 2. th, 1660 København V"
"Dannebrogsgade 44, 2. 209, 1660 København V"
"Dannebrogsgade 13, 2. tv, 1660 København V"
"Dannebrogsgade 44, 2. 210, 1660 København V"
"Dannebrogsgade 13, 3. th, 1660 København V"
"Dannebrogsgade 44, 3. 301, 1660 København V"
"Dannebrogsgade 13, 3. tv, 1660 København V"
"Dannebrogsgade 44, 3. 302, 1660 København V"
"Dannebrogsgade 13, 4. th, 1660 København V"
"Dannebrogsgade 44, 3. 303, 1660 København V"
"Dannebrogsgade 13, 4. tv, 1660 København V"
"Dannebrogsgade 44, 3. 304, 1660 København V"
"Dannebrogsgade 14, kl., 1660 København V"
"Dannebrogsgade 44, 3. 305, 1660 København V"
"Dannebrogsgade 14, st. th, 1660 København V"
"Dannebrogsgade 44, 3. 306, 1660 København V"
"Dannebrogsgade 14, st. tv, 1660 København V"
"Dannebrogsgade 44, 3. 307, 1660 København V"
"Dannebrogsgade 14, 1. th, 1660 København V"
"Dannebrogsgade 44, 3. 308, 1660 København V"
"Dannebrogsgade 14, 1. tv, 1660 København V"
"Dannebrogsgade 44, 3. 309, 1660 København V"
"Dannebrogsgade 14, 2. th, 1660 København V"
"Dannebrogsgade 44, 3. 310, 1660 København V"
"Dannebrogsgade 14, 2. tv, 1660 København V"
"Dannebrogsgade 44, 4. 401, 1660 København V"
"Dannebrogsgade 14, 3. th, 1660 København V"
"Dannebrogsgade 44, 4. 402, 1660 København V"
"Dannebrogsgade 14, 3. tv, 1660 København V"
"Dannebrogsgade 44, 4. 403, 1660 København V"
"Dannebrogsgade 14, 4. th, 1660 København V"
"Dannebrogsgade 44, 4. 404, 1660 København V"
"Dannebrogsgade 14, 4. tv, 1660 København V"
"Dannebrogsgade 44, 4. 405, 1660 København V"
"Dannebrogsgade 15, kl., 1660 København V"
"Dannebrogsgade 44, 4. 406, 1660 København V"
"Dannebrogsgade 15, st. th, 1660 København V"
"Dannebrogsgade 44, 4. 407, 1660 København V"
"Dannebrogsgade 15, st. tv, 1660 København V"
"Dannebrogsgade 44, 5., 1660 København V"
"Dannebrogsgade 15, 1. th, 1660 København V"
"Dannebrogsgade 46A, st., 1660 København V"
"Dannebrogsgade 15, 1. tv, 1660 København V"
"Dannebrogsgade 46A, 1. th, 1660 København V"
"Dannebrogsgade 15, 2. th, 1660 København V"
"Dannebrogsgade 46A, 1. tv, 1660 København V"
"Dannebrogsgade 15, 2. tv, 1660 København V"
"Dannebrogsgade 46A, 2. th, 1660 København V"
"Dannebrogsgade 15, 3. th, 1660 København V"
"Dannebrogsgade 46A, 2. tv, 1660 København V"
"Dannebrogsgade 15, 3. tv, 1660 København V"
"Dannebrogsgade 16, kl. tv, 1660 København V"
"Dannebrogsgade 16, st. th, 1660 København V"
"Dannebrogsgade 46A, 4., 1660 København V"
"Dannebrogsgade 16, st. tv, 1660 København V"
"Dannebrogsgade 16, 1. th, 1660 København V"
"Dannebrogsgade 16, 1. tv, 1660 København V"
"Dannebrogsgade 46B, st. th, 1660 København V"
"Dannebrogsgade 16, 2. th, 1660 København V"
"Dannebrogsgade 46B, st. tv, 1660 København V"
"Dannebrogsgade 16, 2. tv, 1660 København V"
"Dannebrogsgade 16, 3. th, 1660 København V"
"Dannebrogsgade 16, 3. tv, 1660 København V"
"Dannebrogsgade 46B, 2. th, 1660 København V"
"Dannebrogsgade 16, 4. th, 1660 København V"
"Dannebrogsgade 46B, 2. tv, 1660 København V"
"Dannebrogsgade 16, 4. tv, 1660 København V"
"Dannebrogsgade 46B, 3. th, 1660 København V"
"Dannebrogsgade 17, st. th, 1660 København V"
"Dannebrogsgade 17, st. tv, 1660 København V"
"Dannebrogsgade 17, 1. th, 1660 København V"
"Dannebrogsgade 17, 1. tv, 1660 København V"
"Dannebrogsgade 46C, st. th, 1660 København V"
"Dannebrogsgade 17, 2. th, 1660 København V"
"Dannebrogsgade 17, 2. tv, 1660 København V"
"Dannebrogsgade 17, 3. th, 1660 København V"
"Dannebrogsgade 46C, 1. tv, 1660 København V"
"Dannebrogsgade 17, 3. tv, 1660 København V"
"Dannebrogsgade 46C, 2. th, 1660 København V"
"Dannebrogsgade 17, 4. th, 1660 København V"
"Dannebrogsgade 46C, 2. tv, 1660 København V"
"Dannebrogsgade 17, 4. tv, 1660 København V"
"Dannebrogsgade 46C, 3. th, 1660 København V"
"Dannebrogsgade 18, st. th, 1660 København V"
"Dannebrogsgade 46C, 3. tv, 1660 København V"
"Dannebrogsgade 18, st. tv, 1660 København V"
"Dannebrogsgade 46C, 4., 1660 København V"
"Dannebrogsgade 18, 1. th, 1660 København V"
"Dannebrogsgade 48, st. th, 1660 København V"
"Dannebrogsgade 18, 1. tv, 1660 København V"
"Dannebrogsgade 48, st. tv, 1660 København V"
"Dannebrogsgade 18, 2. th, 1660 København V"
"Dannebrogsgade 48, 1. th, 1660 København V"
"Dannebrogsgade 18, 2. tv, 1660 København V"
"Dannebrogsgade 48, 1. tv, 1660 København V"
"Dannebrogsgade 18, 3. th, 1660 København V"
"Dannebrogsgade 48, 2. th, 1660 København V"
"Dannebrogsgade 18, 3. tv, 1660 København V"
"Dannebrogsgade 48, 2. tv, 1660 København V"
"Dannebrogsgade 18, 4. th, 1660 København V"
"Dannebrogsgade 48, 3. th, 1660 København V"
"Dannebrogsgade 18, 4. tv, 1660 København V"
"Dannebrogsgade 48, 3. tv, 1660 København V"
"Dannebrogsgade 19, st. th, 1660 København V"
"Dannebrogsgade 48, 4. th, 1660 København V"
"Dannebrogsgade 19, st. tv, 1660 København V"
"Dannebrogsgade 48, 4. tv, 1660 København V"
"Dannebrogsgade 19, 1. th, 1660 København V"
"Dannebrogsgade 48, 5. th, 1660 København V"
"Dannebrogsgade 19, 1. tv, 1660 København V"
"Dannebrogsgade 48, 5. tv, 1660 København V"
"Dannebrogsgade 19, 2. th, 1660 København V"
"Dannebrogsgade 51, st. th, 1660 København V"
"Dannebrogsgade 19, 2. tv, 1660 København V"
"Dannebrogsgade 51, st. tv, 1660 København V"
"Dannebrogsgade 36, 2. 218, 1660 København V"
"Dannebrogsgade 36, 2. 219, 1660 København V"
"Dannebrogsgade 36, 2. 220, 1660 København V"
"Dannebrogsgade 36, 2. 221, 1660 København V"
"Dannebrogsgade 34, 2. 221, 1660 København V"
"Dannebrogsgade 36, 2. 222, 1660 København V"
"Dannebrogsgade 34, 2. 222, 1660 København V"
"Dannebrogsgade 36, 2. 224, 1660 København V"
"Dannebrogsgade 36, 2. 223, 1660 København V"
"Dannebrogsgade 36, 2. 225, 1660 København V"
"Dannebrogsgade 36, 3. 318, 1660 København V"
"Dannebrogsgade 36, 3. 319, 1660 København V"
"Dannebrogsgade 36, 3. 320, 1660 København V"
"Dannebrogsgade 36, 3. 321, 1660 København V"
"Dannebrogsgade 36, 3. 322, 1660 København V"
"Dannebrogsgade 19, 3. th, 1660 København V"
"Dannebrogsgade 51, 1. th, 1660 København V"
"Dannebrogsgade 19, 3. tv, 1660 København V"
"Dannebrogsgade 19, 4. th, 1660 København V"
"Dannebrogsgade 51, 2. th, 1660 København V"
"Dannebrogsgade 19, 4. tv, 1660 København V"
"Dannebrogsgade 51, 2. tv, 1660 København V"
"Dannebrogsgade 20, st. th, 1660 København V"
"Dannebrogsgade 51, 3. th, 1660 København V"
"Dannebrogsgade 20, st. tv, 1660 København V"
"Dannebrogsgade 51, 3. tv, 1660 København V"
"Dannebrogsgade 2, 1660 København V"
"Dannebrogsgade 44, 1660 København V"
"Dannebrogsgade 31, kl. 8a, 1660 København V"
"Dannebrogsgade 50, 1660 København V"
"Dannebrogsgade 36, 3. tv, 1660 København V"
"Dannebrogsgade 45B, 1660 København V"
"Dannebrogsgade 2B, 1660 København V"
"Dannebrogsgade 39B, st., 1660 København V"
"Dannebrogsgade 3, 1660 København V"
"Dannebrogsgade 34, 2. 212, 1660 København V"
"Dannebrogsgade 53, 1660 København V"
"Dannebrogsgade 5, 2., 1660 København V"
"Dannebrogsgade 36, 3. 317, 1660 København V"
"Dannebrogsgade 5, 3., 1660 København V"
"Dannebrogsgade 12, st. 3, 1660 København V"
"Dannebrogsgade 36, 3. 312, 1660 København V"
"Dannebrogsgade 33, 2., 1660 København V"
"Dannebrogsgade 34, 2. 215, 1660 København V"
"Dannebrogsgade 36, 3. 316, 1660 København V"
"Dannebrogsgade 34, 2. 217, 1660 København V"
"Dannebrogsgade 12, st. 2, 1660 København V"
"Dannebrogsgade 43, 1660 København V"
"Dannebrogsgade 1, 1660 København V"
"Dannebrogsgade 12, 1660 København V"
"Dannebrogsgade 40, 1660 København V"
"Dannebrogsgade 36, 3. 311, 1660 København V"
"Dannebrogsgade 34, 2. 218, 1660 København V"
"Dannebrogsgade 34, 2. 219, 1660 København V"
"Dannebrogsgade 34, 2. 220, 1660 København V"
"Dannebrogsgade 34, 2. 223, 1660 København V"
"Dannebrogsgade 34, 2. 224, 1660 København V"
"Dannebrogsgade 34, 2. 225, 1660 København V"
"Dannebrogsgade 34, 3. 318, 1660 København V"
"Dannebrogsgade 34, 3. 319, 1660 København V"
"Dannebrogsgade 34, 3. 320, 1660 København V"
"Dannebrogsgade 34, 3. 321, 1660 København V"
"Dannebrogsgade 34, 3. 322, 1660 København V"
"Dannebrogsgade 57, 1660 København V"
"Dannebrogsgade 7, 1660 København V"
"Dannebrogsgade 34, 2. 216, 1660 København V"
"Dannebrogsgade 2A, 1660 København V"
"Dannebrogsgade 32, 1660 København V"
"Dannebrogsgade 12, 4. 4, 1660 København V"
"Dannebrogsgade 39B, 1660 København V"
"Dannebrogsgade 5, 1660 København V"
"Dannebrogsgade 18, 1660 København V"
"Dannebrogsgade 8, 1660 København V"
"Dannebrogsgade 36, 3. 314, 1660 København V"
"Dannebrogsgade 5, 1., 1660 København V"
"Dannebrogsgade 36, 2. 217, 1660 København V"
"Dannebrogsgade 41, 1660 København V"
"Dannebrogsgade 34, 2. 211, 1660 København V"
"Dannebrogsgade 33A, 1660 København V"
"Dannebrogsgade 34, 2. th, 1660 København V"
"Dannebrogsgade 36, 3. 315, 1660 København V"
"Dannebrogsgade 45, 1660 København V"
"Dannebrogsgade 29A, 1660 København V"
"Dannebrogsgade 15, 4., 1660 København V"
"Dannebrogsgade 6, 1660 København V"
"Dannebrogsgade 4, 1660 København V"
"Dannebrogsgade 2C, 1660 København V"
"Dannebrogsgade 36, 3. 313, 1660 København V"
"Dannebrogsgade 36, 2. 215, 1660 København V"
"Dannebrogsgade 51, 1660 København V"
"Dannebrogsgade 34, 3. th, 1660 København V"
"Dannebrogsgade 34, 1660 København V"
"Dannebrogsgade 34, 2. 214, 1660 København V"
"Dannebrogsgade 31, 1660 København V"
"Dannebrogsgade 12, 5. 4, 1660 København V"
"Dannebrogsgade 36, 2. th, 1660 København V"
"Dannebrogsgade 55, 4., 1660 København V"
"Dannebrogsgade 5, st., 1660 København V"
"Dannebrogsgade 36, 3., 1660 København V"
"Dannebrogsgade 47, 1660 København V"
"Dannebrogsgade 46B, 1., 1660 København V"
"Dannebrogsgade 46A, 3., 1660 København V"
"Dannebrogsgade 46A, 3. th, 1660 København V"
