"Bakkegårds Alle 18, 2., 1804 Frederiksberg C"
"Bakkegårds Alle 16, st. th, 1804 Frederiksberg C"
"Bakkegårds Alle 16, st. tv, 1804 Frederiksberg C"
"Bakkegårds Alle 16, 1. th, 1804 Frederiksberg C"
"Bakkegårds Alle 16, 1. tv, 1804 Frederiksberg C"
"Bakkegårds Alle 16, 2. th, 1804 Frederiksberg C"
"Bakkegårds Alle 16, 2. tv, 1804 Frederiksberg C"
"Bakkegårds Alle 16, 3. th, 1804 Frederiksberg C"
"Bakkegårds Alle 16, 3. tv, 1804 Frederiksberg C"
"Bakkegårds Alle 18, kl., 1804 Frederiksberg C"
"Bakkegårds Alle 18, st., 1804 Frederiksberg C"
"Bakkegårds Alle 18, 1., 1804 Frederiksberg C"
"Bakkegårds Alle 20, 1. mf, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 1. th, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 1. tv, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 2. mf, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 2. th, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 2. tv, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 3. mf, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 3. th, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 3. tv, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 4. mf, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 4. th, 1804 Frederiksberg C"
"Bakkegårds Alle 20, 4. tv, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 1. 2, 1804 Frederiksberg C"
"Bakkegårds Alle 18, st. 3, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 2. 1, 1804 Frederiksberg C"
"Bakkegårds Alle 18, st. 2, 1804 Frederiksberg C"
"Bakkegårds Alle 18, st. 5, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 2. 3, 1804 Frederiksberg C"
"Bakkegårds Alle 6, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 1. 1, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 2. 5, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 2. 4, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 1804 Frederiksberg C"
"Bakkegårds Alle 9, st. tv, 1804 Frederiksberg C"
"Bakkegårds Alle 1, 1804 Frederiksberg C"
"Bakkegårds Alle 18, st. 5, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 1. 4, 1804 Frederiksberg C"
"Bakkegårds Alle 18, st. 4, 1804 Frederiksberg C"
"Bakkegårds Alle 13, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 2. 2, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 1. 5, 1804 Frederiksberg C"
"Bakkegårds Alle 18, 1. 3, 1804 Frederiksberg C"
"Bakkegårds Alle 11, 1804 Frederiksberg C"
"Bakkegårds Alle 3, 1804 Frederiksberg C"
"Bakkegårds Alle 18, st. 1, 1804 Frederiksberg C"
"Bakkegårds Alle 7, 3. 1, 1804 Frederiksberg C"
"Bakkegårds Alle 12, kl., 1804 Frederiksberg C"
