"Linnésgade 16A, 1361 København K"
"Linnésgade 35, 1361 København K"
"Linnésgade 4, 1361 København K"
"Linnésgade 2, 3., 1361 København K"
"Linnésgade 22E, 1., 1361 København K"
"Linnésgade 22D, 3. tv, 1361 København K"
"Linnésgade 22D, 4. th, 1361 København K"
"Linnésgade 22D, kl., 1361 København K"
"Israels Plads 1, 1361 København K"
"Linnésgade 29, 4. th, 1361 København K"
"Linnésgade 29, 4., 1361 København K"
"Linnésgade 29A, 4., 1361 København K"
"Linnésgade 24, kl. tv, 1361 København K"
"Linnésgade 37A, 3. th, 1361 København K"
"Linnésgade 22C, 4. tv, 1361 København K"
"Linnésgade 16B, 1., 1361 København K"
"Linnésgade 20A, st. tv, 1361 København K"
"Linnésgade 20A, st. th, 1361 København K"
"Linnésgade 26, kl. tv, 1361 København K"
"Linnésgade 26, kl. th, 1361 København K"
"Linnésgade 26, kl. tv, 1361 København K"
"Linnésgade 26A, kl. th, 1361 København K"
"Linnésgade 26, kl. th, 1361 København K"
"Linnésgade 26A, kl. tv, 1361 København K"
"Linnésgade 16C, 1., 1361 København K"
"Linnésgade 16C, 2., 1361 København K"
"Linnésgade 16C, 3., 1361 København K"
"Linnésgade 16C, 4., 1361 København K"
"Linnésgade 16C, st., 1361 København K"
"Linnésgade 16C, 1361 København K"
"Linnésgade 16B, kl. 1, 1361 København K"
"Linnésgade 16B, kl. 2, 1361 København K"
"Linnésgade 16B, st., 1361 København K"
"Linnésgade 16B, st. th, 1361 København K"
"Linnésgade 16B, 1. th, 1361 København K"
"Linnésgade 16B, 1. tv, 1361 København K"
"Linnésgade 16B, 2. th, 1361 København K"
"Linnésgade 16B, 2. tv, 1361 København K"
"Linnésgade 16B, 3. th, 1361 København K"
"Linnésgade 16B, 3. tv, 1361 København K"
"Linnésgade 16B, 4. th, 1361 København K"
"Linnésgade 16B, 4. tv, 1361 København K"
"Linnésgade 16B, 5. tv, 1361 København K"
"Linnésgade 16B, 1361 København K"
"Linnésgade 16B, 5., 1361 København K"
"Linnésgade 16B, 5. th, 1361 København K"
