"Vesterhavsvej 2A, Nr Tvismark, 6792 Rømø"
"Nordre Havnevej 56, Havneby, 6792 Rømø"
"Nordre Havnevej 60, Havneby, 6792 Rømø"
"Nordre Havnevej 62, Havneby, 6792 Rømø"
"Nordre Havnevej 64, Havneby, 6792 Rømø"
"Nordre Havnevej 68, Havneby, 6792 Rømø"
"Nordre Havnevej 70, Havneby, 6792 Rømø"
"Havnebyvej 74A, Kongsmark, 6792 Rømø"
"P Mærsk Møllers Vej 4B, Duhnby, 6792 Rømø"
"Regnspoven 14, Langdal, 6792 Rømø"
"Lyngvejen 45B, Havneby, 6792 Rømø"
"Blåbærvej 8, Bolilmark, 6792 Rømø"
"Dyssebjergvej 10, Sønderstrand, 6792 Rømø"
"Havnebyvej 131, Kongsmark, 6792 Rømø"
"Håndværkervej 2B, Havneby, 6792 Rømø"
"Lakolk 130, Lakolk, 6792 Rømø"
"Langlivej 3, Lakolk, 6792 Rømø"
"Rævlingevej 7, Bolilmark, 6792 Rømø"
"Blåbærvej 9, Bolilmark, 6792 Rømø"
"Dyssebjergvej 11, Sønderstrand, 6792 Rømø"
"Havnebyvej 133, Kongsmark, 6792 Rømø"
"Håndværkervej 3, Havneby, 6792 Rømø"
"Lakolk 131, Lakolk, 6792 Rømø"
"Langlivej 4, Lakolk, 6792 Rømø"
"Rømersvej 2, Sønderby, 6792 Rømø"
"Blåbærvej 10, Bolilmark, 6792 Rømø"
"Dyssebjergvej 12, Sønderstrand, 6792 Rømø"
"Håndværkervej 4, Havneby, 6792 Rømø"
"Lakolk 132, Lakolk, 6792 Rømø"
"Langlivej 5, Lakolk, 6792 Rømø"
"Rømersvej 7, Sønderby, 6792 Rømø"
"Blåbærvej 11, Bolilmark, 6792 Rømø"
"Dyssebjergvej 13, Sønderstrand, 6792 Rømø"
"Håndværkervej 5, Havneby, 6792 Rømø"
"Lakolk 133, Lakolk, 6792 Rømø"
"Langlivej 6, Lakolk, 6792 Rømø"
"Blåbærvej 12, Bolilmark, 6792 Rømø"
"Dyssebjergvej 14, Sønderstrand, 6792 Rømø"
"Havnebyvej 154, Kirkeby, 6792 Rømø"
"Håndværkervej 6A, st., Havneby, 6792 Rømø"
"Langlivej 7, Lakolk, 6792 Rømø"
"Vestergade 115B, Havneby, 6792 Rømø"
"Blåbærvej 13, Bolilmark, 6792 Rømø"
"Dyssebjergvej 16, Sønderstrand, 6792 Rømø"
"Grønnedal 3, Kongsmark, 6792 Rømø"
"Havnebyvej 161, Kirkeby, 6792 Rømø"
"Håndværkervej 6A, 1., Havneby, 6792 Rømø"
"Lakolk 135, Lakolk, 6792 Rømø"
"Langlivej 8, Lakolk, 6792 Rømø"
"Peder Jespersensvej 1, Kromose, 6792 Rømø"
"Vestergade 117A, Havneby, 6792 Rømø"
"Blåbærvej 14, Bolilmark, 6792 Rømø"
"Dyssebjergvej 17, Sønderstrand, 6792 Rømø"
"Grønnedal 4, Kongsmark, 6792 Rømø"
"Havnebyvej 163A, Kirkeby, 6792 Rømø"
"Håndværkervej 6B, Havneby, 6792 Rømø"
"Langlivej 9, Lakolk, 6792 Rømø"
"Peder Jespersensvej 2, Kromose, 6792 Rømø"
"Vestergade 117B, Havneby, 6792 Rømø"
"Blåbærvej 15, Bolilmark, 6792 Rømø"
"Dyssebjergvej 18, Sønderstrand, 6792 Rømø"
"Grønnedal 5, Kongsmark, 6792 Rømø"
"Havnebyvej 163C, Kirkeby, 6792 Rømø"
"Håndværkervej 17, Havneby, 6792 Rømø"
"Lakolk 136B, Lakolk, 6792 Rømø"
"Langlivej 10, Lakolk, 6792 Rømø"
"Peder Jespersensvej 3, Kromose, 6792 Rømø"
"Rømersvej 10, Sønderby, 6792 Rømø"
"Vestergade 119A, Havneby, 6792 Rømø"
"Blåbærvej 16, Bolilmark, 6792 Rømø"
"Dyssebjergvej 20, Sønderstrand, 6792 Rømø"
"Grønnedal 6, Kongsmark, 6792 Rømø"
"Havnebyvej 169, Kirkeby, 6792 Rømø"
"Lakolk 137, Lakolk, 6792 Rømø"
"Langlivej 11, Lakolk, 6792 Rømø"
"Peder Jespersensvej 4, Kromose, 6792 Rømø"
"Rømersvej 21, Vestergaard, 6792 Rømø"
"Vestergade 119B, Havneby, 6792 Rømø"
"Blåbærvej 17, Bolilmark, 6792 Rømø"
"Dyssebjergvej 21, Sønderstrand, 6792 Rømø"
"Grønnedal 7, Kongsmark, 6792 Rømø"
"Havnebyvej 170, Kirkeby, 6792 Rømø"
"Lakolk 138, Lakolk, 6792 Rømø"
"Langlivej 12, Lakolk, 6792 Rømø"
"Peder Jespersensvej 5, Kromose, 6792 Rømø"
"Rømersvej 27, Vestergaard, 6792 Rømø"
"Vestergade 121A, Havneby, 6792 Rømø"
"Blåbærvej 18, Bolilmark, 6792 Rømø"
"Dyssebjergvej 22, Sønderstrand, 6792 Rømø"
"Grønnedal 8, Kongsmark, 6792 Rømø"
"Havnebyvej 176, Kirkeby, 6792 Rømø"
"Håndværkervej 19, Havneby, 6792 Rømø"
"Lakolk 139, Lakolk, 6792 Rømø"
"Langlivej 13, Lakolk, 6792 Rømø"
"Peder Jespersensvej 6, Kromose, 6792 Rømø"
"Rømersvej 29, Vestergaard, 6792 Rømø"
"Vestergade 121B, Havneby, 6792 Rømø"
"Blåbærvej 19, Bolilmark, 6792 Rømø"
"Dyssebjergvej 23, Sønderstrand, 6792 Rømø"
"Grønnedal 9, Kongsmark, 6792 Rømø"
"Havnebyvej 190, Mølby, 6792 Rømø"
"Håndværkervej 20, Havneby, 6792 Rømø"
"Lakolk 140, Lakolk, 6792 Rømø"
"Lejrbjergvej 1, Vråby, 6792 Rømø"
"Peder Jespersensvej 7, Kromose, 6792 Rømø"
"Vestergade 123A, Havneby, 6792 Rømø"
"Blåbærvej 20, Bolilmark, 6792 Rømø"
"Dyssebjergvej 24, Sønderstrand, 6792 Rømø"
"Grønnedal 10, Kongsmark, 6792 Rømø"
"Havnebyvej 196, Mølby, 6792 Rømø"
"Håndværkervej 21, Havneby, 6792 Rømø"
"Lakolk 141, Lakolk, 6792 Rømø"
"Lejrbjergvej 4, Vråby, 6792 Rømø"
"Peder Jespersensvej 9, Kromose, 6792 Rømø"
"Rørvej 3, Bolilmark, 6792 Rømø"
"Vestergade 123B, Havneby, 6792 Rømø"
"Blåbærvej 20A, Bolilmark, 6792 Rømø"
"Dyssebjergvej 25, Sønderstrand, 6792 Rømø"
"Havnebyvej 198, Mølby, 6792 Rømø"
"Lakolk 142, Lakolk, 6792 Rømø"
"Lejrbjergvej 5, Vråby, 6792 Rømø"
"Peder Jespersensvej 11, Kromose, 6792 Rømø"
"Rørvej 4, Bolilmark, 6792 Rømø"
"Vestergade 125A, Havneby, 6792 Rømø"
"Blåbærvej 21, Bolilmark, 6792 Rømø"
"Dyssebjergvej 26, Sønderstrand, 6792 Rømø"
"Havnebyvej 200, Mølby, 6792 Rømø"
"Lejrbjergvej 8, Vråby, 6792 Rømø"
"Peder Jespersensvej 13, Kromose, 6792 Rømø"
"Rørvej 5, Bolilmark, 6792 Rømø"
"Vestergade 125B, Havneby, 6792 Rømø"
"Blåbærvej 22, Bolilmark, 6792 Rømø"
"Dyssebjergvej 27, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, Mølby, 6792 Rømø"
"Håndværkervej 29, Havneby, 6792 Rømø"
"Lakolk 144, Lakolk, 6792 Rømø"
"Lejrbjergvej 11, Vråby, 6792 Rømø"
"Peder Jespersensvej 15, Kromose, 6792 Rømø"
"Rørvej 6, Bolilmark, 6792 Rømø"
"Vestergade 127A, Havneby, 6792 Rømø"
"Blåbærvej 23, Bolilmark, 6792 Rømø"
"Dyssebjergvej 28, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, kl., Mølby, 6792 Rømø"
"Lakolk 145, Lakolk, 6792 Rømø"
"Lejrbjergvej 12, Vråby, 6792 Rømø"
"Peder Jespersensvej 17, Kromose, 6792 Rømø"
"Rørvej 7, Bolilmark, 6792 Rømø"
"Vestergade 127B, Havneby, 6792 Rømø"
"Peder Jespersensvej 19, Kromose, 6792 Rømø"
"Blåbærvej 24, Bolilmark, 6792 Rømø"
"Dyssebjergvej 29, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 1, Mølby, 6792 Rømø"
"Ivigtut 1, Tvismark, 6792 Rømø"
"Lakolk 146, Lakolk, 6792 Rømø"
"Lejrbjergvej 13, Vråby, 6792 Rømø"
"Rørvej 8, Bolilmark, 6792 Rømø"
"Vestergade 129A, Havneby, 6792 Rømø"
"Vibevej 1A, Havneby, 6792 Rømø"
"Dyssebjergvej 30, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 10, Mølby, 6792 Rømø"
"Lakolk 147, Lakolk, 6792 Rømø"
"Lejrbjergvej 14, Vråby, 6792 Rømø"
"Rørvej 9, Bolilmark, 6792 Rømø"
"Vestergade 129B, Havneby, 6792 Rømø"
"Vibevej 1B, Havneby, 6792 Rømø"
"Blåbærvej 28, Bolilmark, 6792 Rømø"
"Dyssebjergvej 32, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 11, Mølby, 6792 Rømø"
"Ivigtut 3, Tvismark, 6792 Rømø"
"Lakolk 148, Lakolk, 6792 Rømø"
"Lejrbjergvej 18, Vråby, 6792 Rømø"
"Rørvej 10, Bolilmark, 6792 Rømø"
"Stormengevej 2, Landsende, 6792 Rømø"
"Vestergade 131A, Havneby, 6792 Rømø"
"Vibevej 3, Havneby, 6792 Rømø"
"Blåbærvej 30, Bolilmark, 6792 Rømø"
"Dyssebjergvej 33, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 12, Mølby, 6792 Rømø"
"Ivigtut 4, Tvismark, 6792 Rømø"
"Lakolk 149, Lakolk, 6792 Rømø"
"Lejrbjergvej 19, Vråby, 6792 Rømø"
"Rørvej 11, Bolilmark, 6792 Rømø"
"Stormengevej 4, Landsende, 6792 Rømø"
"Vestergade 131B, Havneby, 6792 Rømø"
"Vibevej 5, Havneby, 6792 Rømø"
"Blåbærvej 32, Bolilmark, 6792 Rømø"
"Dyssebjergvej 34, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 13, Mølby, 6792 Rømø"
"Ivigtut 5, Tvismark, 6792 Rømø"
"Lakolk 150, Lakolk, 6792 Rømø"
"Lejrbjergvej 20, Vråby, 6792 Rømø"
"Rørvej 13, Bolilmark, 6792 Rømø"
"Stormengevej 8, Landsende, 6792 Rømø"
"Vestergade 131C, Havneby, 6792 Rømø"
"Vibevej 6, Havneby, 6792 Rømø"
"Bornholmervej 4, Kirkeby, 6792 Rømø"
"Dyssebjergvej 35, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 2, Mølby, 6792 Rømø"
"Ivigtut 6, Tvismark, 6792 Rømø"
"Lakolk 151, Lakolk, 6792 Rømø"
"Lejrbjergvej 21, Vråby, 6792 Rømø"
"Råbjergvej 1, Kongsmark, 6792 Rømø"
"Stormengevej 12, Landsende, 6792 Rømø"
"Vestergade 133A, Havneby, 6792 Rømø"
"Vibevej 7, Havneby, 6792 Rømø"
"Bornholmervej 8, Kirkeby, 6792 Rømø"
"Dyssebjergvej 37, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 3, Mølby, 6792 Rømø"
"Ivigtut 7, Tvismark, 6792 Rømø"
"Lakolk 152, Lakolk, 6792 Rømø"
"Lejrbjergvej 23, Vråby, 6792 Rømø"
"Råbjergvej 2, Kongsmark, 6792 Rømø"
"Stormengevej 14, Landsende, 6792 Rømø"
"Vestergade 133B, Havneby, 6792 Rømø"
"Vibevej 8, Havneby, 6792 Rømø"
"Bornholmervej 12, Kirkeby, 6792 Rømø"
"Dyssebjergvej 39, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 4, Mølby, 6792 Rømø"
"Ivigtut 8, Tvismark, 6792 Rømø"
"Lakolk 153, Lakolk, 6792 Rømø"
"Lejrbjergvej 26, Vråby, 6792 Rømø"
"Råbjergvej 3, Kongsmark, 6792 Rømø"
"Stormengevej 16, Landsende, 6792 Rømø"
"Vestergade 135A, Havneby, 6792 Rømø"
"Vibevej 9, Havneby, 6792 Rømø"
"Borrebjergvej 3, Østerhede, 6792 Rømø"
"Dyssebjergvej 45, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 5, Mølby, 6792 Rømø"
"Ivigtut 9, Tvismark, 6792 Rømø"
"Lakolk 154A, Lakolk, 6792 Rømø"
"Lejrbjergvej 28, Vråby, 6792 Rømø"
"Råbjergvej 4, Kongsmark, 6792 Rømø"
"Stormengevej 18, Landsende, 6792 Rømø"
"Vestergade 135B, Havneby, 6792 Rømø"
"Vibevej 10, Havneby, 6792 Rømø"
"Dyssebjergvej 47, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 6, Mølby, 6792 Rømø"
"Ivigtut 11, Tvismark, 6792 Rømø"
"Lakolk 154B, Lakolk, 6792 Rømø"
"Lejrbjergvej 30, Vråby, 6792 Rømø"
"Råbjergvej 5, Kongsmark, 6792 Rømø"
"Stormengevej 20, Landsende, 6792 Rømø"
"Vestergade 137A, Havneby, 6792 Rømø"
"Vibevej 11, Havneby, 6792 Rømø"
"Dyssebjergvej 49, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 7, Mølby, 6792 Rømø"
"Ivigtut 13, Tvismark, 6792 Rømø"
"Lakolk 154C, Lakolk, 6792 Rømø"
"Lejrbjergvej 32, Vråby, 6792 Rømø"
"Råbjergvej 6, Kongsmark, 6792 Rømø"
"Stormengevej 22, Landsende, 6792 Rømø"
"Vestergade 137B, Havneby, 6792 Rømø"
"Vibevej 13, Havneby, 6792 Rømø"
"Lakolk 155, Lakolk, 6792 Rømø"
"Borrebjergvej 7, Østerhede, 6792 Rømø"
"Dyssebjergvej 51, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 8, Mølby, 6792 Rømø"
"Ivigtut 15, Tvismark, 6792 Rømø"
"Råbjergvej 8, Kongsmark, 6792 Rømø"
"Stormstræde 1, Havneby, 6792 Rømø"
"Vestergade 139A, Havneby, 6792 Rømø"
"Vibevej 17, Havneby, 6792 Rømø"
"Borrebjergvej 10, Østerhede, 6792 Rømø"
"Dyssebjergvej 53, Sønderstrand, 6792 Rømø"
"Havnebyvej 201, st. 9, Mølby, 6792 Rømø"
"Ivigtut 17, Tvismark, 6792 Rømø"
"Lakolk 156, Lakolk, 6792 Rømø"
"Råbjergvej 9, Kongsmark, 6792 Rømø"
"Stormstræde 2, Havneby, 6792 Rømø"
"Vestergade 139B, Havneby, 6792 Rømø"
"Vibevej 19, Havneby, 6792 Rømø"
"Småfolksvej 18A, Kongsmark, 6792 Rømø"
"Borrebjergvej 14, Østerhede, 6792 Rømø"
"E Jensensvej 9A, Kromose, 6792 Rømø"
"Havnebyvej 201, 1. 14, Mølby, 6792 Rømø"
"J Tagholmsvej 3, Kromose, 6792 Rømø"
"Lakolk 157, Lakolk, 6792 Rømø"
"Stormstræde 4, Havneby, 6792 Rømø"
"Vestergade 139C, Havneby, 6792 Rømø"
"Vibevej 22, Havneby, 6792 Rømø"
"Borrebjergvej 18, Østerhede, 6792 Rømø"
"E Jensensvej 9B, Kromose, 6792 Rømø"
"Lakolk 158A, Lakolk, 6792 Rømø"
"Råbjergvej 11, Kongsmark, 6792 Rømø"
"Stormstræde 8, Havneby, 6792 Rømø"
"Vestergade 139D, Havneby, 6792 Rømø"
"Vibevej 26, Havneby, 6792 Rømø"
"E Jensensvej 9C, Kromose, 6792 Rømø"
"Havnebyvej 201, 1. 16, Mølby, 6792 Rømø"
"J Tagholmsvej 9, Kromose, 6792 Rømø"
"Lakolk 158B, Lakolk, 6792 Rømø"
"Råbjergvej 12, Kongsmark, 6792 Rømø"
"Stormstræde 12, Havneby, 6792 Rømø"
"Vestergade 141A, Havneby, 6792 Rømø"
"Vibevej 28, Havneby, 6792 Rømø"
"E Jensensvej 11A, Kromose, 6792 Rømø"
"Havnebyvej 201, 1. 17, Mølby, 6792 Rømø"
"J Tagholmsvej 10, Kromose, 6792 Rømø"
"Råbjergvej 13, Kongsmark, 6792 Rømø"
"Stormstræde 13, Havneby, 6792 Rømø"
"Vestergade 141B, Havneby, 6792 Rømø"
"Vibevej 30, Havneby, 6792 Rømø"
"E Jensensvej 11B, Kromose, 6792 Rømø"
"J Tagholmsvej 12, Kromose, 6792 Rømø"
"Lakolk 159, Lakolk, 6792 Rømø"
"Råbjergvej 14, Kongsmark, 6792 Rømø"
"Stormstræde 14, Havneby, 6792 Rømø"
"Vestergade 141C, Havneby, 6792 Rømø"
"E Jensensvej 11C, Kromose, 6792 Rømø"
"Havnebyvej 201, 1. 19, Mølby, 6792 Rømø"
"J Tagholmsvej 18, Kromose, 6792 Rømø"
"Lakolk 160, Lakolk, 6792 Rømø"
"Råbjergvej 15, Kongsmark, 6792 Rømø"
"Stormstræde 15A, Havneby, 6792 Rømø"
"Vestergade 141D, Havneby, 6792 Rømø"
"E Jensensvej 16, Kromose, 6792 Rømø"
"Havnebyvej 201, 1. 20, Mølby, 6792 Rømø"
"J Tagholmsvej 19, Kromose, 6792 Rømø"
"Lakolk 161, Lakolk, 6792 Rømø"
"Råbjergvej 17, Kongsmark, 6792 Rømø"
"Stormstræde 16, Havneby, 6792 Rømø"
"Vestergade 143A, Havneby, 6792 Rømø"
"E Jensensvej 18, Kromose, 6792 Rømø"
"Havnebyvej 201, 1. 21, Mølby, 6792 Rømø"
"J Tagholmsvej 20, Kromose, 6792 Rømø"
"Lakolk 162, Lakolk, 6792 Rømø"
"Råbjergvej 18, Kongsmark, 6792 Rømø"
"Stormstræde 18, Havneby, 6792 Rømø"
"Vestergade 143B, Havneby, 6792 Rømø"
"E Jensensvej 20, Kromose, 6792 Rømø"
"Havnebyvej 201, 1. 22, Mølby, 6792 Rømø"
"J Tagholmsvej 22, Kromose, 6792 Rømø"
"Lakolk 163, Lakolk, 6792 Rømø"
"Råbjergvej 20, Kongsmark, 6792 Rømø"
"Stormstræde 20, Havneby, 6792 Rømø"
"Vestergade 143C, Havneby, 6792 Rømø"
"E Jensensvej 22, Kromose, 6792 Rømø"
"Havnebyvej 201, 1. 23, Mølby, 6792 Rømø"
"J Tagholmsvej 24, Kromose, 6792 Rømø"
"Lakolk 165, Lakolk, 6792 Rømø"
"Råbjergvej 21, Kongsmark, 6792 Rømø"
"Stormstræde 22, Havneby, 6792 Rømø"
"Egedesminde 1, Kongsmark, 6792 Rømø"
"Havnebyvej 201, 1. 24, Mølby, 6792 Rømø"
"J Tagholmsvej 26, Kromose, 6792 Rømø"
"Lakolk 166, Lakolk, 6792 Rømø"
"Råbjergvej 23, Kongsmark, 6792 Rømø"
"Stormstræde 24, Havneby, 6792 Rømø"
"Vestergade 145B, Havneby, 6792 Rømø"
"Egedesminde 2, Kongsmark, 6792 Rømø"
"Havnebyvej 201, 1. 25, Mølby, 6792 Rømø"
"J Tagholmsvej 28, Kromose, 6792 Rømø"
"Råbjergvej 25, Kongsmark, 6792 Rømø"
"Stormstræde 26, Havneby, 6792 Rømø"
"Vestergade 147A, Havneby, 6792 Rømø"
"Egedesminde 3, Kongsmark, 6792 Rømø"
"Havnebyvej 201, 1. 26, Mølby, 6792 Rømø"
"J Tagholmsvej 29C, Kromose, 6792 Rømø"
"Lakolk 168, Lakolk, 6792 Rømø"
"Råbjergvej 27, Kongsmark, 6792 Rømø"
"Stormstræde 28, Havneby, 6792 Rømø"
"Vestergade 147B, Havneby, 6792 Rømø"
"Egedesminde 4, Kongsmark, 6792 Rømø"
"Gertrud Rasksvej 2, Kongsmark, 6792 Rømø"
"Havnebyvej 202, Mølby, 6792 Rømø"
"J Tagholmsvej 29D, Kromose, 6792 Rømø"
"Lakolk 169, Lakolk, 6792 Rømø"
"Råbjergvej 29, Kongsmark, 6792 Rømø"
"Stormstræde 30, Havneby, 6792 Rømø"
"Vestergade 147C, Havneby, 6792 Rømø"
"Egedesminde 5, Kongsmark, 6792 Rømø"
"Gertrud Rasksvej 4, Kongsmark, 6792 Rømø"
"Havnebyvej 204, Mølby, 6792 Rømø"
"J Tagholmsvej 29G, Kromose, 6792 Rømø"
"Lakolk 170, Lakolk, 6792 Rømø"
"Råbjergvej 31, Kongsmark, 6792 Rømø"
"Stormstræde 32, Havneby, 6792 Rømø"
"Vestergade 147D, Havneby, 6792 Rømø"
"Egedesminde 6, Kongsmark, 6792 Rømø"
"Gertrud Rasksvej 5, Kongsmark, 6792 Rømø"
"Havnebyvej 205, st. th, Mølby, 6792 Rømø"
"J Tagholmsvej 30, Kromose, 6792 Rømø"
"Lakolk 171, Lakolk, 6792 Rømø"
"Råbjergvej 39, Kongsmark, 6792 Rømø"
"Stormstræde 34, Havneby, 6792 Rømø"
"Vestergade 149A, Havneby, 6792 Rømø"
"Egedesminde 8, Kongsmark, 6792 Rømø"
"Gertrud Rasksvej 6, Kongsmark, 6792 Rømø"
"J Tagholmsvej 31, Kromose, 6792 Rømø"
"Lakolk 172, Lakolk, 6792 Rømø"
"Råbjergvej 41, Kongsmark, 6792 Rømø"
"Stormstræde 36, Havneby, 6792 Rømø"
"Vestergade 149B, Havneby, 6792 Rømø"
"Ejnar Mikkelsensvej 1, Kongsmark, 6792 Rømø"
"Gertrud Rasksvej 7, Kongsmark, 6792 Rømø"
"Gøgevej 3, Bolilmark, 6792 Rømø"
"Havnebyvej 206, Mølby, 6792 Rømø"
"J Tagholmsvej 32, Kromose, 6792 Rømø"
"Lakolk 173, Lakolk, 6792 Rømø"
"Rimmevej 1, Langdal, 6792 Rømø"
"Stormstræde 38, Havneby, 6792 Rømø"
"Vestergade 151A, Havneby, 6792 Rømø"
"Ejnar Mikkelsensvej 2, Kongsmark, 6792 Rømø"
"Gertrud Rasksvej 8, Kongsmark, 6792 Rømø"
"Gøgevej 4, Bolilmark, 6792 Rømø"
"Havnebyvej 207, Mølby, 6792 Rømø"
"J Tagholmsvej 33, Kromose, 6792 Rømø"
"Lakolk 174, Lakolk, 6792 Rømø"
"Nørre Frankel 2, Havneby, 6792 Rømø"
"Rimmevej 2, Langdal, 6792 Rømø"
"Råbjergvej 49, Tvismark, 6792 Rømø"
"Strandskaden 1, Sønderstrand, 6792 Rømø"
"Vestergade 151B, Havneby, 6792 Rømø"
"Ejnar Mikkelsensvej 3, Kongsmark, 6792 Rømø"
"Gertrud Rasksvej 9, Kongsmark, 6792 Rømø"
"Gøgevej 6, Bolilmark, 6792 Rømø"
"Havnebyvej 209, Mølby, 6792 Rømø"
"J Tagholmsvej 34, Kromose, 6792 Rømø"
"Lakolk 175, Lakolk, 6792 Rømø"
"Prilen 2, Kongsmark, 6792 Rømø"
"Rimmevej 5, Langdal, 6792 Rømø"
"Råbjergvej 55, Tvismark, 6792 Rømø"
"Strandskaden 3, Sønderstrand, 6792 Rømø"
"Vestergade 151C, Havneby, 6792 Rømø"
"Ejnar Mikkelsensvej 4, Kongsmark, 6792 Rømø"
"Gertrud Rasksvej 10, Kongsmark, 6792 Rømø"
"Havnebyvej 210, Mølby, 6792 Rømø"
"J Tagholmsvej 35, Kromose, 6792 Rømø"
"Lakolk 176, Lakolk, 6792 Rømø"
"Prilen 3, Kongsmark, 6792 Rømø"
"Rimmevej 7, Langdal, 6792 Rømø"
"Råbjergvej 59, Tvismark, 6792 Rømø"
"Strandskaden 4, Sønderstrand, 6792 Rømø"
"Vestergade 151D, Havneby, 6792 Rømø"
"Gl Færgevej 16, Kongsmark, 6792 Rømø"
"Ejnar Mikkelsensvej 5, Kongsmark, 6792 Rømø"
"Gertrud Rasksvej 12, Kongsmark, 6792 Rømø"
"Havnebyvej 211, Mølby, 6792 Rømø"
"J Tagholmsvej 36, Kromose, 6792 Rømø"
"Lakolk 177, Lakolk, 6792 Rømø"
"Prilen 5, Kongsmark, 6792 Rømø"
"Rimmevej 9, Langdal, 6792 Rømø"
