"Bustrupgade 7, 3., 1737 København V"
"Bustrupgade 9, st. tv, 1737 København V"
"Bustrupgade 9, 1. th, 1737 København V"
"Bustrupgade 11, 5. th, 1737 København V"
"Bustrupgade 11, 5. tv, 1737 København V"
"Bustrupgade 5, 5., 1737 København V"
"Bustrupgade 3, 4., 1737 København V"
"Bustrupgade 5, kl., 1737 København V"
"Bustrupgade 4, 3., 1737 København V"
"Bustrupgade 4, 3. th, 1737 København V"
"Bustrupgade 4, 3. tv, 1737 København V"
"Bustrupgade 4, 1. th, 1737 København V"
"Bustrupgade 1, 1. tv, 1737 København V"
"Bustrupgade 8, 1. tv, 1737 København V"
