"Vardevej 147B, 7280 Sønder Felding"
"Fruerbyvej 11, 7280 Sønder Felding"
"Nygårdsvej 1, 7280 Sønder Felding"
"Præstevænget 25, 7280 Sønder Felding"
"Solsikkevej 13, 7280 Sønder Felding"
"Tømmergården 26, 7280 Sønder Felding"
"Fruerbyvej 13, 7280 Sønder Felding"
"Nygårdsvej 2, 7280 Sønder Felding"
"Præstevænget 26, 7280 Sønder Felding"
"Solsikkevej 14, 7280 Sønder Felding"
"Tømmergården 28, 7280 Sønder Felding"
"Fruerbyvej 14, 7280 Sønder Felding"
"Nygårdsvej 3, 7280 Sønder Felding"
"Præstevænget 27, 7280 Sønder Felding"
"Solsikkevej 15, 7280 Sønder Felding"
"Tømmergården 30, 7280 Sønder Felding"
"Fruerbyvej 15, 7280 Sønder Felding"
"Præstevænget 28, 7280 Sønder Felding"
"Solsikkevej 16, 7280 Sønder Felding"
"Tømmergården 32, 7280 Sønder Felding"
"Fruerbyvej 17, 7280 Sønder Felding"
"Præstevænget 29, 7280 Sønder Felding"
"Solsikkevej 17, 7280 Sønder Felding"
"Fruerbyvej 19, 7280 Sønder Felding"
"Nygårdsvej 6, 7280 Sønder Felding"
"Præstevænget 30, 7280 Sønder Felding"
"Solsikkevej 18, 7280 Sønder Felding"
"Fruerbyvej 21, 7280 Sønder Felding"
"Præstevænget 31, 7280 Sønder Felding"
"Solsikkevej 19, 7280 Sønder Felding"
"Fruerbyvej 23, 7280 Sønder Felding"
"Præstevænget 32, 7280 Sønder Felding"
"Solsikkevej 20, 7280 Sønder Felding"
"Fruerbyvej 25, 7280 Sønder Felding"
"Præstevænget 33, 7280 Sønder Felding"
"Solsikkevej 21, 7280 Sønder Felding"
"Gammelmarksvej 1, 7280 Sønder Felding"
"Præstevænget 34, 7280 Sønder Felding"
"Solsikkevej 22, 7280 Sønder Felding"
"Gammelmarksvej 3, 7280 Sønder Felding"
"Præstevænget 35, 7280 Sønder Felding"
"Solsikkevej 23, 7280 Sønder Felding"
"Præstevænget 36, 7280 Sønder Felding"
"Solsikkevej 25, 7280 Sønder Felding"
"Præstevænget 37, 7280 Sønder Felding"
"Solsikkevej 41, 7280 Sønder Felding"
"Præstevænget 38, 7280 Sønder Felding"
"Præstevænget 39, 7280 Sønder Felding"
"Præstevænget 40, 7280 Sønder Felding"
"Elkjærvej 1, 7280 Sønder Felding"
"Præstevænget 41, 7280 Sønder Felding"
"Elkjærvej 2, 7280 Sønder Felding"
"Industrivej 6, 7280 Sønder Felding"
"Præstevænget 42, 7280 Sønder Felding"
"Elkjærvej 3, 7280 Sønder Felding"
"Præstevænget 43, 7280 Sønder Felding"
"Elkjærvej 4, 7280 Sønder Felding"
"Præstevænget 44, 7280 Sønder Felding"
"Elkjærvej 5, 7280 Sønder Felding"
"Præstevænget 45, 7280 Sønder Felding"
"Elkjærvej 6, 7280 Sønder Felding"
"Præstevænget 46, 7280 Sønder Felding"
"Elkjærvej 7, 7280 Sønder Felding"
"Præstevænget 47, 7280 Sønder Felding"
"Elkjærvej 8, 7280 Sønder Felding"
"Gl. Høgsvigvej 1, 7280 Sønder Felding"
"Præstevænget 48, 7280 Sønder Felding"
"Elkjærvej 9, 7280 Sønder Felding"
"Gl. Høgsvigvej 2, 7280 Sønder Felding"
"Nørre Alle 2, 7280 Sønder Felding"
"Præstevænget 49, 7280 Sønder Felding"
"Søndergade 12, kl., 7280 Sønder Felding"
"Elkjærvej 10, 7280 Sønder Felding"
"Gl. Høgsvigvej 3, 7280 Sønder Felding"
"Nørre Alle 3, 7280 Sønder Felding"
"Præstevænget 50, 7280 Sønder Felding"
"Elkjærvej 12, 7280 Sønder Felding"
"Gl. Høgsvigvej 4, 7280 Sønder Felding"
"Nørre Alle 4, 7280 Sønder Felding"
"Præstevænget 51, 7280 Sønder Felding"
"Elkjærvej 14, 7280 Sønder Felding"
"Gl. Høgsvigvej 5, 7280 Sønder Felding"
"Nørre Alle 5, 7280 Sønder Felding"
"Præstevænget 52, 7280 Sønder Felding"
"Elkjærvej 16, 7280 Sønder Felding"
"Gl. Høgsvigvej 6, 7280 Sønder Felding"
"Nørre Alle 7, 7280 Sønder Felding"
"Præstevænget 53, 7280 Sønder Felding"
"Elkjærvej 18, 7280 Sønder Felding"
"Gl. Høgsvigvej 8, 7280 Sønder Felding"
"Nørre Alle 8, 7280 Sønder Felding"
"Præstevænget 55, 7280 Sønder Felding"
"Elkjærvej 20, 7280 Sønder Felding"
"Nørre Alle 9, 7280 Sønder Felding"
"Præstevænget 57, 7280 Sønder Felding"
"Elkjærvej 22, 7280 Sønder Felding"
"Gl. Skolevej 3, 7280 Sønder Felding"
"Nørre Alle 10, 7280 Sønder Felding"
"Præstevænget 59, 7280 Sønder Felding"
"Strøget 1, st., 7280 Sønder Felding"
"Gl. Skolevej 4, 7280 Sønder Felding"
"Nørre Alle 12, 7280 Sønder Felding"
"Præstevænget 61, 7280 Sønder Felding"
"Strøget 1, 1., 7280 Sønder Felding"
"Gl. Skolevej 5, 7280 Sønder Felding"
"Nørre Alle 14, 7280 Sønder Felding"
"Præstevænget 63, 7280 Sønder Felding"
"Strøget 1, 2., 7280 Sønder Felding"
"Gl. Skolevej 7, 7280 Sønder Felding"
"Nørre Alle 16, 7280 Sønder Felding"
"Præstevænget 65, 7280 Sønder Felding"
"Strøget 3, 7280 Sønder Felding"
"Gl. Skolevej 9, 7280 Sønder Felding"
"Nørregade 1, 7280 Sønder Felding"
"Præstevænget 67, 7280 Sønder Felding"
"Nørregade 3, 7280 Sønder Felding"
"Præstevænget 115, 7280 Sønder Felding"
"Strøget 5, 7280 Sønder Felding"
"Nørregade 4, 7280 Sønder Felding"
"Præstevænget 117, 7280 Sønder Felding"
"Strøget 6, st., 7280 Sønder Felding"
"Nørregade 5, 7280 Sønder Felding"
"Præstevænget 119, 7280 Sønder Felding"
"Strøget 6, 1., 7280 Sønder Felding"
"Nørregade 6, 7280 Sønder Felding"
"Præstevænget 121, 7280 Sønder Felding"
"Strøget 7, st., 7280 Sønder Felding"
"Nørregade 7, 7280 Sønder Felding"
"Præstevænget 123, 7280 Sønder Felding"
"Strøget 7, 1., 7280 Sønder Felding"
"Nørregade 8, 7280 Sønder Felding"
"Præstevænget 125, 7280 Sønder Felding"
"Strøget 8, st., 7280 Sønder Felding"
"Nørregade 9, 7280 Sønder Felding"
"Præstevænget 127, 7280 Sønder Felding"
"Strøget 8, st. th, 7280 Sønder Felding"
"Nørregade 10, 1., 7280 Sønder Felding"
"Præstevænget 129, 7280 Sønder Felding"
"Strøget 8, st. tv, 7280 Sønder Felding"
"Nørregade 10, 2., 7280 Sønder Felding"
"Præstevænget 131, 7280 Sønder Felding"
"Strøget 8, 1., 7280 Sønder Felding"
"Nørregade 11A, 7280 Sønder Felding"
"Præstevænget 133, 7280 Sønder Felding"
"Strøget 9, 7280 Sønder Felding"
"Præstevænget 135, 7280 Sønder Felding"
"Strøget 9, kl., 7280 Sønder Felding"
"Præstevænget 137, 7280 Sønder Felding"
"Strøget 10, st., 7280 Sønder Felding"
"Godthaabsvej 2, 7280 Sønder Felding"
"Præstevænget 139, 7280 Sønder Felding"
"Strøget 10, 1., 7280 Sønder Felding"
"Godthaabsvej 3, 7280 Sønder Felding"
"Præstevænget 141, 7280 Sønder Felding"
"Strøget 12, kl., 7280 Sønder Felding"
"Godthaabsvej 4, 7280 Sønder Felding"
"Præstevænget 143, 7280 Sønder Felding"
"Strøget 12, st., 7280 Sønder Felding"
"Bjergevej 38C, 7280 Sønder Felding"
"Godthaabsvej 5, 7280 Sønder Felding"
"Præstevænget 145, 7280 Sønder Felding"
"Strøget 12, 1., 7280 Sønder Felding"
"Godthaabsvej 6, 7280 Sønder Felding"
"Præstevænget 147, 7280 Sønder Felding"
"Strøget 13, 7280 Sønder Felding"
"Godthaabsvej 7, 7280 Sønder Felding"
"Præstevænget 149, 7280 Sønder Felding"
"Strøget 13, st., 7280 Sønder Felding"
"Nørregade 11, st. 1, 7280 Sønder Felding"
"Præstevænget 151, 7280 Sønder Felding"
"Strøget 13, 1., 7280 Sønder Felding"
"Nørregade 11, st. 10, 7280 Sønder Felding"
"Præstevænget 153, 7280 Sønder Felding"
"Strøget 14, kl., 7280 Sønder Felding"
"Nørregade 11, st. 2, 7280 Sønder Felding"
"Præstevænget 155, 7280 Sønder Felding"
"Strøget 14, st., 7280 Sønder Felding"
"Nørregade 11, st. 3, 7280 Sønder Felding"
"Præstevænget 157, 7280 Sønder Felding"
"Strøget 14, 1., 7280 Sønder Felding"
"Nørregade 11, st. 4, 7280 Sønder Felding"
"Præstevænget 159, 7280 Sønder Felding"
"Strøget 17, 7280 Sønder Felding"
"Nørregade 11, st. 5, 7280 Sønder Felding"
"Præstevænget 161, 7280 Sønder Felding"
"Strøget 19, 7280 Sønder Felding"
"Nørregade 11, st. 6, 7280 Sønder Felding"
"Præstevænget 163, 7280 Sønder Felding"
"Strøget 21, 7280 Sønder Felding"
"Nørregade 11, st. 7, 7280 Sønder Felding"
"Præstevænget 165, 7280 Sønder Felding"
"Strøget 23, st., 7280 Sønder Felding"
"Nørregade 11, st. 8, 7280 Sønder Felding"
"Præstevænget 167, 7280 Sønder Felding"
"Strøget 23, 1. a, 7280 Sønder Felding"
"Nørregade 11, st. 9, 7280 Sønder Felding"
"Præstevænget 169, 7280 Sønder Felding"
"Strøget 23, 1. b, 7280 Sønder Felding"
"Nørregade 11, 1. 11, 7280 Sønder Felding"
"Præstevænget 171, 7280 Sønder Felding"
"Strøget 23, 1. c, 7280 Sønder Felding"
"Nørregade 11, 1. 12, 7280 Sønder Felding"
"Præstevænget 173, 7280 Sønder Felding"
"Nørregade 11, 1. 13, 7280 Sønder Felding"
"Præstevænget 175, 7280 Sønder Felding"
"Nørregade 11, 1. 14, 7280 Sønder Felding"
"Præstevænget 177, 7280 Sønder Felding"
"Nørregade 11, 1. 15, 7280 Sønder Felding"
"Præstevænget 179, 7280 Sønder Felding"
"Bredgade 1, 7280 Sønder Felding"
"Nørregade 11, 1. 16, 7280 Sønder Felding"
"Præstevænget 181, 7280 Sønder Felding"
"Aagade 1, 7280 Sønder Felding"
"Nørregade 11, 1. 17, 7280 Sønder Felding"
"Præstevænget 231, 7280 Sønder Felding"
"Aagade 2, 7280 Sønder Felding"
"Kærhedevej 10, 7280 Sønder Felding"
"Nørregade 11, 1. 18, 7280 Sønder Felding"
"Præstevænget 233, 7280 Sønder Felding"
"Skolegade 1, 7280 Sønder Felding"
"Aagade 3, 7280 Sønder Felding"
"Nørregade 11, 1. 19, 7280 Sønder Felding"
"Præstevænget 235, 7280 Sønder Felding"
"Skolegade 3, 7280 Sønder Felding"
"Aagade 4, 7280 Sønder Felding"
"Bredgade 4E, 7280 Sønder Felding"
"Kærhedevej 12, 7280 Sønder Felding"
"Nørregade 11, 1. 20, 7280 Sønder Felding"
"Præstevænget 239, 7280 Sønder Felding"
"Skolegade 7, 7280 Sønder Felding"
"Aagade 5, 7280 Sønder Felding"
"Bredgade 5, 7280 Sønder Felding"
"Kærhedevej 13, Sandet, 7280 Sønder Felding"
"Nørregade 11, 2. 21, 7280 Sønder Felding"
"Præstevænget 241, 7280 Sønder Felding"
"Skolegade 8, 7280 Sønder Felding"
"Aagade 5, 1., 7280 Sønder Felding"
"Bredgade 6, 7280 Sønder Felding"
"Kærhedevej 14, 7280 Sønder Felding"
"Nørregade 11, 2. 22, 7280 Sønder Felding"
"Præstevænget 243, 7280 Sønder Felding"
"Skolegade 9, 7280 Sønder Felding"
"Aagade 6, 7280 Sønder Felding"
