"Revlingevej 9, Færker Vig, 7884 Fur"
"Fyrvænget 5A, Engelst Syd, 7884 Fur"
"Fyrvænget 6, Engelst Syd, 7884 Fur"
"Fyrvænget 7A, Engelst Syd, 7884 Fur"
"Fyrvænget 8, Engelst Syd, 7884 Fur"
"Fyrvænget 9, Engelst Syd, 7884 Fur"
"Skånings Allé 2, Sønderhede, 7884 Fur"
"Fyrvænget 11, Engelst Syd, 7884 Fur"
"Skånings Allé 4, Sønderhede, 7884 Fur"
"Fyrvænget 12, Engelst Syd, 7884 Fur"
"Skånings Allé 5, Sønderhede, 7884 Fur"
"Skånings Allé 6, Sønderhede, 7884 Fur"
"Fyrvænget 14, Engelst Syd, 7884 Fur"
"Skånings Allé 7, Sønderhede, 7884 Fur"
"Fyrvænget 15, Engelst Syd, 7884 Fur"
"Grisselgårde 4, Grisselgårde, 7884 Fur"
"Skånings Allé 8, Sønderhede, 7884 Fur"
"Fyrvænget 16, Engelst Syd, 7884 Fur"
"Grisselgårde 6, Grisselgårde, 7884 Fur"
"Skånings Allé 12, Sønderhede, 7884 Fur"
"Fyrvænget 16A, Engelst Syd, 7884 Fur"
"Grisselgårde 8, Grisselgårde, 7884 Fur"
"Skånings Allé 14, Sønderhede, 7884 Fur"
"Fyrvænget 17, Engelst Syd, 7884 Fur"
"Kønsborgvej 1, Kønsberg, 7884 Fur"
"Skånings Allé 14A, Sønderhede, 7884 Fur"
"Fyrvænget 18, Engelst Syd, 7884 Fur"
"Skånings Allé 14B, Sønderhede, 7884 Fur"
"Fyrvænget 20, Engelst Syd, 7884 Fur"
"Kønsborgvej 3, Kønsberg, 7884 Fur"
"Skånings Allé 16, Sønderhede, 7884 Fur"
"Fyrvænget 22, Engelst Syd, 7884 Fur"
"Kønsborgvej 4, Kønsberg, 7884 Fur"
"Skånings Allé 20, Sønderhede, 7884 Fur"
"Kønsborgvej 5, Kønsberg, 7884 Fur"
"Skånings Allé 22, Sønderhede, 7884 Fur"
"Kønsborgvej 6, Kønsberg, 7884 Fur"
"Kønsborgvej 7A, Kønsberg, 7884 Fur"
"Kønsborgvej 8, Kønsberg, 7884 Fur"
"Nørre Toft 1, Nr. Debel, 7884 Fur"
"Mosevej 3, Engelst Syd, 7884 Fur"
"Kønsborgvej 9, Kønsberg, 7884 Fur"
"Mosevej 4, Engelst Syd, 7884 Fur"
"Kønsborgvej 10, Kønsberg, 7884 Fur"
"Nørre Toft 3, Nr. Debel, 7884 Fur"
"Kønsborgvej 12, Kønsberg, 7884 Fur"
"Kønsborgvej 14, Kønsberg, 7884 Fur"
"Enebærvej 2, Færker Vig, 7884 Fur"
"Kønsborgvej 16, Kønsberg, 7884 Fur"
"Enebærvej 3, Færker Vig, 7884 Fur"
"Enebærvej 4, Færker Vig, 7884 Fur"
"Ladegårdsvej 1, Sønderhede, 7884 Fur"
"Enebærvej 5, Færker Vig, 7884 Fur"
"Fur Kirkevej 1, Præstegårde, 7884 Fur"
"Ladegårdsvej 2, Sønderhede, 7884 Fur"
"Enebærvej 6, Færker Vig, 7884 Fur"
"Fur Kirkevej 2, Præstegårde, 7884 Fur"
"Ladegårdsvej 4, Sønderhede, 7884 Fur"
"Enebærvej 7, Færker Vig, 7884 Fur"
"Fur Kirkevej 4, Præstegårde, 7884 Fur"
"Ladegårdsvej 5, Sønderhede, 7884 Fur"
"Enebærvej 8, Færker Vig, 7884 Fur"
"Fur Kirkevej 6, Præstegårde, 7884 Fur"
"Ladegårdsvej 6, Sønderhede, 7884 Fur"
"Enebærvej 9, Færker Vig, 7884 Fur"
"Fur Kirkevej 8, Præstegårde, 7884 Fur"
"Enebærvej 10, Færker Vig, 7884 Fur"
"Fur Kirkevej 9, Nederby, 7884 Fur"
"Ladegårdsvej 8, Sønderhede, 7884 Fur"
"Enebærvej 11, Færker Vig, 7884 Fur"
"Fur Kirkevej 9, 1., Nederby, 7884 Fur"
"Ladegårdsvej 10, Sønderhede, 7884 Fur"
"Harvarp Odde 7, Søndergårde, 7884 Fur"
"Enebærvej 12, Færker Vig, 7884 Fur"
"Fur Kirkevej 10, Nederby, 7884 Fur"
"Ladegårdsvej 12, Sønderhede, 7884 Fur"
"Enebærvej 13, Færker Vig, 7884 Fur"
"Fur Kirkevej 11, Nederby, 7884 Fur"
"Ladegårdsvej 14, Sønderhede, 7884 Fur"
"Stenøre 1, Stenøre, 7884 Fur"
"Porsevej 1, Færker Vig, 7884 Fur"
"Fur Kirkevej 13, Nederby, 7884 Fur"
"Ladegårdsvej 16, Sønderhede, 7884 Fur"
"Stenøre 1A, Stenøre, 7884 Fur"
"Porsevej 3, Færker Vig, 7884 Fur"
"Fur Kirkevej 15, Nederby, 7884 Fur"
"Ladegårdsvej 20, Sønderhede, 7884 Fur"
"Stenøre 8, Stenøre, 7884 Fur"
"Porsevej 5, Færker Vig, 7884 Fur"
"Ladegårdsvej 22, Sønderhede, 7884 Fur"
"Stenøre 10, Stenøre, 7884 Fur"
"Porsevej 6, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 1, Nederby, 7884 Fur"
"Ladegårdsvej 24, Sønderhede, 7884 Fur"
"Stenøre 12, Stenøre, 7884 Fur"
"Bjerregårds Bakke 1A, Nederby, 7884 Fur"
"Stenøre 13, Stenøre, 7884 Fur"
"Porsevej 10, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 1B, Nederby, 7884 Fur"
"Stenøre 14, Stenøre, 7884 Fur"
"Havtornvej 2, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 1C, Nederby, 7884 Fur"
"Stenøre 15, Stenøre, 7884 Fur"
"Havtornvej 4, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 2, Nederby, 7884 Fur"
"Stenøre 16, Stenøre, 7884 Fur"
"Havtornvej 6, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 3, Nederby, 7884 Fur"
"Stenøre 17, Stenøre, 7884 Fur"
"Havtornvej 8, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 3A, Nederby, 7884 Fur"
"Stenøre 17, st., Stenøre, 7884 Fur"
"Havtornvej 9, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 3B, Nederby, 7884 Fur"
"Stenøre 18, Stenøre, 7884 Fur"
"Revlingevej 4, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 4, Nederby, 7884 Fur"
"Stenøre 18A, Stenøre, 7884 Fur"
"Revlingevej 5, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 5, Nederby, 7884 Fur"
"Stenøre 19, mf, Stenøre, 7884 Fur"
"Revlingevej 6, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 5A, Nederby, 7884 Fur"
"Stenøre 19, th, Stenøre, 7884 Fur"
"Revlingevej 7, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 5B, Nederby, 7884 Fur"
"Pikhedevej 1, Pikhede, 7884 Fur"
"Stenøre 19, tv, Stenøre, 7884 Fur"
"Revlingevej 8, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 6, Nederby, 7884 Fur"
"Langstedvej 2, Lundgårde, 7884 Fur"
"Pikhedevej 2, Pikhede, 7884 Fur"
"Stenøre 20, Stenøre, 7884 Fur"
"Revlingevej 10, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 7, Nederby, 7884 Fur"
"Pikhedevej 4, Pikhede, 7884 Fur"
"Stenøre 21, Stenøre, 7884 Fur"
"Marehalmvej 1, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 10, Nederby, 7884 Fur"
"Pikhedevej 6, Pikhede, 7884 Fur"
"Stenøre 22, Stenøre, 7884 Fur"
"Marehalmvej 3, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 12, Nederby, 7884 Fur"
"Stenøre 23, Stenøre, 7884 Fur"
"Marehalmvej 4, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 14, Nederby, 7884 Fur"
"Stenøre 24, Stenøre, 7884 Fur"
"Marehalmvej 5, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 16, Nederby, 7884 Fur"
"Stenøre 25, Stenøre, 7884 Fur"
"Marehalmvej 6, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 17, Nederby, 7884 Fur"
"Stenøre 27, Stenøre, 7884 Fur"
"Marehalmvej 8, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 18, Nederby, 7884 Fur"
"Stisagervej 2, Madsbad, 7884 Fur"
"Marehalmvej 10, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 19, Nederby, 7884 Fur"
"Stisagervej 4, Madsbad, 7884 Fur"
"Engelstskovvej 1, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 20, Nederby, 7884 Fur"
"Stisagervej 5, Madsbad, 7884 Fur"
"Engelstskovvej 5, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 21, Nederby, 7884 Fur"
"Stisagervej 6, Stisager, 7884 Fur"
"Engelstskovvej 8, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 22, Nederby, 7884 Fur"
"Stisagervej 7, Madsbad, 7884 Fur"
"Engelstskovvej 9, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 23, Nederby, 7884 Fur"
"Stisagervej 8, Stisager, 7884 Fur"
"Husvej 9, Dalager, 7884 Fur"
"Engelstskovvej 10, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 25, Nederby, 7884 Fur"
"Stisagervej 9, Stisager, 7884 Fur"
"Engelstskovvej 12, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 27, Nederby, 7884 Fur"
"Stisagervej 10, Stisager, 7884 Fur"
"Engelstskovvej 14, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 37, Nederby, 7884 Fur"
"Stisagervej 11, Stisager, 7884 Fur"
"Engelstskovvej 17, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 39, Nederby, 7884 Fur"
"Stisagervej 12, Stisager, 7884 Fur"
"Engelstskovvej 18, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 41, Nederby, 7884 Fur"
"Stisagervej 13, Stisager, 7884 Fur"
"Engelstskovvej 19, Færker Vig, 7884 Fur"
"Bjerregårds Bakke 43, Nederby, 7884 Fur"
"Stisagervej 14, Stisager, 7884 Fur"
"Engelstskovvej 20, Færker Vig, 7884 Fur"
"Blegagervej 1, Pikhede, 7884 Fur"
"Stisagervej 15, Stisager, 7884 Fur"
"Tingagervej 1, Nederby, 7884 Fur"
"Engelstskovvej 21, Færker Vig, 7884 Fur"
"Blegagervej 4, Lundgårde, 7884 Fur"
"Stisagervej 17, Stisager, 7884 Fur"
"Tingagervej 2, Nederby, 7884 Fur"
"Engelstskovvej 22, Færker Vig, 7884 Fur"
"Stisagervej 19, Stisager, 7884 Fur"
"Tingagervej 2A, Nederby, 7884 Fur"
"Engelstskovvej 23, Færker Vig, 7884 Fur"
"Blegagervej 6, Dalager, 7884 Fur"
"Stisagervej 21, Stisager, 7884 Fur"
"Tingagervej 2B, Nederby, 7884 Fur"
"Engelstskovvej 24, Færker Vig, 7884 Fur"
"Tingagervej 2C, Nederby, 7884 Fur"
"Engelstskovvej 25, Færker Vig, 7884 Fur"
"Stisagervej 25, Stisager, 7884 Fur"
"Tingagervej 3, Nederby, 7884 Fur"
"Stisagervej 3, Madsbad, 7884 Fur"
"Engelstskovvej 26, Færker Vig, 7884 Fur"
"Stisagervej 27, Stisager, 7884 Fur"
"Tingagervej 4, Nederby, 7884 Fur"
"Engelstskovvej 27, Færker Vig, 7884 Fur"
"Boagervej 1, Debel, 7884 Fur"
"Stisagervej 29, Stisager, 7884 Fur"
"Tingagervej 5, Nederby, 7884 Fur"
"Engelstskovvej 28, Færker Vig, 7884 Fur"
"Boagervej 2, Stisager, 7884 Fur"
"Stisagervej 31, Stisager, 7884 Fur"
"Tingagervej 6, Nederby, 7884 Fur"
"Engelstskovvej 29, Færker Vig, 7884 Fur"
"Boagervej 3, Stisager, 7884 Fur"
"Råkildevej 1, Anshede, 7884 Fur"
"Tingagervej 7, Nederby, 7884 Fur"
"Engelstskovvej 30, Færker Vig, 7884 Fur"
"Boagervej 4, Svarre, 7884 Fur"
"Råkildevej 2, Debel, 7884 Fur"
"Tingagervej 8, Nederby, 7884 Fur"
"Engelstskovvej 31, Færker Vig, 7884 Fur"
"Boagervej 5, Stisager, 7884 Fur"
"Råkildevej 3, Anshede, 7884 Fur"
"Tingagervej 10, Nederby, 7884 Fur"
"Engelstskovvej 33, Færker Vig, 7884 Fur"
"Boagervej 6, Svarre, 7884 Fur"
"Råkildevej 5, Anshede, 7884 Fur"
"Sundevej 1, Stenøre, 7884 Fur"
"Tingagervej 12, Nederby, 7884 Fur"
"Engelstskovvej 35, Færker Vig, 7884 Fur"
"Boagervej 7, Stisager, 7884 Fur"
"Sundevej 2, Sunde, 7884 Fur"
"Tingagervej 14, Nederby, 7884 Fur"
"Engelstskovvej 39, Færker Vig, 7884 Fur"
"Boagervej 8, Svarre, 7884 Fur"
"Sundevej 3, Sunde, 7884 Fur"
"Tingagervej 16, Nederby, 7884 Fur"
"Engelstskovvej 43, Færker Vig, 7884 Fur"
"Boagervej 10, Svarre, 7884 Fur"
"Sundevej 4, Sunde, 7884 Fur"
"Engelstskovvej 49, Færker Vig, 7884 Fur"
"Boagervej 12, Stisager, 7884 Fur"
"Sundevej 5, Sunde, 7884 Fur"
"Tingagervej 20, Nederby, 7884 Fur"
"Engelstskovvej 51, Færker Vig, 7884 Fur"
"Sundevej 6, Sunde, 7884 Fur"
"Tingagervej 22, Nederby, 7884 Fur"
"Harvarp Odde 1, Søndergårde, 7884 Fur"
"Sundevej 7, Sunde, 7884 Fur"
"Tingagervej 22A, Nederby, 7884 Fur"
"Engelstskovvej 57, Færker Vig, 7884 Fur"
"Harvarp Odde 2, Søndergårde, 7884 Fur"
"Sundevej 8, Sunde, 7884 Fur"
"Tingagervej 24, Nederby, 7884 Fur"
"Færkerhedevej 3, Færker Vig, 7884 Fur"
"Harvarp Odde 3, Søndergårde, 7884 Fur"
"Sundevej 9, Sunde, 7884 Fur"
"Tingagervej 26, Nederby, 7884 Fur"
"Færkerhedevej 4, Færker Vig, 7884 Fur"
"Harvarp Odde 4, Søndergårde, 7884 Fur"
"Nederby 1, Nederby, 7884 Fur"
"Sundevej 9A, Sunde, 7884 Fur"
"Tingagervej 28, Nederby, 7884 Fur"
"Færkerhedevej 5, Færker Vig, 7884 Fur"
"Harvarp Odde 5, Søndergårde, 7884 Fur"
"Nederby 2, Nederby, 7884 Fur"
"Sundevej 10, Sunde, 7884 Fur"
"Tingagervej 30, Nederby, 7884 Fur"
"Færkerhedevej 6, Færker Vig, 7884 Fur"
"Harvarp Odde 6, Søndergårde, 7884 Fur"
"Nederby 3, Nederby, 7884 Fur"
"Sundevej 11, Sunde, 7884 Fur"
"Søndergårdevej 1, Søndergårde, 7884 Fur"
"Tingagervej 32, Nederby, 7884 Fur"
"Færkerhedevej 8, Færker Vig, 7884 Fur"
"Nederby 4, Nederby, 7884 Fur"
"Sundevej 13, Sunde, 7884 Fur"
"Søndergårdevej 2, Søndergårde, 7884 Fur"
"Tingagervej 34, Nederby, 7884 Fur"
"Sundevej 14, Sunde, 7884 Fur"
"Færkerhedevej 9, Færker Vig, 7884 Fur"
"Harvarp Odde 8, Søndergårde, 7884 Fur"
"Nederby 5, Nederby, 7884 Fur"
"Søndergårdevej 4, Søndergårde, 7884 Fur"
"Tingagervej 36, Nederby, 7884 Fur"
"Færkerhedevej 10, Færker Vig, 7884 Fur"
"Harvarp Odde 9, Søndergårde, 7884 Fur"
"Nederby 6, Nederby, 7884 Fur"
"Sundevej 15, Sunde, 7884 Fur"
"Søndergårdevej 5, Søndergårde, 7884 Fur"
"Tingagervej 38, Nederby, 7884 Fur"
"Færkerhedevej 11, Færker Vig, 7884 Fur"
"Harvarp Odde 10, Søndergårde, 7884 Fur"
"Nederby 7, Nederby, 7884 Fur"
"Sundevej 16, Sunde, 7884 Fur"
"Søndergårdevej 6, Søndergårde, 7884 Fur"
"Tingagervej 40, Nederby, 7884 Fur"
"Færkerhedevej 12, Færker Vig, 7884 Fur"
"Harvarp Odde 11, Søndergårde, 7884 Fur"
"Nederby 8, Nederby, 7884 Fur"
"Sundevej 17, Sunde, 7884 Fur"
"Søndergårdevej 7, Søndergårde, 7884 Fur"
"Færkerhedevej 14, Færker Vig, 7884 Fur"
"Harvarp Odde 12, Søndergårde, 7884 Fur"
"Nederby 9, Nederby, 7884 Fur"
"Sundevej 19, Sunde, 7884 Fur"
"Søndergårdevej 8, Søndergårde, 7884 Fur"
"Færkerhedevej 16, Færker Vig, 7884 Fur"
"Harvarp Odde 13, Søndergårde, 7884 Fur"
"Nederby 10, Nederby, 7884 Fur"
"Sundevej 21, Sunde, 7884 Fur"
"Søndergårdevej 10, Søndergårde, 7884 Fur"
"Færkerhedevej 18, Færker Vig, 7884 Fur"
"Harvarp Odde 14, Søndergårde, 7884 Fur"
"Nederby 11, Nederby, 7884 Fur"
"Sundevej 23, Sunde, 7884 Fur"
"Søndergårdevej 12, Søndergårde, 7884 Fur"
"Færkerhedevej 20, Færker Vig, 7884 Fur"
"Harvarp Odde 15, Søndergårde, 7884 Fur"
"Nederby 12, Nederby, 7884 Fur"
"Sundevej 25, Sunde, 7884 Fur"
"Søndergårdevej 13, Søndergårde, 7884 Fur"
"Færkerhedevej 22, Færker Vig, 7884 Fur"
"Harvarp Odde 16, Søndergårde, 7884 Fur"
"Nederby 12, 1., Nederby, 7884 Fur"
"Sundevej 29, Sunde, 7884 Fur"
"Søndergårdevej 14, Søndergårde, 7884 Fur"
"Færkerhedevej 24, Færker Vig, 7884 Fur"
"Harvarp Odde 17, Søndergårde, 7884 Fur"
"Nederby 13, Nederby, 7884 Fur"
"Sundevej 31, Sunde, 7884 Fur"
"Søndergårdevej 15, Søndergårde, 7884 Fur"
"Færkerhedevej 26, Færker Vig, 7884 Fur"
"Harvarp Odde 18, Søndergårde, 7884 Fur"
"Nederby 14, Nederby, 7884 Fur"
"Sundevej 35, Sunde, 7884 Fur"
"Søndergårdevej 16, Søndergårde, 7884 Fur"
"Færkerhedevej 28, Færker Vig, 7884 Fur"
"Harvarp Odde 19, Søndergårde, 7884 Fur"
"Nederby 17, Nederby, 7884 Fur"
"Sundevej 37, Sunde, 7884 Fur"
"Søndergårdevej 17, Søndergårde, 7884 Fur"
"Harvarp Odde 20, Søndergårde, 7884 Fur"
"Nederby 18, Nederby, 7884 Fur"
"Sundevej 39, Sunde, 7884 Fur"
"Søndergårdevej 17, st., Søndergårde, 7884 Fur"
"Harvarp Odde 21, Søndergårde, 7884 Fur"
"Nederby 19, Nederby, 7884 Fur"
"Søndergårdevej 18, Søndergårde, 7884 Fur"
"Harvarp Odde 22, Søndergårde, 7884 Fur"
"Nederby 20, st., Nederby, 7884 Fur"
"Sundevej 47, Nederby, 7884 Fur"
"Søndergårdevej 19, Søndergårde, 7884 Fur"
"Harvarp Odde 24, Søndergårde, 7884 Fur"
"Nederby 20, 1., Nederby, 7884 Fur"
"Sundevej 49, Nederby, 7884 Fur"
"Søndergårdevej 20, Søndergårde, 7884 Fur"
"Nederby 21, Nederby, 7884 Fur"
"Sundevej 51, Nederby, 7884 Fur"
"Søndergårdevej 21, Søndergårde, 7884 Fur"
"Nederby 22, Nederby, 7884 Fur"
"Sundevej 53, Nederby, 7884 Fur"
"Søndergårdevej 23, Søndergårde, 7884 Fur"
"Nederby 24, Nederby, 7884 Fur"
"Søndergårdevej 26, Søndergårde, 7884 Fur"
"Nederby 25, Nederby, 7884 Fur"
"Søndergårdevej 29, Søndergårde, 7884 Fur"
"Tråen Trap 5, Debel, 7884 Fur"
"Tråen Trap 7, Debel, 7884 Fur"
"Fædammevej 1, Engelst, 7884 Fur"
"Nederby 26, Nederby, 7884 Fur"
"Søndergårdevej 31, Søndergårde, 7884 Fur"
"Fædammevej 2, Engelst, 7884 Fur"
"Søndergårdevej 35, Søndergårde, 7884 Fur"
"Tråen Trap 9, Debel, 7884 Fur"
"Fædammevej 2A, Engelst, 7884 Fur"
"Søndergårdevej 37, Søndergårde, 7884 Fur"
"Tråen Trap 11, Debel, 7884 Fur"
"Fædammevej 3, Engelst, 7884 Fur"
"Hellesmindevej 2, Nr. Debel, 7884 Fur"
"Søndergårdevej 39, Søndergårde, 7884 Fur"
"Tråen Trap 13, Debel, 7884 Fur"
"Fædammevej 4, Engelst, 7884 Fur"
"Hellesmindevej 3, Nr. Debel, 7884 Fur"
"Søndergårdevej 41, Søndergårde, 7884 Fur"
"Tråen Trap 15, Debel, 7884 Fur"
"Fædammevej 5, Engelst, 7884 Fur"
"Hellesmindevej 4, Nr. Debel, 7884 Fur"
"Søndergårdevej 45, Søndergårde, 7884 Fur"
"Tråen Trap 17, Debel, 7884 Fur"
"Fædammevej 5, st., Engelst, 7884 Fur"
"Hellesmindevej 5, Nr. Debel, 7884 Fur"
"Søndergårdevej 49, Søndergårde, 7884 Fur"
"Tråen Trap 19, Debel, 7884 Fur"
"Hellesmindevej 7, Nr. Debel, 7884 Fur"
"Fædammevej 7, Engelst, 7884 Fur"
"Hellesmindevej 11, Nr. Debel, 7884 Fur"
"Søndergårdevej 53, Søndergårde, 7884 Fur"
"Fædammevej 8, Engelst, 7884 Fur"
"Hellesmindevej 13, Nr. Debel, 7884 Fur"
"Søndergårdevej 54, Søndergårde, 7884 Fur"
"Fædammevej 10, Engelst, 7884 Fur"
"Hellesmindevej 15, Pikhede, 7884 Fur"
"Søndergårdevej 55, Søndergårde, 7884 Fur"
"Dalagervej 3, Nederby, 7884 Fur"
"Fædammevej 11, Engelst, 7884 Fur"
"Hellesmindevej 17, Pikhede, 7884 Fur"
"Søndergårdevej 57, Søndergårde, 7884 Fur"
"Dalagervej 4, Nederby, 7884 Fur"
"Fædammevej 12, Engelst, 7884 Fur"
"Hellesmindevej 21, Pikhede, 7884 Fur"
"Søndergårdevej 58, Søndergårde, 7884 Fur"
"Dalagervej 5, Nederby, 7884 Fur"
"Fædammevej 13, Engelst, 7884 Fur"
"Hellesmindevej 23, Pikhede, 7884 Fur"
"Søndergårdevej 59, Søndergårde, 7884 Fur"
"Dalagervej 6, Nederby, 7884 Fur"
"Fædammevej 14, Engelst, 7884 Fur"
"Hellesmindevej 25, Pikhede, 7884 Fur"
"Søndergårdevej 60, Søndergårde, 7884 Fur"
"Dalagervej 7, Nederby, 7884 Fur"
