"Valdemarsgade 77, 4., 1665 København V"
"Valdemarsgade 36, st., 1665 København V"
"Valdemarsgade 64, st. tv, 1665 København V"
"Valdemarsgade 36, 1. th, 1665 København V"
"Valdemarsgade 64, 1. th, 1665 København V"
"Valdemarsgade 36, 1. tv, 1665 København V"
"Valdemarsgade 64, 1. tv, 1665 København V"
"Valdemarsgade 36, 2. th, 1665 København V"
"Valdemarsgade 64, 2. th, 1665 København V"
"Valdemarsgade 36, 2. tv, 1665 København V"
"Valdemarsgade 64, 2. tv, 1665 København V"
"Valdemarsgade 36, 3. th, 1665 København V"
"Valdemarsgade 64, 3. th, 1665 København V"
"Valdemarsgade 36, 3. tv, 1665 København V"
"Valdemarsgade 64, 3. tv, 1665 København V"
"Valdemarsgade 36, 4. th, 1665 København V"
"Valdemarsgade 64, 4. th, 1665 København V"
"Valdemarsgade 36, 4. tv, 1665 København V"
"Valdemarsgade 64, 4. tv, 1665 København V"
"Valdemarsgade 36, 5. th, 1665 København V"
"Valdemarsgade 64, 5. th, 1665 København V"
"Valdemarsgade 36, 5. tv, 1665 København V"
"Valdemarsgade 64, 5. tv, 1665 København V"
"Valdemarsgade 37, kl. th, 1665 København V"
"Valdemarsgade 65, kl., 1665 København V"
"Valdemarsgade 37, kl. tv, 1665 København V"
"Valdemarsgade 65, st. th, 1665 København V"
"Valdemarsgade 37, st. th, 1665 København V"
"Valdemarsgade 65, st. tv, 1665 København V"
"Valdemarsgade 37, st. tv, 1665 København V"
"Valdemarsgade 65, 1. th, 1665 København V"
"Valdemarsgade 37, 1. th, 1665 København V"
"Valdemarsgade 65, 1. tv, 1665 København V"
"Valdemarsgade 37, 1. tv, 1665 København V"
"Valdemarsgade 37, 2. th, 1665 København V"
"Valdemarsgade 65, 2. tv, 1665 København V"
"Valdemarsgade 37, 2. tv, 1665 København V"
"Valdemarsgade 65, 3., 1665 København V"
"Valdemarsgade 37, 3. th, 1665 København V"
"Valdemarsgade 65, 4., 1665 København V"
"Valdemarsgade 37, 3. tv, 1665 København V"
"Valdemarsgade 37, 4. th, 1665 København V"
"Valdemarsgade 37, 4. tv, 1665 København V"
"Valdemarsgade 37, 5. th, 1665 København V"
"Valdemarsgade 37, 5. tv, 1665 København V"
"Valdemarsgade 66, st., 1665 København V"
"Valdemarsgade 38, st. th, 1665 København V"
"Valdemarsgade 66, 1. th, 1665 København V"
"Valdemarsgade 38, st. tv, 1665 København V"
"Valdemarsgade 66, 1. tv, 1665 København V"
"Valdemarsgade 38, 1. th, 1665 København V"
"Valdemarsgade 66, 2. th, 1665 København V"
"Valdemarsgade 38, 1. tv, 1665 København V"
"Valdemarsgade 66, 2. tv, 1665 København V"
"Valdemarsgade 38, 2. th, 1665 København V"
"Valdemarsgade 66, 3. th, 1665 København V"
"Valdemarsgade 1A, st. th, 1665 København V"
"Valdemarsgade 38, 2. tv, 1665 København V"
"Valdemarsgade 66, 3. tv, 1665 København V"
"Valdemarsgade 1A, st. tv, 1665 København V"
"Valdemarsgade 38, 3. th, 1665 København V"
"Valdemarsgade 66, 4. th, 1665 København V"
"Valdemarsgade 1A, 1. th, 1665 København V"
"Valdemarsgade 38, 3. tv, 1665 København V"
"Valdemarsgade 66, 4. tv, 1665 København V"
"Valdemarsgade 1A, 1. tv, 1665 København V"
"Valdemarsgade 38, 4. th, 1665 København V"
"Valdemarsgade 66, 5. th, 1665 København V"
"Valdemarsgade 1A, 2. th, 1665 København V"
"Valdemarsgade 38, 4. tv, 1665 København V"
"Valdemarsgade 66, 5. tv, 1665 København V"
"Valdemarsgade 1A, 2. tv, 1665 København V"
"Valdemarsgade 38, 5. th, 1665 København V"
"Valdemarsgade 67, st. th, 1665 København V"
"Valdemarsgade 1A, 3. th, 1665 København V"
"Valdemarsgade 38, 5. tv, 1665 København V"
"Valdemarsgade 67, st. tv, 1665 København V"
"Valdemarsgade 1A, 3. tv, 1665 København V"
"Valdemarsgade 40, st., 1665 København V"
"Valdemarsgade 67, 1. th, 1665 København V"
"Valdemarsgade 1A, 4. th, 1665 København V"
"Valdemarsgade 40, 1. th, 1665 København V"
"Valdemarsgade 67, 1. tv, 1665 København V"
"Valdemarsgade 1A, 4. tv, 1665 København V"
"Valdemarsgade 40, 1. tv, 1665 København V"
"Valdemarsgade 67, 2. th, 1665 København V"
"Valdemarsgade 1B, st. th, 1665 København V"
"Valdemarsgade 67, 2. tv, 1665 København V"
"Valdemarsgade 1B, st. tv, 1665 København V"
"Valdemarsgade 40, 2. tv, 1665 København V"
"Valdemarsgade 67, 3. th, 1665 København V"
"Valdemarsgade 1B, 1. th, 1665 København V"
"Valdemarsgade 40, 3. th, 1665 København V"
"Valdemarsgade 67, 3. tv, 1665 København V"
"Valdemarsgade 1B, 1. tv, 1665 København V"
"Valdemarsgade 40, 3. tv, 1665 København V"
"Valdemarsgade 67, 4. th, 1665 København V"
"Valdemarsgade 1B, 2. th, 1665 København V"
"Valdemarsgade 40, 4. th, 1665 København V"
"Valdemarsgade 67, 4. tv, 1665 København V"
"Valdemarsgade 1B, 2. tv, 1665 København V"
"Valdemarsgade 40, 4. tv, 1665 København V"
"Valdemarsgade 67, 5. th, 1665 København V"
"Valdemarsgade 1B, 3. th, 1665 København V"
"Valdemarsgade 40, 5. th, 1665 København V"
"Valdemarsgade 67, 5. tv, 1665 København V"
"Valdemarsgade 1B, 3. tv, 1665 København V"
"Valdemarsgade 40, 5. tv, 1665 København V"
"Valdemarsgade 68, st. th, 1665 København V"
"Valdemarsgade 1B, 4. th, 1665 København V"
"Valdemarsgade 41, st. th, 1665 København V"
"Valdemarsgade 68, st. tv, 1665 København V"
"Valdemarsgade 1B, 4. tv, 1665 København V"
"Valdemarsgade 41, st. tv, 1665 København V"
"Valdemarsgade 68, 1. th, 1665 København V"
"Valdemarsgade 1B, 5. th, 1665 København V"
"Valdemarsgade 41, 1. th, 1665 København V"
"Valdemarsgade 68, 1. tv, 1665 København V"
"Valdemarsgade 1B, 5. tv, 1665 København V"
"Valdemarsgade 41, 1. tv, 1665 København V"
"Valdemarsgade 68, 2. th, 1665 København V"
"Valdemarsgade 2, st., 1665 København V"
"Valdemarsgade 41, 2. th, 1665 København V"
"Valdemarsgade 68, 2. tv, 1665 København V"
"Valdemarsgade 2, 1. th, 1665 København V"
"Valdemarsgade 41, 2. tv, 1665 København V"
"Valdemarsgade 68, 3. th, 1665 København V"
"Valdemarsgade 2, 1. tv, 1665 København V"
"Valdemarsgade 41, 3. th, 1665 København V"
"Valdemarsgade 68, 3. tv, 1665 København V"
"Valdemarsgade 2, 2. th, 1665 København V"
"Valdemarsgade 41, 3. tv, 1665 København V"
"Valdemarsgade 68, 4. th, 1665 København V"
"Valdemarsgade 2, 2. tv, 1665 København V"
"Valdemarsgade 41, 4. th, 1665 København V"
"Valdemarsgade 68, 4. tv, 1665 København V"
"Valdemarsgade 2, 3. th, 1665 København V"
"Valdemarsgade 41, 4. tv, 1665 København V"
"Valdemarsgade 68, 5. th, 1665 København V"
"Valdemarsgade 2, 3. tv, 1665 København V"
"Valdemarsgade 41, 5., 1665 København V"
"Valdemarsgade 68, 5. tv, 1665 København V"
"Valdemarsgade 2, 4. th, 1665 København V"
"Valdemarsgade 42, st., 1665 København V"
"Valdemarsgade 69, st., 1665 København V"
"Valdemarsgade 2, 4. tv, 1665 København V"
"Valdemarsgade 42, 1. th, 1665 København V"
"Valdemarsgade 2, 5. th, 1665 København V"
"Valdemarsgade 42, 1. tv, 1665 København V"
"Valdemarsgade 2, 5. tv, 1665 København V"
"Valdemarsgade 42, 2. th, 1665 København V"
"Valdemarsgade 69, 2. th, 1665 København V"
"Valdemarsgade 3, kl., 1665 København V"
"Valdemarsgade 42, 2. tv, 1665 København V"
"Valdemarsgade 69, 2. tv, 1665 København V"
"Valdemarsgade 3, st. th, 1665 København V"
"Valdemarsgade 42, 3. th, 1665 København V"
"Valdemarsgade 69, 3. tv, 1665 København V"
"Valdemarsgade 3, st. tv, 1665 København V"
"Valdemarsgade 42, 3. tv, 1665 København V"
"Valdemarsgade 69, 4. th, 1665 København V"
"Valdemarsgade 3, 1. th, 1665 København V"
"Valdemarsgade 42, 4. th, 1665 København V"
"Valdemarsgade 69, 4. tv, 1665 København V"
"Valdemarsgade 3, 1. tv, 1665 København V"
"Valdemarsgade 42, 4. tv, 1665 København V"
"Valdemarsgade 69, 5. th, 1665 København V"
"Valdemarsgade 3, 2. th, 1665 København V"
"Valdemarsgade 42, 5. th, 1665 København V"
"Valdemarsgade 69, 5. tv, 1665 København V"
"Valdemarsgade 3, 2. tv, 1665 København V"
"Valdemarsgade 42, 5. tv, 1665 København V"
"Valdemarsgade 70, st., 1665 København V"
"Valdemarsgade 5, st. th, 1665 København V"
"Valdemarsgade 43, st., 1665 København V"
"Valdemarsgade 70, 1. th, 1665 København V"
"Valdemarsgade 5, st. tv, 1665 København V"
"Valdemarsgade 43, 1., 1665 København V"
"Valdemarsgade 70, 1. tv, 1665 København V"
"Valdemarsgade 5, 1. th, 1665 København V"
"Valdemarsgade 43, 2., 1665 København V"
"Valdemarsgade 70, 2. th, 1665 København V"
"Valdemarsgade 5, 1. tv, 1665 København V"
"Valdemarsgade 43, 3., 1665 København V"
"Valdemarsgade 70, 2. tv, 1665 København V"
"Valdemarsgade 5, 2., 1665 København V"
"Valdemarsgade 70, 3. th, 1665 København V"
"Valdemarsgade 7, st. th, 1665 København V"
"Valdemarsgade 43, 5., 1665 København V"
"Valdemarsgade 70, 3. tv, 1665 København V"
"Valdemarsgade 7, st. tv, 1665 København V"
"Valdemarsgade 44, st. th, 1665 København V"
"Valdemarsgade 70, 4. th, 1665 København V"
"Valdemarsgade 44, st. tv, 1665 København V"
"Valdemarsgade 7, 1. th, 1665 København V"
"Valdemarsgade 70, 4. tv, 1665 København V"
"Valdemarsgade 7, 1. tv, 1665 København V"
"Valdemarsgade 70, 5. th, 1665 København V"
"Valdemarsgade 7, 2., 1665 København V"
"Valdemarsgade 44, 1. tv, 1665 København V"
"Valdemarsgade 70, 5. tv, 1665 København V"
"Valdemarsgade 44, 2. th, 1665 København V"
"Valdemarsgade 71, st., 1665 København V"
"Valdemarsgade 44, 2. tv, 1665 København V"
"Valdemarsgade 71, 1. th, 1665 København V"
"Valdemarsgade 44, 3. th, 1665 København V"
"Valdemarsgade 44, 3. tv, 1665 København V"
"Valdemarsgade 71, 2. th, 1665 København V"
"Valdemarsgade 27, st., 1665 København V"
"Valdemarsgade 44, 4. th, 1665 København V"
"Valdemarsgade 71, 2. tv, 1665 København V"
"Valdemarsgade 44, 4. tv, 1665 København V"
"Valdemarsgade 71, 3. th, 1665 København V"
"Valdemarsgade 44, 5. th, 1665 København V"
"Valdemarsgade 71, 3. tv, 1665 København V"
"Valdemarsgade 9, st. th, 1665 København V"
"Valdemarsgade 44, 5. tv, 1665 København V"
"Valdemarsgade 71, 4. th, 1665 København V"
"Valdemarsgade 9, st. tv, 1665 København V"
"Valdemarsgade 45, st., 1665 København V"
"Valdemarsgade 71, 4. tv, 1665 København V"
"Valdemarsgade 9, 1. th, 1665 København V"
"Valdemarsgade 45, 1., 1665 København V"
"Valdemarsgade 71, 5. th, 1665 København V"
"Valdemarsgade 9, 1. tv, 1665 København V"
"Valdemarsgade 45, 2., 1665 København V"
"Valdemarsgade 71, 5. tv, 1665 København V"
"Valdemarsgade 9, 2., 1665 København V"
"Valdemarsgade 45, 3., 1665 København V"
"Valdemarsgade 10, kl., 1665 København V"
"Valdemarsgade 45, 4., 1665 København V"
"Valdemarsgade 72, st. th, 1665 København V"
"Valdemarsgade 10, st., 1665 København V"
"Valdemarsgade 45, 5., 1665 København V"
"Valdemarsgade 72, st. tv, 1665 København V"
"Valdemarsgade 10, 1., 1665 København V"
"Valdemarsgade 46, st., 1665 København V"
"Valdemarsgade 72, 1. th, 1665 København V"
"Valdemarsgade 11, st. mf, 1665 København V"
"Valdemarsgade 46, 1. th, 1665 København V"
"Valdemarsgade 72, 1. tv, 1665 København V"
"Valdemarsgade 11, st. tv, 1665 København V"
"Valdemarsgade 46, 1. tv, 1665 København V"
"Valdemarsgade 72, 2. th, 1665 København V"
"Valdemarsgade 11, 1. mf, 1665 København V"
"Valdemarsgade 46, 2., 1665 København V"
"Valdemarsgade 72, 2. tv, 1665 København V"
"Valdemarsgade 11, 1. th, 1665 København V"
"Valdemarsgade 46, 3., 1665 København V"
"Valdemarsgade 72, 3. th, 1665 København V"
"Valdemarsgade 11, 1. tv, 1665 København V"
"Valdemarsgade 72, 3. tv, 1665 København V"
"Valdemarsgade 72, 4. th, 1665 København V"
"Valdemarsgade 11, 2. tv, 1665 København V"
"Valdemarsgade 46, 4. th, 1665 København V"
"Valdemarsgade 72, 4. tv, 1665 København V"
"Valdemarsgade 13, st. th, 1665 København V"
"Valdemarsgade 46, 4. tv, 1665 København V"
"Valdemarsgade 72, 5., 1665 København V"
"Valdemarsgade 13, st. tv, 1665 København V"
"Valdemarsgade 46, 5. th, 1665 København V"
"Valdemarsgade 46, 5. tv, 1665 København V"
"Valdemarsgade 73, 1. th, 1665 København V"
"Valdemarsgade 13, 2. th, 1665 København V"
"Valdemarsgade 47, st. th, 1665 København V"
"Valdemarsgade 73, 1. tv, 1665 København V"
"Valdemarsgade 13, 2. tv, 1665 København V"
"Valdemarsgade 47, st. tv, 1665 København V"
"Valdemarsgade 73, 2. th, 1665 København V"
"Valdemarsgade 14, kl., 1665 København V"
"Valdemarsgade 47, 1. th, 1665 København V"
"Valdemarsgade 73, 2. tv, 1665 København V"
"Valdemarsgade 14, st., 1665 København V"
"Valdemarsgade 47, 1. tv, 1665 København V"
"Valdemarsgade 73, 3. th, 1665 København V"
"Valdemarsgade 14, 1., 1665 København V"
"Valdemarsgade 47, 2. th, 1665 København V"
"Valdemarsgade 73, 3. tv, 1665 København V"
"Valdemarsgade 14, 2., 1665 København V"
"Valdemarsgade 47, 2. tv, 1665 København V"
"Valdemarsgade 73, 4. th, 1665 København V"
"Valdemarsgade 14, 3., 1665 København V"
"Valdemarsgade 47, 3. th, 1665 København V"
"Valdemarsgade 73, 4. tv, 1665 København V"
"Valdemarsgade 15, st., 1665 København V"
"Valdemarsgade 47, 3. tv, 1665 København V"
"Valdemarsgade 73, 5. th, 1665 København V"
"Valdemarsgade 15, 1., 1665 København V"
"Valdemarsgade 47, 4. th, 1665 København V"
"Valdemarsgade 73, 5. tv, 1665 København V"
"Valdemarsgade 15, 2. 20, 1665 København V"
"Valdemarsgade 47, 4. tv, 1665 København V"
"Valdemarsgade 75, kl., 1665 København V"
"Valdemarsgade 15, 2. 22, 1665 København V"
"Valdemarsgade 47, 5., 1665 København V"
"Valdemarsgade 75, st. th, 1665 København V"
"Valdemarsgade 15, 2. 24, 1665 København V"
"Valdemarsgade 49A, kl. 1, 1665 København V"
"Valdemarsgade 75, st. tv, 1665 København V"
"Valdemarsgade 16, kl., 1665 København V"
"Valdemarsgade 49A, kl. 2, 1665 København V"
"Valdemarsgade 75, 1. th, 1665 København V"
"Valdemarsgade 16, st. th, 1665 København V"
"Valdemarsgade 49A, st. th, 1665 København V"
"Valdemarsgade 75, 1. tv, 1665 København V"
"Valdemarsgade 16, st. tv, 1665 København V"
"Valdemarsgade 49A, st. tv, 1665 København V"
"Valdemarsgade 75, 2. th, 1665 København V"
"Valdemarsgade 16, st. 1, 1665 København V"
"Valdemarsgade 49A, 1. th, 1665 København V"
"Valdemarsgade 75, 2. tv, 1665 København V"
"Valdemarsgade 16, st. 2, 1665 København V"
"Valdemarsgade 49A, 1. tv, 1665 København V"
"Valdemarsgade 75, 3. th, 1665 København V"
"Valdemarsgade 16, 1., 1665 København V"
"Valdemarsgade 49A, 2. th, 1665 København V"
"Valdemarsgade 75, 3. tv, 1665 København V"
"Valdemarsgade 16, 2., 1665 København V"
"Valdemarsgade 49A, 2. tv, 1665 København V"
"Valdemarsgade 75, 4. th, 1665 København V"
"Valdemarsgade 16, 3., 1665 København V"
"Valdemarsgade 49A, 3. th, 1665 København V"
"Valdemarsgade 75, 4. tv, 1665 København V"
"Valdemarsgade 16, 4., 1665 København V"
"Valdemarsgade 49A, 3. tv, 1665 København V"
"Valdemarsgade 77, st. th, 1665 København V"
"Valdemarsgade 17, 2., 1665 København V"
"Valdemarsgade 49A, 4. th, 1665 København V"
"Valdemarsgade 77, st. tv, 1665 København V"
"Valdemarsgade 18, kl., 1665 København V"
"Valdemarsgade 49A, 4. tv, 1665 København V"
"Valdemarsgade 77, 1. th, 1665 København V"
"Valdemarsgade 18, st. th, 1665 København V"
"Valdemarsgade 49, kl. 1, 1665 København V"
"Valdemarsgade 77, 1. tv, 1665 København V"
"Valdemarsgade 18, st. tv, 1665 København V"
"Valdemarsgade 49, kl. 2, 1665 København V"
"Valdemarsgade 77, 2. th, 1665 København V"
"Valdemarsgade 18, 1. th, 1665 København V"
"Valdemarsgade 49, st. th, 1665 København V"
"Valdemarsgade 77, 2. tv, 1665 København V"
"Valdemarsgade 18, 1. tv, 1665 København V"
"Valdemarsgade 49, st. tv, 1665 København V"
"Valdemarsgade 18, 2. th, 1665 København V"
"Valdemarsgade 49, 1. th, 1665 København V"
"Valdemarsgade 18, 2. tv, 1665 København V"
"Valdemarsgade 49, 1. tv, 1665 København V"
"Valdemarsgade 19A, st., 1665 København V"
"Valdemarsgade 49, 2. th, 1665 København V"
"Valdemarsgade 19A, 1., 1665 København V"
"Valdemarsgade 49, 2. tv, 1665 København V"
"Valdemarsgade 77, 5. th, 1665 København V"
"Valdemarsgade 19A, 2., 1665 København V"
"Valdemarsgade 49, 3. th, 1665 København V"
"Valdemarsgade 77, 5. tv, 1665 København V"
"Valdemarsgade 19A, 3., 1665 København V"
"Valdemarsgade 49, 3. tv, 1665 København V"
"Valdemarsgade 79, st. th, 1665 København V"
"Valdemarsgade 19B, kl., 1665 København V"
"Valdemarsgade 49, 4. th, 1665 København V"
"Valdemarsgade 79, st. tv, 1665 København V"
"Valdemarsgade 19B, 1., 1665 København V"
"Valdemarsgade 49, 4. tv, 1665 København V"
"Valdemarsgade 79, 1. th, 1665 København V"
"Valdemarsgade 19C, 1665 København V"
"Valdemarsgade 50, st. th, 1665 København V"
"Valdemarsgade 79, 1. tv, 1665 København V"
"Valdemarsgade 19D, st., 1665 København V"
"Valdemarsgade 50, st. tv, 1665 København V"
"Valdemarsgade 79, 2. th, 1665 København V"
"Valdemarsgade 20, kl., 1665 København V"
"Valdemarsgade 50, 1. th, 1665 København V"
"Valdemarsgade 79, 2. tv, 1665 København V"
"Valdemarsgade 20, st. mf, 1665 København V"
"Valdemarsgade 50, 1. tv, 1665 København V"
"Valdemarsgade 79, 3. th, 1665 København V"
"Valdemarsgade 20, st. th, 1665 København V"
"Valdemarsgade 50, 2. th, 1665 København V"
"Valdemarsgade 79, 3. tv, 1665 København V"
"Valdemarsgade 20, st. tv, 1665 København V"
"Valdemarsgade 50, 2. tv, 1665 København V"
"Valdemarsgade 79, 4. th, 1665 København V"
"Valdemarsgade 20, 1. mf, 1665 København V"
"Valdemarsgade 50, 3. th, 1665 København V"
"Valdemarsgade 79, 4. tv, 1665 København V"
"Valdemarsgade 20, 1. th, 1665 København V"
"Valdemarsgade 50, 3. tv, 1665 København V"
"Valdemarsgade 79, 5. th, 1665 København V"
"Valdemarsgade 20, 1. tv, 1665 København V"
"Valdemarsgade 50, 4. th, 1665 København V"
"Valdemarsgade 79, 5. tv, 1665 København V"
"Valdemarsgade 20, 2. mf, 1665 København V"
"Valdemarsgade 50, 4. tv, 1665 København V"
"Valdemarsgade 81, st., 1665 København V"
"Valdemarsgade 20, 2. th, 1665 København V"
"Valdemarsgade 50, 5. th, 1665 København V"
"Valdemarsgade 81, 1. th, 1665 København V"
"Valdemarsgade 20, 2. tv, 1665 København V"
"Valdemarsgade 50, 5. tv, 1665 København V"
"Valdemarsgade 81, 1. tv, 1665 København V"
"Valdemarsgade 22, st., 1665 København V"
"Valdemarsgade 51, kl. th, 1665 København V"
"Valdemarsgade 81, 2. th, 1665 København V"
"Valdemarsgade 22, 1., 1665 København V"
"Valdemarsgade 51, kl. tv, 1665 København V"
"Valdemarsgade 81, 2. tv, 1665 København V"
"Valdemarsgade 22, 2., 1665 København V"
"Valdemarsgade 51, st. th, 1665 København V"
"Valdemarsgade 81, 3. th, 1665 København V"
"Valdemarsgade 22, 3., 1665 København V"
"Valdemarsgade 51, st. tv, 1665 København V"
"Valdemarsgade 81, 3. tv, 1665 København V"
"Valdemarsgade 22, 4., 1665 København V"
"Valdemarsgade 51, 1. th, 1665 København V"
"Valdemarsgade 81, 4. th, 1665 København V"
"Valdemarsgade 24, st. th, 1665 København V"
"Valdemarsgade 51, 1. tv, 1665 København V"
"Valdemarsgade 81, 4. tv, 1665 København V"
"Valdemarsgade 24, st. tv, 1665 København V"
