"Røddinggade 7A, 1. tv, 1735 København V"
"Røddinggade 3, 3. tv, 1735 København V"
"Røddinggade 1, st. th, 1735 København V"
"Røddinggade 8, 1., 1735 København V"
"Røddinggade 10, 1735 København V"
"Røddinggade 3, 1735 København V"
"Røddinggade 12, 5. tv, 1735 København V"
"Røddinggade 7, 1735 København V"
"Røddinggade 12, 5. th, 1735 København V"
"Røddinggade 10A, 1735 København V"
"Røddinggade 1, 4. th, 1735 København V"
"Røddinggade 7, 2. tv, 1735 København V"
"Røddinggade 10, 4., 1735 København V"
"Røddinggade 7, 1. th, 1735 København V"
"Røddinggade 10, 4. th, 1735 København V"
"Røddinggade 10, 4. tv, 1735 København V"
"Røddinggade 2, st. tv, 1735 København V"
"Røddinggade 4, st. th, 1735 København V"
