"H.C. Ørsteds Vej 52, 5., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 39C, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 58, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 1B, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 39C, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 58, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 1B, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 39C, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 58, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 1B, 5. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22A, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 58, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 1B, 5. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22A, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 58, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 1B, 6., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22B, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59A, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22B, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59A, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22B, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59A, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22B, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59A, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22D, kl. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22D, kl. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22D, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59A, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22D, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59A, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22D, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22D, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, st. mf, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, st. mf, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 5. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22D, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 5. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22D, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 6. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22D, 3., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3A, 6. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, 3. mf, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22E, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22E, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22F, kl., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22F, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, 5., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60A, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22F, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60A, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 5. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60A, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 5. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60A, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 3B, 6., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60A, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60A, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, kl. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, kl. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 5., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, kl. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, kl. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, kl. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, st. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 1. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, st. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 1. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, st. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 1. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 1. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 2. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 2. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 5. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 2. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 5. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 2. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 3. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 3. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 3. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 5., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, st. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 3. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, st. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 4. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, st. 6, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 4. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 4. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 25, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 5, 4. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 6, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 6, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 6, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 6, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 6, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 6, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65, 3., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 44, kl., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 44, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 44, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 44, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 44, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 44, 3., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 44, 4., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 44, 5., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, st. mf, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 68, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 68, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 68, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 68, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 68, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 46, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 68, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, st. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48A, st. mf, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 68, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, st. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48A, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 68, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48A, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 68, 4., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28B, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48A, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, kl. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28B, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48A, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, kl. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28C, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48A, 3., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 9, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28C, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48A, 4., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 9, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28C, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48A, 5., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 9, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28C, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48B, st. mf, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, st. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 9, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28C, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48B, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, st. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 9, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28D, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48B, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 9, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28D, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48B, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10, kl. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28D, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48B, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10, kl. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28D, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48B, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48B, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48B, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 29A, 1. th, 1879 Frederiksberg C"
