"Langebæk Stationsvej 3, 4772 Langebæk"
"Hovvejen 26, 4772 Langebæk"
"Langebæk Gade 24, 4772 Langebæk"
"Gl Vordingborgvej 34, 4772 Langebæk"
"Hovvejen 27, 4772 Langebæk"
"Langebæk Gade 25, 4772 Langebæk"
"Gl Vordingborgvej 35, 4772 Langebæk"
"Hovvejen 28, 4772 Langebæk"
"Langebæk Gade 26, 4772 Langebæk"
"Gl Vordingborgvej 36, 4772 Langebæk"
"Hovvejen 29, 4772 Langebæk"
"Vesterskovvej 1, 4772 Langebæk"
"Gl Vordingborgvej 37, 4772 Langebæk"
"Langebæk Gade 28, 4772 Langebæk"
"Vesterskovvej 2, 4772 Langebæk"
"Gl Vordingborgvej 38, 4772 Langebæk"
"Langebæk Gade 29, 4772 Langebæk"
"Pilevej 17, Stensby, 4772 Langebæk"
"Vesterskovvej 3, 4772 Langebæk"
"Gl Vordingborgvej 39, 4772 Langebæk"
"Langebæk Gade 30, 4772 Langebæk"
"Vesterskovvej 4, 4772 Langebæk"
"Gl Vordingborgvej 41, 4772 Langebæk"
"Langebæk Gade 31A, 4772 Langebæk"
"Vesterskovvej 6, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 101, 4772 Langebæk"
"Vesterskovvej 8, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 102, 4772 Langebæk"
"Vesterskovvej 10, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 103, 4772 Langebæk"
"Langebæk Gade 32, 4772 Langebæk"
"Skovhuse Gade 16, 4772 Langebæk"
"Vesterskovvej 12, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 104, 4772 Langebæk"
"Langebæk Gade 33, 4772 Langebæk"
"Skovhuse Gade 18, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 105, 4772 Langebæk"
"Langebæk Gade 34, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 106, 4772 Langebæk"
"Langebæk Gade 35, 4772 Langebæk"
"Skovhuse Gade 20, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 107, 4772 Langebæk"
"Langebæk Gade 36, 4772 Langebæk"
"Skovhuse Gade 21, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 108, 4772 Langebæk"
"Langebæk Gade 37, 4772 Langebæk"
"Skovhuse Gade 22, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 201, 4772 Langebæk"
"Langebæk Gade 38, 4772 Langebæk"
"Skovhuse Gade 23, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 202, 4772 Langebæk"
"Langebæk Gade 39, 4772 Langebæk"
"Skovhuse Gade 24, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 203, 4772 Langebæk"
"Langebæk Gade 40, 4772 Langebæk"
"Skovhuse Gade 25, 4772 Langebæk"
"Søen 1, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 204, 4772 Langebæk"
"Langebæk Gade 41, 4772 Langebæk"
"Pilotstræde 13, 4772 Langebæk"
"Skovhuse Gade 26, 4772 Langebæk"
"Søen 2, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 205, 4772 Langebæk"
"Langebæk Gade 42, 4772 Langebæk"
"Skovhuse Gade 27, 4772 Langebæk"
"Søen 3, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 206, 4772 Langebæk"
"Langebæk Gade 43, 4772 Langebæk"
"Pilotstræde 16, 4772 Langebæk"
"Skovhuse Gade 28, 4772 Langebæk"
"Søen 5, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 207, 4772 Langebæk"
"Langebæk Gade 44, 4772 Langebæk"
"Pilotstræde 18, 4772 Langebæk"
"Skovhuse Gade 29, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 301, 4772 Langebæk"
"Langebæk Gade 45, 4772 Langebæk"
"Plovvej 2, Skovhuse, 4772 Langebæk"
"Skovhuse Gade 30, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 302, 4772 Langebæk"
"Langebæk Gade 46, 4772 Langebæk"
"Plovvej 4, Skovhuse, 4772 Langebæk"
"Skovhuse Gade 31, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 303, 4772 Langebæk"
"Langebæk Gade 47, 4772 Langebæk"
"Plovvej 6, Skovhuse, 4772 Langebæk"
"Skovhuse Gade 32, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 304, 4772 Langebæk"
"Langebæk Gade 48, 4772 Langebæk"
"Skovhuse Gade 33, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 305, 4772 Langebæk"
"Langebæk Gade 49, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 306, 4772 Langebæk"
"Langebæk Gade 50, 4772 Langebæk"
"Skovhuse Gade 35, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 307, 4772 Langebæk"
"Langebæk Gade 51, 4772 Langebæk"
"Gl Vordingborgvej 43A, st. 308, 4772 Langebæk"
"Langebæk Gade 52, 4772 Langebæk"
"Skovhuse Gade 37, 4772 Langebæk"
"Gl Vordingborgvej 43B, 4772 Langebæk"
"Langebæk Gade 53, 4772 Langebæk"
"Skovhuse Gade 38, 4772 Langebæk"
"Gl Vordingborgvej 45, 4772 Langebæk"
"Langebæk Gade 55, 4772 Langebæk"
"Skovhuse Gade 39, 4772 Langebæk"
"Gl Vordingborgvej 47, 4772 Langebæk"
"Langebæk Gade 57, 4772 Langebæk"
"Skovhuse Gade 41, 4772 Langebæk"
"Gl Vordingborgvej 49, 4772 Langebæk"
"Langebæk Gade 59, 4772 Langebæk"
"Skovhuse Gade 43, 4772 Langebæk"
"Gl Vordingborgvej 51, 4772 Langebæk"
"Langebæk Gade 61, 4772 Langebæk"
"Skovhuse Gade 45, 4772 Langebæk"
"Gl Vordingborgvej 53, 4772 Langebæk"
"Langebækgårdvej 1, 4772 Langebæk"
"Skovhuse Gade 49, 4772 Langebæk"
"Gl Vordingborgvej 55, 4772 Langebæk"
"Langebækgårdvej 2, 4772 Langebæk"
"Skovhuse Gade 51, 4772 Langebæk"
"Gl Vordingborgvej 57, 4772 Langebæk"
"Skovhuse Gade 53, 4772 Langebæk"
"Gl Vordingborgvej 59, 4772 Langebæk"
"Langebækgårdvej 4, 4772 Langebæk"
"Gl Vordingborgvej 61, 4772 Langebæk"
"Langebækgårdvej 6, 4772 Langebæk"
"Gl Vordingborgvej 63, 4772 Langebæk"
"Langebækgårdvej 8, 4772 Langebæk"
"Gl Vordingborgvej 65, 4772 Langebæk"
"Gl Vordingborgvej 67, 4772 Langebæk"
"Gl Vordingborgvej 69, 4772 Langebæk"
"Langø 1, 4772 Langebæk"
"Gl Vordingborgvej 71, 4772 Langebæk"
"Langø 1B, 4772 Langebæk"
"Gl Vordingborgvej 73, 4772 Langebæk"
"Langø 2, 4772 Langebæk"
"Langø 3, 4772 Langebæk"
"Gl Vordingborgvej 75, 4772 Langebæk"
"Gl Vordingborgvej 77, 4772 Langebæk"
"Langøvej 1, 4772 Langebæk"
"Gl Vordingborgvej 79, 4772 Langebæk"
"Langøvej 2, 4772 Langebæk"
"Gl Vordingborgvej 81, 4772 Langebæk"
"Langøvej 3, 4772 Langebæk"
"Gl Vordingborgvej 83, 4772 Langebæk"
"Langøvej 4, 4772 Langebæk"
"Gl Vordingborgvej 85, 4772 Langebæk"
"Langøvej 5, 4772 Langebæk"
"Gl Vordingborgvej 87, 4772 Langebæk"
"Langøvej 6, 4772 Langebæk"
"Gl Vordingborgvej 89, 4772 Langebæk"
"Langøvej 7, 4772 Langebæk"
"Gl Vordingborgvej 91, 4772 Langebæk"
"Langøvej 8, 4772 Langebæk"
"Gl Vordingborgvej 93, 4772 Langebæk"
"Langøvej 10, 4772 Langebæk"
"Jordbærvej 1, 4772 Langebæk"
"Jordbærvej 2, 4772 Langebæk"
"Jordbærvej 3, 4772 Langebæk"
"Jordbærvej 5, 4772 Langebæk"
"Jordbærvej 6, 4772 Langebæk"
"Stampebakkevej 1, 4772 Langebæk"
"Stampebakkevej 2, 4772 Langebæk"
"Skovledsvej 1, 4772 Langebæk"
"Skovledsvej 2B, 4772 Langebæk"
"Skovledsvej 3A, 4772 Langebæk"
"Skovledsvej 5, 4772 Langebæk"
"Stensby Mark 1, 4772 Langebæk"
"Stensby Mark 2, 4772 Langebæk"
"Stensby Mark 3, 4772 Langebæk"
"Stensby Mark 5, 4772 Langebæk"
"Stensby Mark 7, 4772 Langebæk"
"Lillebakken 2, 4772 Langebæk"
"Lillebakken 4, 4772 Langebæk"
"Stensbyvej 1, 4772 Langebæk"
"Lillebakken 6, 4772 Langebæk"
"Stensbyvej 2, 4772 Langebæk"
"Lillebakken 8, 4772 Langebæk"
"Stensbyvej 3, 4772 Langebæk"
"Lillebakken 10, 4772 Langebæk"
"Rødsbjergvej 1, 4772 Langebæk"
"Stensbyvej 4, 4772 Langebæk"
"Rødsbjergvej 3, 4772 Langebæk"
"Stensbyvej 5, 4772 Langebæk"
"Rødsbjergvej 5, 4772 Langebæk"
"Stensbyvej 6, 4772 Langebæk"
"Stensbyvej 7, 4772 Langebæk"
"Stensbyvej 8, 4772 Langebæk"
"Stensbyvej 9, 4772 Langebæk"
"Hegnskrogen 1, 4772 Langebæk"
"Hegnskrogen 5, 4772 Langebæk"
"Hegnskrogen 6, 4772 Langebæk"
"Hegnskrogen 7A, 4772 Langebæk"
"Hegnskrogen 7B, 4772 Langebæk"
"Hegnskrogen 7C, 4772 Langebæk"
"Hegnskrogen 7D, 4772 Langebæk"
"Hegnskrogen 7E, 4772 Langebæk"
"Falsterbovej 1, 4772 Langebæk"
"Hegnskrogen 7F, 4772 Langebæk"
"Falsterbovej 2, 4772 Langebæk"
"Hegnskrogen 8, 4772 Langebæk"
"Hegnskrogen 9, 4772 Langebæk"
"Hegnskrogen 10, 4772 Langebæk"
"Hegnskrogen 11, 4772 Langebæk"
"Hegnskrogen 12, 4772 Langebæk"
"Hegnskrogen 13, 4772 Langebæk"
"Hegnskrogen 14, 4772 Langebæk"
"Hegnskrogen 15, 4772 Langebæk"
"Hegnskrogen 16, 4772 Langebæk"
"Hegnskrogen 17, 4772 Langebæk"
"Hegnskrogen 18, 4772 Langebæk"
"Hegnskrogen 19, 4772 Langebæk"
"Hegnskrogen 20, 4772 Langebæk"
"Hegnskrogen 21, 4772 Langebæk"
"Hegnskrogen 22, 4772 Langebæk"
"Hestehavevej 1, 4772 Langebæk"
"Hestehavevej 3, 4772 Langebæk"
"Troldehøjvej 1, 4772 Langebæk"
"Troldehøjvej 2, 4772 Langebæk"
"Hestehavevej 6, 4772 Langebæk"
"Tyttebærvej 1, 4772 Langebæk"
"Hestehavevej 8, 4772 Langebæk"
"Tyttebærvej 2, 4772 Langebæk"
"Tyttebærvej 3, 4772 Langebæk"
"Tyttebærvej 5, 4772 Langebæk"
"Tyttebærvej 6, 4772 Langebæk"
"Tyttebærvej 7, 4772 Langebæk"
"Tyttebærvej 8, 4772 Langebæk"
"Hindbærvej 1, 4772 Langebæk"
"Tyttebærvej 10, 4772 Langebæk"
"Hindbærvej 2, 4772 Langebæk"
"Tyttebærvej 12, 4772 Langebæk"
"Hindbærvej 3, 4772 Langebæk"
"Tyttebærvej 14, 4772 Langebæk"
"Hindbærvej 4, 4772 Langebæk"
"Tærø 1, 4772 Langebæk"
"Gartnervænget 1, Stensby, 4772 Langebæk"
"Hindbærvej 5, 4772 Langebæk"
"Gartnervænget 2, Stensby, 4772 Langebæk"
"Hindbærvej 6, 4772 Langebæk"
"Gartnervænget 4, Stensby, 4772 Langebæk"
"Hindbærvej 8, 4772 Langebæk"
"Hindbærvej 10, 4772 Langebæk"
"Hindbærvej 11, 4772 Langebæk"
"Hindbærvej 12, 4772 Langebæk"
"Hindbærvej 14, 4772 Langebæk"
"Hindbærvej 16, 4772 Langebæk"
"Hindbærvej 18, 4772 Langebæk"
"Hindbærvej 20, 4772 Langebæk"
"Nylukkevej 1, 4772 Langebæk"
"Nylukkevej 2, 4772 Langebæk"
"Nylukkevej 3, 4772 Langebæk"
"Nylukkevej 4A, 4772 Langebæk"
"Nylukkevej 4B, 4772 Langebæk"
"Nylukkevej 5, 4772 Langebæk"
"Nørre Vænge 1, 4772 Langebæk"
"Nørre Vænge 2, 4772 Langebæk"
"Nørre Vænge 4, 4772 Langebæk"
"Nørre Vænge 6, 4772 Langebæk"
"Østergårdstræde 1A, 4772 Langebæk"
"Østergårdstræde 1B, 4772 Langebæk"
"Østergårdstræde 2, 4772 Langebæk"
"Østergårdstræde 3, 4772 Langebæk"
"Østergårdstræde 5, 4772 Langebæk"
"Østergårdstræde 6, 4772 Langebæk"
"Bondegårdstræde 1, 4772 Langebæk"
"Østergårdstræde 7, 4772 Langebæk"
"Bondegårdstræde 2, 4772 Langebæk"
"Østergårdstræde 8, 4772 Langebæk"
"Bondegårdstræde 3, 4772 Langebæk"
"Østergårdstræde 9, 4772 Langebæk"
"Bondegårdstræde 4, 4772 Langebæk"
"Østergårdstræde 10, 4772 Langebæk"
"Bondegårdstræde 5, 4772 Langebæk"
"Østergårdstræde 11A, 4772 Langebæk"
"Bondegårdstræde 6, 4772 Langebæk"
"Østergårdstræde 12, 4772 Langebæk"
"Bondegårdstræde 7, 4772 Langebæk"
"Østergårdstræde 13, 4772 Langebæk"
"Bondegårdstræde 11, 4772 Langebæk"
"Østergårdstræde 14, 4772 Langebæk"
"Bondegårdstræde 13, 4772 Langebæk"
"Østergårdstræde 15, 4772 Langebæk"
"Bondegårdstræde 15, 4772 Langebæk"
"Østergårdstræde 16, 4772 Langebæk"
"Bondegårdstræde 17, 4772 Langebæk"
"Østergårdstræde 17, 4772 Langebæk"
"Bondegårdstræde 19, 4772 Langebæk"
"Østergårdstræde 18, 4772 Langebæk"
"Bondegårdstræde 21, 4772 Langebæk"
"Østergårdstræde 19, 4772 Langebæk"
"Bondegårdstræde 23, 4772 Langebæk"
"Østergårdstræde 20, 4772 Langebæk"
"Bondegårdstræde 25, 4772 Langebæk"
"Østergårdstræde 21, 4772 Langebæk"
"Bondegårdstræde 27, 4772 Langebæk"
"Bondegårdstræde 29, 4772 Langebæk"
"Østergårdstræde 24, 4772 Langebæk"
"Brombærvej 1, 4772 Langebæk"
"Brombærvej 2, 4772 Langebæk"
"Østergårdstræde 26, 4772 Langebæk"
"Brombærvej 3, 4772 Langebæk"
"Brombærvej 4, 4772 Langebæk"
"Østergårdstræde 28, 4772 Langebæk"
"Brombærvej 6, 4772 Langebæk"
"Brombærvej 8, 4772 Langebæk"
"Østergårdstræde 30, 4772 Langebæk"
"Østergårdstræde 32, 4772 Langebæk"
"Savværkstræde 1, 4772 Langebæk"
"Østerskovvej 1, 4772 Langebæk"
"Savværkstræde 2, 4772 Langebæk"
"Østerskovvej 2, 4772 Langebæk"
"Savværkstræde 4, 4772 Langebæk"
"Østerskovvej 3, 4772 Langebæk"
"Østerskovvej 4, 4772 Langebæk"
"Østerskovvej 5, 4772 Langebæk"
"Østerskovvej 6, 4772 Langebæk"
"Langebæk Mølle 1, 4772 Langebæk"
"Langebæk Mølle 2, 4772 Langebæk"
"Langebæk Mølle 3, 4772 Langebæk"
"Langebæk Stationsvej 1, 4772 Langebæk"
"Petersgaard Alle 1, 4772 Langebæk"
"Petersgaard Alle 2, 4772 Langebæk"
"Langebæk Stationsvej 2, 4772 Langebæk"
"Langebæk Stationsvej 24, 4772 Langebæk"
"Langebæk Gade 5, 4772 Langebæk"
"Hindbærvej 9, 4772 Langebæk"
"Hovvejen 16B, 4772 Langebæk"
"Hovvejen 16C, 4772 Langebæk"
"Hovvejen 22A, 4772 Langebæk"
"Gl Vordingborgvej 19B, 4772 Langebæk"
"Troldehøjvej 4, 4772 Langebæk"
"Petersværftvej 7, 4772 Langebæk"
"Bondegårdstræde 15A, 4772 Langebæk"
"Østerskovvej 7, 4772 Langebæk"
"Østergårdstræde 21A, 4772 Langebæk"
"Østergårdstræde 22, 4772 Langebæk"
"Tyttebærvej 3A, 4772 Langebæk"
"Skovhuse Gade 43A, 4772 Langebæk"
"Skovhuse Gade 23A, 4772 Langebæk"
"Skovhuse Gade 38A, 4772 Langebæk"
"Hindbærvej 6A, 4772 Langebæk"
"Skovhuse Gade 16A, 4772 Langebæk"
"Langebæk Stationsvej 20, 4772 Langebæk"
"Østergårdstræde 11B, 4772 Langebæk"
"Langebæk Stationsvej 5A, 4772 Langebæk"
"Hegnskrogen 2, 4772 Langebæk"
"Østergårdstræde 4, 4772 Langebæk"
"Skovledsvej 3B, 4772 Langebæk"
"Langebæk Stationsvej 18, 4772 Langebæk"
"Skovledsvej 2A, 4772 Langebæk"
"Skovledsvej 2, 4772 Langebæk"
"Langebæk Gade 18B, 4772 Langebæk"
"Petersværft 2B, 4772 Langebæk"
"Petersværftvej 4A, 4772 Langebæk"
"Jordbærvej 4, 4772 Langebæk"
"Østergårdstræde 11C, 4772 Langebæk"
"Hovvejen 19A, 4772 Langebæk"
"Langebæk Stationsvej 17, 4772 Langebæk"
"Langebæk Gade 50A, 4772 Langebæk"
"Langebæk Gade 18A, 4772 Langebæk"
"Gl Vordingborgvej 13A, 4772 Langebæk"
"Plovvej 1, Skovhuse, 4772 Langebæk"
"Langebæk Gade 9, 4772 Langebæk"
"Savværkstræde 1A, 4772 Langebæk"
"Gl Vordingborgvej 21, 4772 Langebæk"
"Petersværftvej 6, 4772 Langebæk"
"Skovhuse Gade 34, 4772 Langebæk"
"Skovhuse Gade 36, 4772 Langebæk"
"Langebæk Stationsvej 9, 4772 Langebæk"
"Nørre Vænge 3, 4772 Langebæk"
"Langebæk Gade 31D, 4772 Langebæk"
"Skovhuse Gade 33C, 4772 Langebæk"
"Langebækgårdvej 3B, 4772 Langebæk"
"Langebækgårdvej 3A, 4772 Langebæk"
"Langebækgårdvej 3, 4772 Langebæk"
"Langebækgårdvej 3C, 4772 Langebæk"
"Langebækgårdvej 3D, 4772 Langebæk"
"Langebæk Gade 31B, 4772 Langebæk"
"Langebæk Gade 31C, 4772 Langebæk"
"Pilotstræde 5, 4772 Langebæk"
"Pilotstræde 9, 4772 Langebæk"
"Pilotstræde 14, 4772 Langebæk"
"Langebæk Gade 27, 4772 Langebæk"
"Pilotstræde 4, 4772 Langebæk"
"Pilotstræde 10, 4772 Langebæk"
"Pilotstræde 3, 4772 Langebæk"
"Pilotstræde 7, 4772 Langebæk"
"Pilotstræde 11, 4772 Langebæk"
"Pilotstræde 6, 4772 Langebæk"
"Pilotstræde 12, 4772 Langebæk"
"Langebæk Gade 33B, 4772 Langebæk"
"Hovvejen 16D, 4772 Langebæk"
"Pilotstræde 1, 4772 Langebæk"
"Pilotstræde 8, 4772 Langebæk"
